試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,2,,藤岡智恵美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,3,,水谷真友,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,5,,高橋愛未,4,■,■,■,■,nan,32,18,1,56.2,53.1,4.50,3,1,0,33.3,1,0.25,17,1,1,3,8.8,15,12,1,83.3,20
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,7,,山口真季,4,■,■,■,■,nan,20,10,1,50.0,45.0,2.50,0,0,0,-,5,1.25,6,0,1,1,0.0,0,0,0,-,15
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,9,L,野上菜月,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,33,17,10,66.7,0
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,10,,野嶋華鈴,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,11,,平原果歩,3,nan,□,□,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,5,0,0,1,5.0,1,0,1,50.0,0
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,12,,山村涼香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,13,L,田中美紅,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,14,,村山美佳,4,■,■,■,■,nan,35,11,3,31.4,22.9,2.75,5,2,1,40.0,1,0.25,17,0,1,4,4.4,0,0,0,-,12
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,15,,平野七菜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-03-12,ルートインホテルズブリリアントアリーズ,プレステージ・インターナショナルアランマーレ,3,1,1,16,,横田実穂,4,■,■,■,■,nan,4,2,0,50.0,50.0,0.50,0,0,0,-,0,-,15,1,1,4,11.7,0,0,0,-,3
