チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
GSS東京サンビームズ,288,83,14,28.8,24.0,4,2,0,11,145,3,11,29,154,81,22,97,50.0,1.11,0.15,5.2,59.7
プレステージ・インターナショナルアランマーレ,345,118,24,34.2,27.2,20,9,0,18,186,4,10,38,186,119,24,140,45.0,1.34,0.2,5.9,70.4
ルートインホテルズブリリアントアリーズ,285,111,21,38.9,31.6,18,6,1,20,167,4,10,37,124,72,24,135,33.3,1.98,0.36,6.4,67.7
群馬銀行グリーンウイングス,389,141,28,36.2,29.0,29,9,0,14,205,12,18,45,184,113,27,167,31.0,1.64,0.16,9.1,68.8
