名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
柳生大成,長野GaRons,10,14,22,3,19,48,25,2,52.1,47.9,0,0,0,15,53,0,3,11,3,1,0,40,,1.32,0.79,3.8,33.3
櫻井翔馬,アイシンティルマーレ,20,9,1,3,4,4,1,0,25.0,25.0,0,0,0,2,10,0,4,3,0,0,0,3,,0.25,0.5,-2.5,
武田大直,近畿クラブスフィーダ,21,12,14,4,9,0,0,0,,,0,0,0,0,15,0,1,3,0,0,0,0,,0.0,0.0,3.3,
水野将司,アイシンティルマーレ,3,25,5,8,30,122,63,2,51.6,50.0,0,0,0,20,100,0,2,16,2,1,0,83,,2.1,0.67,3.5,50.0
江口颯人,近畿クラブスフィーダ,29,18,12,6,29,224,97,12,43.3,37.9,63,24,3,18,86,2,4,14,1,1,0,117,38.1,3.34,0.62,5.2,100.0
池田正一,トヨタモビリティ東京スパークル,23,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
河戸俊亮,近畿クラブスフィーダ,3,18,18,6,34,78,37,5,47.4,41.0,0,0,0,25,76,0,2,11,1,0,0,62,,1.09,0.74,3.0,0.0
浅田潮,長野GaRons,5,14,22,3,23,87,27,8,31.0,21.8,9,4,3,10,43,1,0,11,21,9,2,38,44.4,1.17,0.43,8.7,47.6
滝沢優樹,アイシンティルマーレ,1,22,5,7,23,2,0,1,0.0,-50.0,2,0,1,0,32,2,1,10,2,2,0,2,0.0,0.0,0.0,13.3,100.0
為我井太也,トヨタモビリティ東京スパークル,2,6,18,1,20,18,7,1,38.9,33.3,0,0,0,1,47,1,8,10,0,0,0,9,,0.35,0.05,3.2,
矢澤雅敦,長野GaRons,17,14,22,3,21,0,0,0,,,0,0,0,0,33,0,0,9,0,0,0,0,,0.0,0.0,6.8,
石井琢也,トヨタモビリティ東京スパークル,7,2,12,0,13,91,31,7,34.1,26.4,12,8,1,3,29,0,0,5,3,1,1,34,66.7,2.38,0.23,4.3,50.0
石坂ハスナヌ,長野GaRons,7,14,22,3,35,126,64,7,50.8,45.2,0,0,0,22,99,1,4,26,16,8,4,87,,1.83,0.63,6.6,62.5
福池凌太,長野GaRons,4,14,22,3,35,306,136,33,44.4,33.7,103,48,18,6,125,2,30,35,41,14,8,144,46.6,3.89,0.17,2.6,43.9
笹岡歩夢,長野GaRons,18,14,19,3,19,18,9,2,50.0,38.9,0,0,0,1,26,0,1,3,1,0,0,10,,0.47,0.05,1.9,0.0
筧颯斗,トヨタモビリティ東京スパークル,17,3,15,0,5,0,0,0,,,0,0,0,0,3,0,1,1,0,0,0,0,,0.0,0.0,0.0,
篠原和政,長野GaRons,6,12,16,3,4,0,0,0,,,0,0,0,0,4,0,1,2,0,0,0,0,,0.0,0.0,6.2,
