チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アイシンティルマーレ,1286,602,84,46.8,40.3,280,134,31,91,1006,49,151,222,749,368,216,742,47.9,1.49,0.22,6.6,63.6
トヨタモビリティ東京スパークル,1058,441,90,41.7,33.2,124,50,18,56,755,30,127,141,749,408,160,527,40.3,1.41,0.18,4.4,65.2
近畿クラブスフィーダ,1484,655,121,44.1,36.0,206,92,19,135,1129,27,122,215,956,474,221,817,44.7,1.43,0.3,4.5,61.1
長野GaRons,1516,669,134,44.1,35.3,274,115,47,116,1119,33,121,258,969,453,216,818,42.0,1.37,0.24,6.0,57.9
