試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,5,,井澤大輔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,6,,新保遥己,2,■,nan,□,nan,nan,6,2,1,33.3,16.7,1.00,0,0,0,-,0,-,3,1,1,0,25.0,0,0,0,-,3
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,7,,久保下航平,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,1,0.33,9,0,1,1,0.0,0,0,0,-,2
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,8,L,安田剛,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,9,,佐々木優汰,3,■,■,■,nan,nan,6,2,0,33.3,33.3,0.67,0,0,0,-,0,-,13,0,2,3,1.9,1,1,0,100.0,2
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,10,L,鈴木康平,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,6,1,59.1,0
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,12,,山下直樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,15,,杉本峻作,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,16,,菅原幸紀,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,20,,櫻井翔馬,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,21,,岡森怜夢,3,■,■,■,nan,nan,27,17,0,63.0,63.0,5.67,8,3,0,37.5,2,0.67,10,0,1,5,10.0,13,10,2,84.6,19
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,22,,岡本捷吾,3,□,■,■,nan,nan,18,10,0,55.6,55.6,3.33,3,1,0,33.3,1,0.33,12,0,1,2,2.1,0,0,0,-,11
2022-01-30,アイシンティルマーレ,近畿クラブスフィーダ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,92,45,3,48.9,45.7,15.00,15,4,1,26.7,7,2.33,74,1,7,15,4.1,63,38,14,71.4,53
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,3,,河戸俊亮,3,■,■,■,nan,nan,10,8,0,80.0,80.0,2.67,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,8
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,4,,藤川佳大,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,9,,北村宏樹,2,nan,□,□,nan,nan,2,0,1,0.0,-50.0,-,0,0,0,-,0,-,3,0,0,0,0.0,2,1,0,50.0,0
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,11,,本多駿,3,■,■,■,nan,nan,12,3,2,25.0,8.3,1.00,1,1,0,100.0,2,0.67,13,0,0,1,1.9,4,2,1,62.5,5
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,13,,那須野裕進,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,14,L,荒木琢真,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,10,4,70.6,0
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,18,,後藤陸翔,3,■,■,■,nan,nan,30,16,3,53.3,43.3,5.33,8,4,0,50.0,0,-,10,1,1,1,10.0,43,22,10,62.8,17
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,21,,武田大直,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,22,,フランシスムヤカバング,3,■,■,■,nan,nan,18,9,2,50.0,38.9,3.00,0,0,0,-,1,0.33,12,0,4,2,-4.2,0,0,0,-,10
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,25,,小磯智紀,3,■,■,■,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,1,0.33,15,1,0,2,10.0,0,0,0,-,3
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,29,,江口颯人,3,■,■,■,nan,nan,18,10,1,55.6,50.0,3.33,8,4,0,50.0,0,-,8,0,1,0,-3.1,0,0,0,-,10
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,32,,東影夏海,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,34,,大手一真,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,1,2,25.0,0,0,0,-,1
2022-01-30,近畿クラブスフィーダ,アイシンティルマーレ,0,3,0,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,92,47,9,51.1,41.3,15.67,17,9,0,52.9,4,1.33,71,3,7,9,4.9,66,35,15,64.4,54
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,3,,高井大輝,4,□,□,■,□,nan,0,0,0,,,-,0,0,0,-,0,-,10,0,1,1,0.0,0,0,0,-,0
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,4,,福池凌太,4,■,■,■,■,nan,43,18,6,41.9,27.9,4.50,18,6,4,33.3,0,-,12,0,3,2,-2.1,6,3,2,66.7,18
