No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
3,,水野将司,3,■,■,■,,,9,4,0,44.4,1.33,0,0,0,-,1,0.33,7,0,0,0,0.0,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
4,,斎藤総人,3,■,■,■,,,23,12,0,52.2,4.00,3,0,0,0.0,0,-,13,0,2,2,0.0,12,6.0,2.0,58.3,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
5,,井澤大輔,3,□,■,■,,,6,4,0,66.7,1.33,0,0,0,-,0,-,17,2,0,2,14.7,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
6,,新保遥己,3,■,■,■,,,26,16,2,61.5,5.33,9,5,2,55.6,2,0.67,9,1,4,1,2.8,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
7,,久保下航平,3,■,■,■,,,2,0,0,0.0,-,1,0,0,0.0,0,-,10,0,3,1,-5.0,1,0.0,0.0,0.0,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
8,L,安田剛,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
10,L,鈴木康平,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,11.0,1.0,71.9,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
12,,山下直樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
14,,リウトマリオ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
15,,杉本峻作,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
16,,菅原幸紀,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
20,,櫻井翔馬,1,■,,,,,2,0,0,0.0,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
21,,岡森怜夢,3,■,■,■,,,21,9,2,42.9,3.00,6,1,2,16.7,0,-,9,0,0,2,5.6,23,11.0,7.0,63.0,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away
1,,岩阪健太郎,3,■,■,■,,,8,4,0,50.0,1.33,0,0,0,-,2,0.67,9,0,1,0,-2.8,1,1.0,0.0,100.0,812,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,3,0,3,Win,75,56,60,15:10,16:16,0,田中昭彦,関野智史,川久保敬規,戸田幸喜,Home
2,,為我井太也,3,■,■,■,,,4,2,1,50.0,0.67,0,0,0,-,0,-,7,0,0,0,0.0,0,0.0,0.0,-,812,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,3,0,3,Win,75,56,60,15:10,16:16,0,田中昭彦,関野智史,川久保敬規,戸田幸喜,Home
3,,紅林宏輝,3,■,■,■,,,25,13,5,52.0,4.33,7,2,3,28.6,2,0.67,17,3,1,5,23.5,10,3.0,4.0,50.0,812,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,3,0,3,Win,75,56,60,15:10,16:16,0,田中昭彦,関野智史,川久保敬規,戸田幸喜,Home
4,,西河孝太,3,■,■,■,,,13,7,0,53.8,2.33,3,2,0,66.7,1,0.33,18,1,0,3,9.7,0,0.0,0.0,-,812,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,3,0,3,Win,75,56,60,15:10,16:16,0,田中昭彦,関野智史,川久保敬規,戸田幸喜,Home
6,,大貫智博,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,812,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,3,0,3,Win,75,56,60,15:10,16:16,0,田中昭彦,関野智史,川久保敬規,戸田幸喜,Home
8,,西片圭佑,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,812,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,3,0,3,Win,75,56,60,15:10,16:16,0,田中昭彦,関野智史,川久保敬規,戸田幸喜,Home
