名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
フランシスムヤカバング,2022-01,近畿クラブスフィーダ,22,3,6,1,8,38,19,4,50.0,39.5,0,0,0,4,24,0,5,8,4,1,0,23,,2.38,0.5,3.1,25.0
リウトマリオ,2021-12,アイシンティルマーレ,14,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村洸稀,2021-12,近畿クラブスフィーダ,2,0,6,0,5,32,14,2,43.8,37.5,1,1,0,2,17,0,2,3,1,0,1,16,100.0,2.8,0.4,1.5,50.0
中村洸稀,2022-01,近畿クラブスフィーダ,2,3,0,1,2,3,3,0,100.0,100.0,0,0,0,1,1,0,0,0,0,0,0,4,,1.5,0.5,0.0,
中田雄大,2021-12,近畿クラブスフィーダ,12,0,6,0,6,0,0,0,,,0,0,0,0,23,0,2,4,0,0,0,0,,0.0,0.0,2.2,
中田雄大,2022-01,近畿クラブスフィーダ,12,6,4,2,3,0,0,0,,,0,0,0,0,6,0,1,2,0,0,0,0,,0.0,0.0,4.2,
久保下航平,2021-12,アイシンティルマーレ,7,6,1,2,7,3,0,0,0.0,0.0,1,0,0,1,28,1,5,8,1,0,0,2,0.0,0.0,0.14,6.2,0.0
久保下航平,2022-01,アイシンティルマーレ,7,10,3,3,13,8,3,1,37.5,25.0,0,0,0,5,49,6,10,10,0,0,0,14,,0.23,0.38,12.2,
久保下航平,2022-02,アイシンティルマーレ,7,9,1,3,10,3,1,1,33.3,0.0,0,0,0,3,44,7,8,12,0,0,0,11,,0.1,0.3,18.2,
久保下航平,2022-03,アイシンティルマーレ,7,10,6,3,16,5,1,0,20.0,20.0,0,0,0,3,54,3,15,13,0,0,0,7,,0.06,0.19,4.6,
久門伸司,2021-12,近畿クラブスフィーダ,15,0,6,0,6,0,0,0,,,0,0,0,0,0,0,0,0,54,19,15,0,,0.0,0.0,,49.1
