No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,小川貴史,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
2,,徳丸善基,3,■,■,■,,,11,5,0,45.5,1.67,0,0,0,-,1,0.33,6,0,1,0,0.0,1,1.0,0.0,100.0,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
3,,森岡晃太郎,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
4,,神田聖馬,3,■,■,■,,,34,13,7,38.2,4.33,13,5,4,38.5,1,0.33,7,0,2,4,14.3,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
7,,小西健太郎,3,□,□,■,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
8,,中村紘二,2,■,■,,,,3,1,0,33.3,0.50,0,0,0,-,0,-,6,0,0,0,0.0,20,9.0,0.0,45.0,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
10,,オンソムデニスモクア,3,■,■,■,,,24,5,5,20.8,1.67,5,1,0,20.0,1,0.33,7,0,0,1,3.6,6,3.0,0.0,50.0,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
11,,舩越満,2,,□,■,,,4,0,0,0.0,-,0,0,0,-,0,-,5,0,1,0,0.0,12,7.0,0.0,58.3,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
14,,前村直樹,2,■,■,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
17,,長江晃生,1,,□,,,,5,0,1,0.0,-,1,0,0,0.0,0,-,1,0,0,0,0.0,5,3.0,0.0,60.0,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
21,L,井上裕介,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,17.0,0.0,85.0,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
23,,南克幸,3,■,■,■,,,11,5,1,45.5,1.67,2,0,0,0.0,1,0.33,11,0,2,4,9.1,1,1.0,0.0,100.0,301,2007-12-15,2007,12,15,,有明コロシアム,大分三好ヴァイセアドラー,サントリーサンバーズ,西本哲雄,増成一志,0,3,3,Lose,49,75,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Home
1,,山村宏太,3,■,■,■,,,11,5,0,45.5,1.67,0,0,0,-,2,0.67,11,0,1,3,6.8,2,2.0,0.0,100.0,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
2,,鈴木寛史,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
3,,坂本雄一郎,3,■,■,■,,,4,2,0,50.0,0.67,0,0,0,-,3,1.00,10,1,1,5,20.5,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
4,,吉田譲,2,,□,■,,,0,0,0,-,-,0,0,0,-,0,-,6,1,0,2,25.0,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
6,,栗原圭介,3,■,■,□,,,0,0,0,-,-,0,0,0,-,0,-,8,0,0,1,3.1,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
7,,越川優,3,■,■,■,,,23,13,2,56.5,4.33,3,1,0,33.3,0,-,19,2,2,6,16.3,11,11.0,0.0,100.0,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
8,,レオナルドメロ,3,■,■,■,,,24,10,2,41.7,3.33,9,4,1,44.4,5,1.67,9,1,1,3,19.4,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
9,,桑田鎮典,1,,,■,,,6,3,1,50.0,3.00,2,1,1,50.0,0,-,5,0,0,0,0.0,9,5.0,0.0,55.6,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
10,,荻野正二,2,■,■,,,,7,2,0,28.6,1.00,0,0,0,-,0,-,2,0,0,0,0.0,12,7.0,0.0,58.3,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
11,L,津曲勝利,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,7.0,0.0,77.8,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
18,,杉山マルコス,1,,□,,,,1,1,0,100.0,1.00,1,1,0,100.0,1,1.00,1,0,1,0,0.0,1,1.0,0.0,100.0,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
19,,冨士田裕大,1,,,□,,,5,1,2,20.0,1.00,2,0,2,0.0,0,-,1,0,0,1,25.0,0,0.0,0.0,-,301,2007-12-15,2007,12,15,,有明コロシアム,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,75,49,64,11:05,12:15,2080,,酒出修,西澤裕之,塚本健二,Away
1,,澤畠雄一郎,3,■,■,■,,,8,2,1,25.0,0.67,0,0,0,-,3,1.00,16,0,0,0,0.0,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
3,,石島雄介,3,■,■,■,,,23,13,1,56.5,4.33,5,2,1,40.0,0,-,13,1,3,3,13.5,14,11.0,0.0,78.6,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
4,,北島武,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
5,,朝長孝介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
6,,千葉進也,3,■,■,■,,,18,4,2,22.2,1.33,4,0,2,0.0,1,0.33,14,0,3,7,12.5,23,13.0,0.0,56.5,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
7,,エンダキエムブレイ,3,■,■,■,,,35,15,2,42.9,5.00,13,6,1,46.2,6,2.00,10,0,2,4,10.0,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
8,,金井修也,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,1,0.33,15,1,1,5,13.7,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
10,,木内学,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
11,L,増野彰,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,10.0,0.0,71.4,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
15,,伊藤信博,3,■,■,■,,,8,5,0,62.5,1.67,0,0,0,-,3,1.00,8,0,3,2,6.2,1,1.0,0.0,100.0,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
16,,西尾太作,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
18,,大道大輔,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,堺ブレイザーズ,豊田合成トレフェルサ,中垣内祐一,酒井新悟,3,0,3,Win,77,62,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Home
1,,盛重龍,3,■,■,■,,,30,12,2,40.0,4.00,8,4,1,50.0,0,-,15,0,3,3,5.0,16,12.0,0.0,75.0,302,2007-12-15,2007,12,15,,有明コロシアム,豊田合成トレフェルサ,堺ブレイザーズ,松田明彦,矢野裕範,0,3,3,Lose,62,77,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Away
2,,北川祐介,3,■,■,■,,,8,4,0,50.0,1.33,0,0,0,-,4,1.33,6,0,0,1,4.2,2,2.0,0.0,100.0,302,2007-12-15,2007,12,15,,有明コロシアム,豊田合成トレフェルサ,堺ブレイザーズ,松田明彦,矢野裕範,0,3,3,Lose,62,77,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Away
3,,諸隈直樹,3,□,■,■,,,6,3,2,50.0,1.00,1,0,1,0.0,0,-,5,0,2,2,10.0,18,10.0,0.0,55.6,302,2007-12-15,2007,12,15,,有明コロシアム,豊田合成トレフェルサ,堺ブレイザーズ,松田明彦,矢野裕範,0,3,3,Lose,62,77,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Away
4,,ビッタールファビアノ,3,■,■,■,,,32,11,4,34.4,3.67,15,7,1,46.7,1,0.33,7,0,4,1,3.6,0,0.0,0.0,-,302,2007-12-15,2007,12,15,,有明コロシアム,豊田合成トレフェルサ,堺ブレイザーズ,松田明彦,矢野裕範,0,3,3,Lose,62,77,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Away
6,,甲斐祐之,1,■,,,,,8,1,0,12.5,1.00,0,0,0,-,0,-,1,0,0,1,25.0,9,4.0,0.0,44.4,302,2007-12-15,2007,12,15,,有明コロシアム,豊田合成トレフェルサ,堺ブレイザーズ,松田明彦,矢野裕範,0,3,3,Lose,62,77,71,12:50,14:07,2500,,小柴滋,石井洋壮,四本松善成,Away
