AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
141,59,13,41.8,11.80,37,13,8,35.1,10,2.00,101,5,10,14,5.9,97,31.0,50.0,57.7,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home,147,71,11,48.3,14.20,31,17,0,54.8,7,1.40,113,6,14,13,5.1,87,22.0,50.0,54.0
147,71,11,48.3,14.20,31,17,0,54.8,7,1.40,113,6,14,13,5.1,87,22.0,50.0,54.0,101,2017-10-21,2017,10,21,,東京体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,3,2,5,Win,113,101,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Away,141,59,13,41.8,11.80,37,13,8,35.1,10,2.00,101,5,10,14,5.9,97,31.0,50.0,57.7
82,40,8,48.8,13.33,15,6,3,40.0,7,2.33,73,7,9,20,13.4,50,22.0,22.0,66.0,102,2017-10-21,2017,10,21,,東京体育館,パナソニックパンサーズ,FC東京,川村慎二,古田博幸,3,0,3,Win,75,60,77,16:15,17:38,3500,利根川忠史,村中伸,山本晋五,金廣美喜夫,Home,78,36,8,46.2,12.00,16,8,1,50.0,5,1.67,62,2,11,5,0.8,62,25.0,12.0,50.0
78,36,8,46.2,12.00,16,8,1,50.0,5,1.67,62,2,11,5,0.8,62,25.0,12.0,50.0,102,2017-10-21,2017,10,21,,東京体育館,FC東京,パナソニックパンサーズ,坂本将康,ﾛﾃﾞｨｱﾚｯｻﾝﾄﾞﾛ,0,3,3,Lose,60,75,77,16:15,17:38,3500,利根川忠史,村中伸,山本晋五,金廣美喜夫,Away,82,40,8,48.8,13.33,15,6,3,40.0,7,2.33,73,7,9,20,13.4,50,22.0,22.0,66.0
97,44,3,45.4,14.67,28,11,2,39.3,3,1.00,66,2,15,19,4.5,64,30.0,14.0,57.8,103,2017-10-22,2017,10,22,,東京体育館,東レアローズ,豊田合成トレフェルサ,小林敦,篠田歩,0,3,3,Lose,65,75,84,12:05,13:35,2500,利根川忠史,山本晋五,田中昭彦,金廣美喜夫,Home,75,43,2,57.3,14.33,18,11,2,61.1,11,3.67,74,1,10,19,4.4,49,17.0,13.0,48.0
75,43,2,57.3,14.33,18,11,2,61.1,11,3.67,74,1,10,19,4.4,49,17.0,13.0,48.0,103,2017-10-22,2017,10,22,,東京体育館,豊田合成トレフェルサ,東レアローズ,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,藤田和広,3,0,3,Win,75,65,84,12:05,13:35,2500,利根川忠史,山本晋五,田中昭彦,金廣美喜夫,Away,97,44,3,45.4,14.67,28,11,2,39.3,3,1.00,66,2,15,19,4.5,64,30.0,14.0,57.8
113,62,6,54.9,15.50,21,10,1,47.6,8,2.00,98,3,14,14,3.1,74,31.0,28.0,60.8,104,2017-10-22,2017,10,22,,東京体育館,ジェイテクトSTINGS,堺ブレイザーズ,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,阿部純也,3,1,4,Win,99,90,104,14:15,16:08,2000,利根川忠史,山本和良,村中伸,古田法美,Home,115,57,6,49.6,14.25,22,14,0,63.6,10,2.50,91,1,17,14,0.3,82,31.0,37.0,60.4
115,57,6,49.6,14.25,22,14,0,63.6,10,2.50,91,1,17,14,0.3,82,31.0,37.0,60.4,104,2017-10-22,2017,10,22,,東京体育館,堺ブレイザーズ,ジェイテクトSTINGS,真保綱一郎,ｱﾝﾄﾆｵﾏﾙｺｽﾚﾙﾊﾞｯｷ,1,3,4,Lose,90,99,104,14:15,16:08,2000,利根川忠史,山本和良,村中伸,古田法美,Away,113,62,6,54.9,15.50,21,10,1,47.6,8,2.00,98,3,14,14,3.1,74,31.0,28.0,60.8
122,56,5,45.9,14.00,23,13,1,56.5,8,2.00,98,7,13,31,11.7,69,29.0,24.0,59.4,105,2017-10-28,2017,10,28,,小牧市スポーツ公園総合体育館(パークアリーナ小牧),豊田合成トレフェルサ,JTサンダーズ,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,藤田和広,3,1,4,Win,99,83,110,13:00,14:59,1860,小柴滋,浅井唯由,西中野健,田中栄二,Home,122,51,10,41.8,12.75,29,12,2,41.4,8,2.00,84,3,14,14,3.6,84,19.0,28.0,39.3
122,51,10,41.8,12.75,29,12,2,41.4,8,2.00,84,3,14,14,3.6,84,19.0,28.0,39.3,105,2017-10-28,2017,10,28,,小牧市スポーツ公園総合体育館(パークアリーナ小牧),JTサンダーズ,豊田合成トレフェルサ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,1,3,4,Lose,83,99,110,13:00,14:59,1860,小柴滋,浅井唯由,西中野健,田中栄二,Away,122,56,5,45.9,14.00,23,13,1,56.5,8,2.00,98,7,13,31,11.7,69,29.0,24.0,59.4
