No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,,富松崇彰,5,■,■,■,■,■,10,7,0,70.0,1.40,1,0,0,0.0,3,0.60,15,0,1,4,5.0,1,1.0,0.0,100.0,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
2,,高橋健太郎,4,,□,□,□,□,0,0,0,-,-,0,0,0,-,1,0.25,0,0,0,0,-,0,0.0,0.0,-,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
4,,ルジェアントニン,5,■,■,■,■,■,45,20,3,44.4,4.00,12,5,0,41.7,1,0.20,14,0,5,6,1.8,0,0.0,0.0,-,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
5,,米山裕太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
6,,落合一貴,1,,,,,□,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
7,,峯村雄大,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
8,,瀬戸口竜矢,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,0.0,6,1.0,2.0,33.3,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
10,,星野秀知,5,■,■,■,■,■,26,12,2,46.2,2.40,0,0,0,-,2,0.40,20,2,4,6,12.5,21,11.0,5.0,64.3,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
11,,戸嵜嵩大,5,■,■,■,■,■,31,13,1,41.9,2.60,1,0,0,0.0,0,-,12,0,7,3,-8.3,33,13.0,10.0,54.5,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
14,,酒井啓輔,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,104,2019-10-26,2019,10,26,,島原市復興アリーナ,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,3,2,5,Win,104,104,131,12:00,14:23,1520,小柴滋,山本晋五,林淳一,藤嵜敏将,Home
