No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,大村悟,5,■,■,■,■,■,35,19,3,54.3,3.80,12,7,2,58.3,2,0.40,19,1,4,4,10.5,32,21.0,0.0,65.6,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
2,,細川延由,5,■,■,■,■,■,23,10,0,43.5,2.00,6,2,0,33.3,1,0.20,16,0,3,3,4.7,31,14.0,0.0,45.2,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
5,,足立和弘,3,,□,,□,□,0,0,0,-,-,0,0,0,-,0,-,4,0,1,2,12.5,0,0.0,0.0,-,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
6,,竹内実,2,□,,,,□,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
7,,菊地洋之,5,■,■,■,■,■,8,5,0,62.5,1.00,0,0,0,-,5,1.00,9,0,1,0,0.0,1,1.0,0.0,100.0,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
8,,宇佐美大輔,5,■,■,■,■,■,0,0,0,-,-,0,0,0,-,0,-,22,1,2,8,13.6,0,0.0,0.0,-,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
9,,脇戸新之助,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
10,,青木一平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
17,,松本慶彦,5,■,■,■,■,■,12,6,3,50.0,1.20,0,0,0,-,3,0.60,8,0,2,0,0.0,2,1.0,0.0,50.0,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
19,L,濱島哲也,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,18,12.0,0.0,66.7,101,2004-11-06,2004,11,06,,大阪府立体育会館,NECブルーロケッツ,サントリーサンバーズ,楊成太,小林秀章,2,3,5,Lose,98,107,112,14:00,16:04,3100,,利根川忠史,田野敏彦,中村滉伊知,Home
