No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,小川貴史,3,■,■,■,,,4,0,0,0.0,-,0,0,0,-,0,-,5,0,1,0,0.0,0,0.0,0.0,-,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
2,,徳丸善基,3,■,■,■,,,5,1,1,20.0,0.33,0,0,0,-,2,0.67,10,0,2,4,10.0,0,0.0,0.0,-,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
5,,浜崎勇矢,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0.0,0.0,-,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
6,,前田徹也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
7,,細川優樹,1,,,■,,,9,5,1,55.6,5.00,2,1,0,50.0,0,-,3,0,2,0,0.0,2,1.0,0.0,50.0,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
9,,五十嵐元,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
10,,オンテレジェームス,3,■,■,■,,,50,20,5,40.0,6.67,17,7,1,41.2,1,0.33,10,1,6,3,15.5,0,0.0,0.0,-,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
13,,中島悠樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
14,L,橘裕也,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,9.0,0.0,64.3,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
17,,長江晃生,2,■,■,,,,10,3,3,30.0,1.50,1,0,1,0.0,0,-,7,1,0,5,29.3,6,1.0,0.0,16.7,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
18,,山田要平,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,1,0.33,9,2,1,4,31.1,0,0.0,0.0,-,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
19,L,迫谷竜児,1,,●,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,1.0,0.0,50.0,303,2011-12-24,2011,12,24,,大分県立総合体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,古田博幸,安部曜,0,3,3,Lose,54,76,74,14:00,15:20,2493,,澤達大,塚本健,伊達孝明,Home
