AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
124,49,9,39.5,12.25,30,16,2,53.3,2,0.50,82,4,19,15,3.7,82,35.0,28.0,59.8,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home,98,43,11,43.9,10.75,18,9,2,50.0,20,5.00,94,1,11,19,3.2,63,26.0,18.0,55.6
98,43,11,43.9,10.75,18,9,2,50.0,20,5.00,94,1,11,19,3.2,63,26.0,18.0,55.6,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,JTサンダーズ広島,ジェイテクトSTINGS,原秀治,古田博幸,3,1,4,Win,95,81,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Away,124,49,9,39.5,12.25,30,16,2,53.3,2,0.50,82,4,19,15,3.7,82,35.0,28.0,59.8
109,49,10,45.0,12.25,28,14,3,50.0,10,2.50,83,1,14,19,2.7,78,30.0,14.0,47.4,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home,98,51,5,52.0,12.75,27,15,1,55.6,12,3.00,92,5,12,32,10.9,68,33.0,16.0,60.3
98,51,5,52.0,12.75,27,15,1,55.6,12,3.00,92,5,12,32,10.9,68,33.0,16.0,60.3,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away,109,49,10,45.0,12.25,28,14,3,50.0,10,2.50,83,1,14,19,2.7,78,30.0,14.0,47.4
87,40,8,46.0,10.00,20,9,4,45.0,16,4.00,91,3,14,29,7.4,69,36.0,9.0,58.7,105,2021-10-16,2021,10,16,大阪府,日本製鉄堺体育館,堺ブレイザーズ,大分三好ヴァイセアドラー,千葉進也,長江祥司,1,3,4,Lose,90,99,113,13:00,15:06,356,田野昭彦,澤達大,浜野陽一,和佐田信行,Home,109,60,7,55.0,15.00,24,16,2,66.7,5,1.25,98,9,24,20,8.2,76,26.0,20.0,47.4
109,60,7,55.0,15.00,24,16,2,66.7,5,1.25,98,9,24,20,8.2,76,26.0,20.0,47.4,105,2021-10-16,2021,10,16,大阪府,日本製鉄堺体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,ﾑﾚｲﾎﾟｰﾙ,安田将利,3,1,4,Win,99,90,113,13:00,15:06,356,田野昭彦,澤達大,浜野陽一,和佐田信行,Away,87,40,8,46.0,10.00,20,9,4,45.0,16,4.00,91,3,14,29,7.4,69,36.0,9.0,58.7
138,67,9,48.6,13.40,30,15,1,50.0,4,0.80,110,5,27,28,4.8,80,26.0,29.0,50.6,107,2021-10-16,2021,10,16,大阪府,第一総合運動場,サントリーサンバーズ,FC東京,山村宏太,米山達也,3,2,5,Win,110,107,142,13:00,15:41,535,酒出 修,村中 伸,岡田 崇,永江 雅之,Home,118,51,11,43.2,10.20,20,9,2,45.0,8,1.60,107,6,22,25,6.3,79,30.0,21.0,51.3
118,51,11,43.2,10.20,20,9,2,45.0,8,1.60,107,6,22,25,6.3,79,30.0,21.0,51.3,107,2021-10-16,2021,10,16,大阪府,第一総合運動場,FC東京,サントリーサンバーズ,真保綱一郎,橘裕也,2,3,5,Lose,107,110,142,13:00,15:41,535,酒出 修,村中 伸,岡田 崇,永江 雅之,Away,138,67,9,48.6,13.40,30,15,1,50.0,4,0.80,110,5,27,28,4.8,80,26.0,29.0,50.6
113,59,6,52.2,11.80,16,10,1,62.5,7,1.40,112,5,11,33,9.4,84,32.0,13.0,45.8,106,2021-10-16,2021,10,16,大阪府,パナソニックアリーナ,パナソニックパンサーズ,ウルフドッグス名古屋,ﾃｨﾘﾛﾗﾝ,ｳﾞｨﾝｾﾝﾄﾋﾟｼｪｯﾄ,2,3,5,Lose,112,112,148,14:11,16:51,1606,伊藤博之,浅井唯由,新田浩幸,安田悠司,Home,131,69,9,52.7,13.80,30,15,3,50.0,12,2.40,112,8,25,39,10.3,100,50.0,17.0,58.5
131,69,9,52.7,13.80,30,15,3,50.0,12,2.40,112,8,25,39,10.3,100,50.0,17.0,58.5,106,2021-10-16,2021,10,16,大阪府,パナソニックアリーナ,ウルフドッグス名古屋,パナソニックパンサーズ,ｸﾘｽﾏｸｶﾞｳﾝ,深津貴之,3,2,5,Win,112,112,148,14:11,16:51,1606,伊藤博之,浅井唯由,新田浩幸,安田悠司,Away,113,59,6,52.2,11.80,16,10,1,62.5,7,1.40,112,5,11,33,9.4,84,32.0,13.0,45.8
