No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,安永拓弥,4,■,■,■,■,,11,6,1,54.5,1.50,0,0,0,-,0,-,9,0,0,3,8.3,0,0.0,0.0,-,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
3,L,酒井大祐,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,28,22.0,0.0,78.6,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
4,,國近公太,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,1,1.0,0.0,100.0,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
5,,神田聖馬,2,□,,,□,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0.0,0.0,-,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
6,,菅直哉,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,0,-,13,1,0,3,11.9,2,0.0,0.0,0.0,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
7,,八子大輔,4,■,■,■,■,,23,14,1,60.9,3.50,6,2,0,33.3,0,-,14,1,4,3,11.1,32,16.0,0.0,50.0,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
9,,甲斐祐之,4,■,■,■,■,,21,8,2,38.1,2.00,1,1,0,100.0,1,0.25,14,0,3,3,5.4,12,8.0,0.0,66.7,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
10,,小澤翔,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
11,,安井勇誠,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,2,1,6.2,0,0.0,0.0,-,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
12,,ベゼラジュニオル,3,,■,■,■,,7,4,0,57.1,1.33,0,0,0,-,0,-,12,1,1,0,8.3,2,2.0,0.0,100.0,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
15,,オムルチェンイゴール,4,■,■,■,■,,39,19,2,48.7,4.75,19,8,0,42.1,1,0.25,18,2,6,4,14.4,0,0.0,0.0,-,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
17,,深津旭弘,1,,,,□,,0,0,0,-,-,0,0,0,-,1,1.00,1,0,1,0,0.0,0,0.0,0.0,-,301,2012-11-03,2012,11,03,,鹿沼総合体育館(フォレストアリーナ),JTサンダーズ,堺ブレイザーズ,久保義人,徳元幸人,1,3,4,Lose,90,96,104,14:01,15:54,1300,,印藤智一,村中伸,磯健司,Home
