AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
99,48,5,48.5,12.00,18,9,3,50.0,10,2.50,94,6,17,27,12.7,72,37.0,0.0,51.4,101,2015-10-31,2015,10,31,,福岡市民体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,徳元幸人,3,1,4,Win,95,86,111,14:05,16:05,3500,中馬義郎,村中伸,田中昭彦,賀来愛実,Home,107,51,9,47.7,12.75,34,18,4,52.9,4,1.00,87,4,15,31,12.6,75,44.0,0.0,58.7
107,51,9,47.7,12.75,34,18,4,52.9,4,1.00,87,4,15,31,12.6,75,44.0,0.0,58.7,101,2015-10-31,2015,10,31,,福岡市民体育館,サントリーサンバーズ,JTサンダーズ,ｼﾞﾙｿﾝﾍﾞﾙﾅﾙﾄﾞ,栗原圭介,1,3,4,Lose,86,95,111,14:05,16:05,3500,中馬義郎,村中伸,田中昭彦,賀来愛実,Away,99,48,5,48.5,12.00,18,9,3,50.0,10,2.50,94,6,17,27,12.7,72,37.0,0.0,51.4
77,43,4,55.8,14.33,12,6,0,50.0,9,3.00,73,7,14,32,19.5,46,31.0,0.0,67.4,102,2015-10-31,2015,10,31,,福岡市民体育館,ジェイテクトSTINGS,FC東京,増成一志,豊田昇平,3,0,3,Win,75,54,71,16:45,18:02,2000,中馬義郎,山本晋五,村上成司,窪田智代美,Home,70,27,7,38.6,9.00,12,5,1,41.7,2,0.67,56,5,7,15,14.9,56,24.0,0.0,42.9
70,27,7,38.6,9.00,12,5,1,41.7,2,0.67,56,5,7,15,14.9,56,24.0,0.0,42.9,102,2015-10-31,2015,10,31,,福岡市民体育館,FC東京,ジェイテクトSTINGS,坂本将康,阿部篤史,0,3,3,Lose,54,75,71,16:45,18:02,2000,中馬義郎,山本晋五,村上成司,窪田智代美,Away,77,43,4,55.8,14.33,12,6,0,50.0,9,3.00,73,7,14,32,19.5,46,31.0,0.0,67.4
76,40,8,52.6,13.33,13,6,1,46.2,12,4.00,74,1,7,31,11.8,42,22.0,0.0,52.4,103,2015-11-01,2015,11,01,,福岡市民体育館,豊田合成トレフェルサ,堺ブレイザーズ,ｸﾘｽﾃｨｱﾝｿﾝｱﾝﾃﾞｨｯｼｭ,藤田和広,3,0,3,Win,75,47,73,13:05,14:24,2900,中馬義郎,村上成司,村中伸,窪田智代美,Home,87,25,12,28.7,8.33,19,4,4,21.1,4,1.33,48,3,4,20,16.2,66,35.0,0.0,53.0
87,25,12,28.7,8.33,19,4,4,21.1,4,1.33,48,3,4,20,16.2,66,35.0,0.0,53.0,103,2015-11-01,2015,11,01,,福岡市民体育館,堺ブレイザーズ,豊田合成トレフェルサ,印東玄弥,上杉徹,0,3,3,Lose,47,75,73,13:05,14:24,2900,中馬義郎,村上成司,村中伸,窪田智代美,Away,76,40,8,52.6,13.33,13,6,1,46.2,12,4.00,74,1,7,31,11.8,42,22.0,0.0,52.4
149,67,5,45.0,16.75,22,9,2,40.9,9,2.25,113,5,16,42,13.2,82,49.0,0.0,59.8,104,2015-11-01,2015,11,01,,福岡市民体育館,パナソニックパンサーズ,東レアローズ,川村慎二,古田博幸,3,1,4,Win,114,103,129,15:05,17:23,3000,中馬義郎,田中昭彦,山本晋五,賀来愛実,Home,154,61,6,39.6,15.25,25,12,2,48.0,14,3.50,104,3,22,31,9.8,95,53.0,0.0,55.8
154,61,6,39.6,15.25,25,12,2,48.0,14,3.50,104,3,22,31,9.8,95,53.0,0.0,55.8,104,2015-11-01,2015,11,01,,福岡市民体育館,東レアローズ,パナソニックパンサーズ,小林敦,篠田歩,1,3,4,Lose,103,114,129,15:05,17:23,3000,中馬義郎,田中昭彦,山本晋五,賀来愛実,Away,149,67,5,45.0,16.75,22,9,2,40.9,9,2.25,113,5,16,42,13.2,82,49.0,0.0,59.8
78,31,6,39.7,10.33,23,11,5,47.8,4,1.33,59,2,8,13,8.6,60,33.0,0.0,55.0,107,2015-11-07,2015,11,07,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,サントリーサンバーズ,豊田合成トレフェルサ,ｼﾞﾙｿﾝﾍﾞﾙﾅﾙﾄﾞ,栗原圭介,0,3,3,Lose,57,75,80,13:00,14:26,1750,水谷孝義,千代延靖夫,森口豊,天野五月,Home,78,40,6,51.3,13.33,14,7,2,50.0,12,4.00,73,6,12,22,14.4,50,36.0,0.0,72.0
78,40,6,51.3,13.33,14,7,2,50.0,12,4.00,73,6,12,22,14.4,50,36.0,0.0,72.0,107,2015-11-07,2015,11,07,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,豊田合成トレフェルサ,サントリーサンバーズ,ｸﾘｽﾃｨｱﾝｿﾝｱﾝﾃﾞｨｯｼｭ,藤田和広,3,0,3,Win,75,57,80,13:00,14:26,1750,水谷孝義,千代延靖夫,森口豊,天野五月,Away,78,31,6,39.7,10.33,23,11,5,47.8,4,1.33,59,2,8,13,8.6,60,33.0,0.0,55.0
