No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,L,鶴田大樹,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,36,18.0,13.0,68.1,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
2,,鈴木寛史,4,■,■,■,,□,7,4,1,57.1,1.00,0,0,0,-,2,0.50,8,0,1,1,0.0,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
6,,岡本祥吾,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
7,,山本湧,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
9,,大宅真樹,5,■,■,■,■,■,0,0,0,-,-,0,0,0,-,2,0.40,13,0,1,4,5.8,1,1.0,0.0,100.0,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
10,,藤中謙也,5,■,■,■,■,■,17,5,3,29.4,1.00,1,1,0,100.0,2,0.40,19,1,1,2,6.6,38,19.0,6.0,57.9,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
11,,秦耕介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
12,,塩田達也,2,,,,■,■,4,3,0,75.0,1.50,0,0,0,-,0,-,8,0,1,3,6.2,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
13,,ムセルスキードミトリー,5,■,■,■,■,■,53,26,5,49.1,5.20,13,4,4,30.8,2,0.40,20,2,8,6,7.5,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
15,,喜入祥充,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
17,,星谷健太朗,5,■,■,■,■,■,12,7,0,58.3,1.40,0,0,0,-,4,0.80,12,0,1,3,4.2,1,0.0,0.0,0.0,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
18,,小川猛,5,□,□,□,□,□,4,0,0,0.0,-,0,0,0,-,0,-,6,0,0,3,12.5,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
19,,栗山雅史,5,■,■,■,■,■,24,11,0,45.8,2.20,6,4,0,66.7,4,0.80,14,0,2,3,1.8,8,3.0,3.0,56.2,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
20,,米山達也,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home
1,,安永拓弥,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
2,,小野寺太志,5,■,■,■,■,■,14,8,0,57.1,1.60,0,0,0,-,4,0.80,17,0,3,4,1.5,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
3,,深津旭弘,5,■,■,■,■,■,0,0,0,-,-,0,0,0,-,3,0.60,24,1,2,2,4.2,1,0.0,0.0,0.0,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
4,,中島健太,5,■,■,■,■,■,6,3,0,50.0,0.60,0,0,0,-,0,-,7,0,0,1,3.6,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
6,,エドガートーマス,5,■,■,■,■,■,52,24,4,46.2,4.80,19,10,2,52.6,0,-,20,2,5,5,10.0,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
8,,武智洸史,4,□,■,■,,□,7,2,1,28.6,0.50,0,0,0,-,1,0.25,5,1,1,0,15.0,9,4.0,1.0,50.0,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
9,,吉岡光大,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
10,L,井上航,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,28,11.0,8.0,53.6,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
11,,久原大輝,4,,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,1,0.0,1.0,50.0,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
12,,合田心平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
15,L,唐川大志,2,,,,〇,〇,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
16,,劉力賓,5,■,■,■,■,■,29,15,1,51.7,3.00,9,7,1,77.8,4,0.80,17,1,4,4,5.9,37,17.0,8.0,56.8,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
17,,金子聖輝,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
18,,山本将平,4,■,,□,■,■,14,6,1,42.9,1.50,0,0,0,-,0,-,10,1,3,0,2.5,11,4.0,6.0,63.6,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away
