No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,,有田妃奈乃,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
2,,瀬戸杏華,5,■,■,■,■,■,10,4,0,40.0,0.80,0,0,0,-,2,0.40,17,0,5,7,2.9,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
3,L,森田茉莉,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,4.0,7.0,62.5,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
6,,村上華澄,5,■,■,■,■,■,20,8,1,40.0,1.60,0,0,0,-,0,-,10,0,0,3,7.5,1,1.0,0.0,100.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
7,,合屋咲希,5,□,□,□,□,□,19,10,0,52.6,2.00,0,0,0,-,0,-,0,0,0,0,-,10,4.0,1.0,45.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
8,,高相みな実,5,■,■,■,■,■,53,20,1,37.7,4.00,3,1,1,33.3,1,0.20,12,0,3,1,-4.2,30,13.0,2.0,46.7,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
9,,山下遥香,5,□,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,9,1,1,0,8.3,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
10,,綿引菜都美,2,,,□,□,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
11,,堀口あやか,5,■,■,■,■,■,45,13,0,28.9,2.60,2,0,0,0.0,0,-,19,0,4,3,-1.3,35,15.0,8.0,54.3,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
13,,津賀菜緒,5,■,■,■,■,■,43,15,3,34.9,3.00,4,2,0,50.0,1,0.20,12,0,3,4,2.1,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
