No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
2,,永山佳奈,5,■,■,■,■,■,5,0,0,0.0,-,0,0,0,-,0,-,22,1,2,6,10.5,0,0.0,0.0,-,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
3,,大島陽子,5,■,■,■,■,■,17,6,1,35.3,1.20,0,0,0,-,8,1.60,8,1,3,3,19.4,7,4.0,0.0,57.1,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
4,,加納麻美,5,□,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,7,0,1,1,3.6,1,0.0,0.0,0.0,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
6,,足立留美,5,■,■,■,■,■,18,7,1,38.9,1.40,0,0,0,-,1,0.20,20,2,0,8,18.0,18,10.0,0.0,55.6,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
7,,川原恵,3,□,,,□,□,1,1,0,100.0,0.33,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
9,L,熊倉由美,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,40,26.0,0.0,65.0,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
10,,金田智子,5,■,■,■,■,■,25,8,3,32.0,1.60,0,0,0,-,4,0.80,18,1,1,3,8.6,4,1.0,0.0,25.0,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
11,,山下祐美子,5,■,■,■,■,■,51,17,3,33.3,3.40,0,0,0,-,4,0.80,12,0,0,2,4.2,1,0.0,0.0,0.0,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
13,,久坂理恵子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
14,,鈴木洋美,5,■,■,■,■,■,32,16,3,50.0,3.20,1,0,0,0.0,6,1.20,16,0,6,4,6.2,15,10.0,0.0,66.7,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
16,,南井順子,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
20,,松崎聖子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home
3,,橋本由紀子,5,■,■,■,■,■,35,6,2,17.1,1.20,0,0,0,-,0,-,11,1,0,8,25.5,11,9.0,0.0,81.8,501,1999-12-17,1999,12,17,,,オレンジアタッカーズ,イトーヨーカドープリオール,ｾﾘﾝｼﾞｬｰ･ｱﾋﾞﾀﾙ,番平守,2,3,5,Lose,94,105,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Away
4,,先野久美子,5,■,■,■,■,■,20,8,1,40.0,1.60,0,0,0,-,3,0.60,17,0,1,4,5.9,7,4.0,0.0,57.1,501,1999-12-17,1999,12,17,,,オレンジアタッカーズ,イトーヨーカドープリオール,ｾﾘﾝｼﾞｬｰ･ｱﾋﾞﾀﾙ,番平守,2,3,5,Lose,94,105,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Away
5,,関井陽子,5,■,■,■,■,■,32,11,2,34.4,2.20,0,0,0,-,1,0.20,16,0,3,4,6.2,14,9.0,0.0,64.3,501,1999-12-17,1999,12,17,,,オレンジアタッカーズ,イトーヨーカドープリオール,ｾﾘﾝｼﾞｬｰ･ｱﾋﾞﾀﾙ,番平守,2,3,5,Lose,94,105,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Away
8,,大村加奈子,5,■,■,■,■,■,25,11,2,44.0,2.20,1,1,0,100.0,2,0.40,15,0,1,7,11.7,1,1.0,0.0,100.0,501,1999-12-17,1999,12,17,,,オレンジアタッカーズ,イトーヨーカドープリオール,ｾﾘﾝｼﾞｬｰ･ｱﾋﾞﾀﾙ,番平守,2,3,5,Lose,94,105,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Away
9,L,高橋幸子,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,33,24.0,0.0,72.7,501,1999-12-17,1999,12,17,,,オレンジアタッカーズ,イトーヨーカドープリオール,ｾﾘﾝｼﾞｬｰ･ｱﾋﾞﾀﾙ,番平守,2,3,5,Lose,94,105,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Away
10,,鶴田桂子,5,■,■,■,■,■,2,1,0,50.0,0.20,0,0,0,-,1,0.20,13,0,2,3,5.8,0,0.0,0.0,-,501,1999-12-17,1999,12,17,,,オレンジアタッカーズ,イトーヨーカドープリオール,ｾﾘﾝｼﾞｬｰ･ｱﾋﾞﾀﾙ,番平守,2,3,5,Lose,94,105,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Away
