No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
2,,山口舞,5,■,■,■,■,■,26,9,2,34.6,1.80,0,0,0,-,1,0.20,20,1,0,10,16.5,10,7.0,0.0,70.0,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
3,,米村信子,3,,□,■,□,,4,0,2,0.0,-,0,0,0,-,0,-,2,0,0,0,0.0,2,2.0,0.0,100.0,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
4,,野村まり,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
5,L,小野優美子,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,28,14.0,0.0,50.0,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
6,,堀口夏実,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
7,,神田千絵,3,■,■,,□,,27,7,1,25.9,2.33,0,0,0,-,2,0.67,9,1,0,3,17.2,3,1.0,0.0,33.3,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
12,,村田奈都美,4,,□,□,■,■,32,13,1,40.6,3.25,0,0,0,-,0,-,11,0,1,6,13.6,15,7.0,0.0,46.7,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
13,,高松未,5,■,■,■,■,■,22,10,1,45.5,2.00,0,0,0,-,2,0.40,16,0,2,5,7.8,15,10.0,0.0,66.7,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
15,,岡野弘子,4,■,■,,■,■,0,0,0,-,-,0,0,0,-,1,0.25,11,0,0,6,13.6,0,0.0,0.0,-,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
21,,森和代,5,■,■,■,■,■,32,12,2,37.5,2.40,1,0,0,0.0,2,0.40,12,0,1,2,4.2,10,5.0,0.0,50.0,503,2007-01-06,2007,01,06,,岡山市総合文化体育館,岡山シーガルズ,日立リヴァーレ,河本昭義,溝田知茂,3,2,5,Win,96,91,104,12:00,13:56,1520,,富田満,山本和良,長井繁郁,Home
