AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
91,27,4,29.7,9.00,16,5,0,31.2,0,0.00,43,0,5,8,1.7,64,15.0,28.0,45.3,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home,107,48,7,44.9,16.00,3,1,1,33.3,9,3.00,74,6,7,21,12.8,38,9.0,21.0,51.3
107,48,7,44.9,16.00,3,1,1,33.3,9,3.00,74,6,7,21,12.8,38,9.0,21.0,51.3,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,久光製薬スプリングス,NECレッドロケッツ,酒井新悟,豊暉原峻,3,0,3,Win,75,42,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Away,91,27,4,29.7,9.00,16,5,0,31.2,0,0.00,43,0,5,8,1.7,64,15.0,28.0,45.3
179,55,7,30.7,13.75,8,3,0,37.5,5,1.25,91,3,4,29,10.2,81,24.0,35.0,51.2,302,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,デンソーエアリービーズ,埼玉上尾メディックス,川北元,ﾃﾞﾍﾘ･ｼﾞｬﾝﾃﾞﾍﾘｷﾞｭ,1,3,4,Lose,90,98,133,15:15,17:37,1705,水谷孝義,種元桂子,佐々木伸子,市山直之,Home,188,68,12,36.2,17.00,12,2,4,16.7,7,1.75,97,9,11,20,11.6,86,20.0,37.0,44.8
188,68,12,36.2,17.00,12,2,4,16.7,7,1.75,97,9,11,20,11.6,86,20.0,37.0,44.8,302,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,埼玉上尾メディックス,デンソーエアリービーズ,吉田敏明,箕輪憲吾,3,1,4,Win,98,90,133,15:15,17:37,1705,水谷孝義,種元桂子,佐々木伸子,市山直之,Away,179,55,7,30.7,13.75,8,3,0,37.5,5,1.25,91,3,4,29,10.2,81,24.0,35.0,51.2
150,65,7,43.3,13.00,5,3,0,60.0,12,2.40,106,4,11,32,8.7,93,29.0,25.0,44.6,303,2017-10-22,2017,10,22,,ゼビオアリーナ仙台,日立リヴァーレ,JTマーヴェラス,甲斐祐之,高橋和人,2,3,5,Lose,106,107,130,13:00,15:22,1742,水谷孝義,高橋宏明,明井寿枝,渡部隆一,Home,161,62,7,38.5,12.40,22,9,3,40.9,12,2.40,107,10,14,39,15.2,94,29.0,33.0,48.4
161,62,7,38.5,12.40,22,9,3,40.9,12,2.40,107,10,14,39,15.2,94,29.0,33.0,48.4,303,2017-10-22,2017,10,22,,ゼビオアリーナ仙台,JTマーヴェラス,日立リヴァーレ,吉原知子,丹山禎昭,3,2,5,Win,107,106,130,13:00,15:22,1742,水谷孝義,高橋宏明,明井寿枝,渡部隆一,Away,150,65,7,43.3,13.00,5,3,0,60.0,12,2.40,106,4,11,32,8.7,93,29.0,25.0,44.6
88,39,7,44.3,13.00,15,11,0,73.3,13,4.33,74,3,7,25,10.1,48,4.0,22.0,31.2,304,2017-10-22,2017,10,22,,ゼビオアリーナ仙台,トヨタ車体クインシーズ,東レアローズ,多治見麻子,印東玄弥,3,0,3,Win,75,54,74,16:15,17:35,1696,水谷孝義,佐々木伸子,種元桂子,市山直之,Home,106,30,13,28.3,10.00,19,8,5,42.1,5,1.67,55,3,5,22,13.2,66,9.0,32.0,37.9
106,30,13,28.3,10.00,19,8,5,42.1,5,1.67,55,3,5,22,13.2,66,9.0,32.0,37.9,304,2017-10-22,2017,10,22,,ゼビオアリーナ仙台,東レアローズ,トヨタ車体クインシーズ,菅野幸一郎,越谷章,0,3,3,Lose,54,75,74,16:15,17:35,1696,水谷孝義,佐々木伸子,種元桂子,市山直之,Away,88,39,7,44.3,13.00,15,11,0,73.3,13,4.33,74,3,7,25,10.1,48,4.0,22.0,31.2
165,66,8,40.0,13.20,8,5,0,62.5,9,1.80,113,10,7,33,14.6,89,39.0,24.0,57.3,307,2017-10-28,2017,10,28,,AGF鈴鹿体育館,久光製薬スプリングス,JTマーヴェラス,酒井新悟,豊暉原峻,3,2,5,Win,114,102,122,12:00,14:14,2000,水谷孝義,城智人,佐々木伸子,深田勝利,Home,188,74,17,39.4,14.80,18,7,3,38.9,7,1.40,102,6,10,23,9.1,104,41.0,23.0,50.5
188,74,17,39.4,14.80,18,7,3,38.9,7,1.40,102,6,10,23,9.1,104,41.0,23.0,50.5,307,2017-10-28,2017,10,28,,AGF鈴鹿体育館,JTマーヴェラス,久光製薬スプリングス,吉原知子,丹山禎昭,2,3,5,Lose,102,114,122,12:00,14:14,2000,水谷孝義,城智人,佐々木伸子,深田勝利,Away,165,66,8,40.0,13.20,8,5,0,62.5,9,1.80,113,10,7,33,14.6,89,39.0,24.0,57.3
99,40,3,40.4,13.33,10,2,0,20.0,7,2.33,74,8,3,31,20.3,46,26.0,4.0,60.9,305,2017-10-28,2017,10,28,,ひたちなか市総合運動公園総合体育館,NECレッドロケッツ,埼玉上尾メディックス,山田晃豊,高橋悠,3,0,3,Win,75,53,69,13:00,14:15,1266,勝又正,高橋宏明,渡部菜保子,西部芳夫,Home,110,36,12,32.7,12.00,11,4,1,36.4,5,1.67,54,4,5,16,12.5,68,25.0,12.0,45.6
