AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
191,65,14,34.0,13.00,18,3,3,16.7,10,2.00,107,6,4,49,16.7,90,56.0,0.0,62.2,501,2012-11-17,2012,11,17,,山形県総合運動公園総合体育館,東レアローズ,パイオニアレッドウィングス,菅野幸一郎,越谷 章,3,2,5,Win,108,100,123,13:05,15:20,3200,,富田 満,小野将人,豊田利裕,Home,190,70,12,36.8,14.00,11,5,2,45.5,8,1.60,101,2,9,33,10.0,99,48.0,0.0,48.5
190,70,12,36.8,14.00,11,5,2,45.5,8,1.60,101,2,9,33,10.0,99,48.0,0.0,48.5,501,2012-11-17,2012,11,17,,山形県総合運動公園総合体育館,パイオニアレッドウィングス,東レアローズ,宮下直樹,戸澤勉,2,3,5,Lose,100,108,123,13:05,15:20,3200,,富田 満,小野将人,豊田利裕,Away,191,65,14,34.0,13.00,18,3,3,16.7,10,2.00,107,6,4,49,16.7,90,56.0,0.0,62.2
110,34,7,30.9,11.33,5,1,0,20.0,3,1.00,57,0,1,12,5.3,65,48.0,0.0,73.8,503,2012-11-17,2012,11,17,,福井県営体育館,トヨタ車体クインシーズ,久光製薬スプリングス,泉川正幸,坂本博秋,0,3,3,Lose,55,75,69,14:05,15:20,1800,,田野昭彦,西中野健,藪下大紀,Home,124,55,8,44.4,18.33,17,10,0,58.8,9,3.00,73,3,7,15,8.7,56,44.0,0.0,78.6
124,55,8,44.4,18.33,17,10,0,58.8,9,3.00,73,3,7,15,8.7,56,44.0,0.0,78.6,503,2012-11-17,2012,11,17,,福井県営体育館,久光製薬スプリングス,トヨタ車体クインシーズ,中田久美,野中俊英,3,0,3,Win,75,55,69,14:05,15:20,1800,,田野昭彦,西中野健,藪下大紀,Away,110,34,7,30.9,11.33,5,1,0,20.0,3,1.00,57,0,1,12,5.3,65,48.0,0.0,73.8
186,58,11,31.2,14.50,12,1,2,8.3,5,1.25,77,3,4,28,12.5,93,64.0,0.0,68.8,502,2012-11-17,2012,11,17,,山形県総合運動公園総合体育館,デンソーエアリービーズ,岡山シーガルズ,達川実,辻健志,1,3,4,Lose,76,99,104,16:00,17:53,2000,,江下毅,阿部広太郎,横山満,Home,174,69,5,39.7,17.25,4,1,1,25.0,10,2.50,98,2,5,27,8.5,72,42.0,0.0,58.3
174,69,5,39.7,17.25,4,1,1,25.0,10,2.50,98,2,5,27,8.5,72,42.0,0.0,58.3,502,2012-11-17,2012,11,17,,山形県総合運動公園総合体育館,岡山シーガルズ,デンソーエアリービーズ,河本昭義,吉田啓佑,3,1,4,Win,99,76,104,16:00,17:53,2000,,江下毅,阿部広太郎,横山満,Away,186,58,11,31.2,14.50,12,1,2,8.3,5,1.25,77,3,4,28,12.5,93,64.0,0.0,68.8
113,38,4,33.6,12.67,5,2,0,40.0,11,3.67,73,5,6,18,11.9,46,25.0,0.0,54.3,504,2012-11-17,2012,11,17,,福井県営体育館,NECレッドロケッツ,JTマーヴェラス,山田晃豊,大村悟,3,0,3,Win,75,55,73,16:05,17:24,1850,,北村友香,高橋弘二,藪下大紀,Home,125,37,9,29.6,12.33,16,3,3,18.8,1,0.33,57,6,9,17,16.6,66,44.0,0.0,66.7
125,37,9,29.6,12.33,16,3,3,18.8,1,0.33,57,6,9,17,16.6,66,44.0,0.0,66.7,504,2012-11-17,2012,11,17,,福井県営体育館,JTマーヴェラス,NECレッドロケッツ,石原昭久,尾﨑侯,0,3,3,Lose,55,75,73,16:05,17:24,1850,,北村友香,高橋弘二,藪下大紀,Away,113,38,4,33.6,12.67,5,2,0,40.0,11,3.67,73,5,6,18,11.9,46,25.0,0.0,54.3
190,68,9,35.8,13.60,24,4,1,16.7,9,1.80,96,3,14,26,9.5,103,69.0,0.0,67.0,507,2012-11-18,2012,11,18,,福井県営体育館,JTマーヴェラス,久光製薬スプリングス,石原昭久,尾﨑侯,2,3,5,Lose,95,109,113,13:00,15:05,2000,,高橋弘二,北村友香,藪下大紀,Home,175,65,7,37.1,13.00,23,12,1,52.2,10,2.00,108,8,3,28,12.8,81,53.0,0.0,65.4
175,65,7,37.1,13.00,23,12,1,52.2,10,2.00,108,8,3,28,12.8,81,53.0,0.0,65.4,507,2012-11-18,2012,11,18,,福井県営体育館,久光製薬スプリングス,JTマーヴェラス,中田久美,野中俊英,3,2,5,Win,109,95,113,13:00,15:05,2000,,高橋弘二,北村友香,藪下大紀,Away,190,68,9,35.8,13.60,24,4,1,16.7,9,1.80,96,3,14,26,9.5,103,69.0,0.0,67.0
