AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
148,48,12,32.4,16.00,20,7,2,35.0,7,2.33,73,2,3,30,12.7,61,39.0,0.0,63.9,507,2011-12-24,2011,12,24,,延岡市民体育館,JTマーヴェラス,パイオニアレッドウィングス,石原昭久,尾﨑侯,3,0,3,Win,75,64,82,14:00,15:28,2081,,中馬義郎,坂本紀一,生駒能宏,Away,135,38,12,28.1,12.67,15,1,2,6.7,6,2.00,66,4,3,20,13.0,69,38.0,0.0,55.1
111,42,6,37.8,14.00,1,0,0,0.0,1,0.33,60,5,11,21,16.4,68,37.0,0.0,54.4,508,2011-12-24,2011,12,24,,延岡市民体育館,トヨタ車体クインシーズ,デンソーエアリービーズ,葛和伸元,高橋悠,0,3,3,Lose,59,75,74,16:05,17:25,2160,,大塚達也,山本晋吾,串間宏大,Home,68,28,4,41.2,9.33,2,1,0,50.0,4,1.33,64,0,3,27,10.5,46,23.0,0.0,50.0
68,28,4,41.2,9.33,2,1,0,50.0,4,1.33,64,0,3,27,10.5,46,23.0,0.0,50.0,508,2011-12-24,2011,12,24,,延岡市民体育館,デンソーエアリービーズ,トヨタ車体クインシーズ,達川実,戸澤勉,3,0,3,Win,75,59,74,16:05,17:25,2160,,大塚達也,山本晋吾,串間宏大,Away,111,42,6,37.8,14.00,1,0,0,0.0,1,0.33,60,5,11,21,16.4,68,37.0,0.0,54.4
186,63,8,33.9,12.60,4,2,1,50.0,12,2.40,97,2,3,37,11.2,93,58.0,0.0,62.4,506,2011-12-24,2011,12,24,,とくぎんトモニアリーナ（徳島市立体育館）,NECレッドロケッツ,岡山シーガルズ,山田晃豊,大村悟,2,3,5,Lose,97,102,110,16:41,18:43,2030,,江下毅,石井洋壮,南部雅弘,Home,187,81,7,43.3,16.20,3,1,0,33.3,8,1.60,102,1,8,35,9.4,95,55.0,0.0,57.9
187,81,7,43.3,16.20,3,1,0,33.3,8,1.60,102,1,8,35,9.4,95,55.0,0.0,57.9,506,2011-12-24,2011,12,24,,とくぎんトモニアリーナ（徳島市立体育館）,岡山シーガルズ,NECレッドロケッツ,溝田知茂,吉田啓佑,3,2,5,Win,102,97,110,16:41,18:43,2030,,江下毅,石井洋壮,南部雅弘,Away,186,63,8,33.9,12.60,4,2,1,50.0,12,2.40,97,2,3,37,11.2,93,58.0,0.0,62.4
115,49,6,42.6,16.33,18,5,2,27.8,6,2.00,74,4,7,34,15.8,56,39.0,0.0,69.6,509,2011-12-25,2011,12,25,,とくぎんトモニアリーナ（徳島市立体育館）,久光製薬スプリングス,NECレッドロケッツ,大東雅史,野中俊英,3,0,3,Win,75,59,76,13:00,14:22,2100,,石井洋壮,江下毅,南部雅弘,Home,111,34,7,30.6,11.33,5,0,0,0.0,5,1.67,60,3,4,14,9.8,67,29.0,0.0,43.3
111,34,7,30.6,11.33,5,0,0,0.0,5,1.67,60,3,4,14,9.8,67,29.0,0.0,43.3,509,2011-12-25,2011,12,25,,とくぎんトモニアリーナ（徳島市立体育館）,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,大村悟,0,3,3,Lose,59,75,76,13:00,14:22,2100,,石井洋壮,江下毅,南部雅弘,Away,115,49,6,42.6,16.33,18,5,2,27.8,6,2.00,74,4,7,34,15.8,56,39.0,0.0,69.6
152,60,12,39.5,15.00,0,0,0,-,9,2.25,94,4,7,42,14.8,81,46.0,0.0,56.8,511,2011-12-25,2011,12,25,,高千穂町武道館,トヨタ車体クインシーズ,パイオニアレッドウィングス,葛和伸元,高橋悠,3,1,4,Win,95,87,106,13:00,14:55,1569,,大塚達也,坂本紀一,生駒能宏,Home,144,53,11,36.8,13.25,11,3,1,27.3,7,1.75,88,4,5,33,13.5,86,41.0,0.0,47.7
144,53,11,36.8,13.25,11,3,1,27.3,7,1.75,88,4,5,33,13.5,86,41.0,0.0,47.7,511,2011-12-25,2011,12,25,,高千穂町武道館,パイオニアレッドウィングス,トヨタ車体クインシーズ,宮下直樹,舟越悠二,1,3,4,Lose,87,95,106,13:00,14:55,1569,,大塚達也,坂本紀一,生駒能宏,Away,152,60,12,39.5,15.00,0,0,0,-,9,2.25,94,4,7,42,14.8,81,46.0,0.0,56.8
168,69,8,41.1,13.80,25,9,1,36.0,9,1.80,100,5,4,45,15.4,87,53.0,0.0,60.9,510,2011-12-25,2011,12,25,,とくぎんトモニアリーナ（徳島市立体育館）,東レアローズ,岡山シーガルズ,菅野幸一郎,福田康弘,2,3,5,Lose,100,90,103,15:00,16:55,2140,,田中昭彦,田野敏彦,笠木義弘,Home,161,58,8,36.0,11.60,1,1,0,100.0,11,2.20,90,6,2,29,13.6,95,46.0,0.0,48.4
