No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,井上奈々朱,4,■,■,■,■,,9,4,1,44.4,1.00,0,0,0,-,1,0.25,21,1,2,7,10.7,0,0.0,0.0,-,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
4,,白井美沙紀,3,■,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0.0,0.0,-,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
5,,中田紫乃,3,■,□,□,,,6,0,2,0.0,-,0,0,0,-,0,-,5,0,0,3,15.0,2,2.0,0.0,100.0,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
6,L,中島未来,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
7,,クランヤナ,4,■,■,■,■,,58,25,4,43.1,6.25,8,1,0,12.5,1,0.25,17,1,1,5,11.8,0,0.0,0.0,-,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
8,,小川愛里奈,4,■,■,■,■,,21,14,0,66.7,3.50,1,1,0,100.0,3,0.75,14,0,0,5,8.9,0,0.0,0.0,-,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
10,,関菜々巳,4,□,■,■,■,,2,2,0,100.0,0.50,0,0,0,-,0,-,7,0,0,2,7.1,0,0.0,0.0,-,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
11,L,水杉玲奈,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,8.0,4.0,58.8,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
12,,石川真佑,4,■,■,■,■,,41,14,7,34.1,3.50,5,2,0,40.0,1,0.25,13,0,1,4,5.8,20,14.0,4.0,80.0,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
13,,野呂加南子,4,□,■,■,■,,18,3,1,16.7,0.75,0,0,0,-,0,-,16,2,0,3,17.2,41,15.0,8.0,46.3,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
14,,大崎琴未,2,□,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home
