No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
3,,サンティアゴアライジャダフニ,4,■,■,■,■,,16,10,1,62.5,2.50,0,0,0,-,2,0.50,9,0,1,3,5.6,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
7,L,山岸あかね,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,7.0,3.0,60.7,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
9,,三浦茉実,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
10,,佐藤優花,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
11,,青柳京古,4,■,■,■,■,,15,5,0,33.3,1.25,0,0,0,-,1,0.25,17,1,3,1,2.9,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
13,,井上美咲,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,2,0.50,7,0,0,3,10.7,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
17,,シュシュニャルカタリナ,4,■,■,■,■,,45,19,0,42.2,4.75,12,4,0,33.3,2,0.50,20,1,3,6,8.8,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
19,,荒木夕貴,1,■,,,,,8,1,0,12.5,1.00,0,0,0,-,0,-,3,0,0,1,8.3,10,4.0,0.0,40.0,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
20,,丸山裕子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
23,L,大室璃紗,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
24,,山口珠李,2,□,,,□,,5,2,0,40.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
25,,山崎のの花,2,□,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
26,,堀江美志,4,■,■,■,■,,50,21,2,42.0,5.25,5,0,1,0.0,0,-,17,1,0,5,13.2,34,15.0,10.0,58.8,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
29,,吉野優理,4,□,■,■,■,,24,11,1,45.8,2.75,6,1,0,16.7,1,0.25,23,0,1,5,4.3,15,9.0,2.0,66.7,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,吉田敏明,有田沙織,3,1,4,Win,98,74,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Home
1,,丸山紗季,4,■,■,■,■,,26,6,3,23.1,1.50,0,0,0,-,1,0.25,8,0,0,5,15.6,3,1.0,0.0,33.3,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,KUROBEアクアフェアリーズ,埼玉上尾メディックス,丸山貴也,武田義也,1,3,4,Lose,74,98,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Away
2,,倉見夏乃,4,■,■,■,■,,19,9,0,47.4,2.25,1,0,0,0.0,1,0.25,9,0,0,4,11.1,2,1.0,0.0,50.0,303,2018-11-03,2018,11,03,,ナイスアリーナ（由利本荘アリーナ）,KUROBEアクアフェアリーズ,埼玉上尾メディックス,丸山貴也,武田義也,1,3,4,Lose,74,98,106,12:00,13:55,1200,遠藤健三,澤達大,正岡卓,金田成,Away
