AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
149,55,11,36.9,11.00,1,0,0,0.0,23,4.60,104,5,13,27,10.3,86,51.0,0.0,59.3,501,1999-12-17,1999,12,17,,,イトーヨーカドープリオール,オレンジアタッカーズ,鈴木定,角田博文,3,2,5,Win,105,94,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Home,158,56,9,35.4,11.20,3,2,0,66.7,8,1.60,95,2,9,33,10.4,91,59.0,0.0,64.8
158,56,9,35.4,11.20,3,2,0,66.7,8,1.60,95,2,9,33,10.4,91,59.0,0.0,64.8,501,1999-12-17,1999,12,17,,,オレンジアタッカーズ,イトーヨーカドープリオール,ｾﾘﾝｼﾞｬｰ･ｱﾋﾞﾀﾙ,番平守,2,3,5,Lose,94,105,99,16:30,18:21,2500,,小林朝実,勝又正,竹内幹夫,Away,149,55,11,36.9,11.00,1,0,0,0.0,23,4.60,104,5,13,27,10.3,86,51.0,0.0,59.3
82,29,9,35.4,9.67,2,0,0,0.0,4,1.33,51,2,2,9,7.5,64,38.0,0.0,59.4,502,1999-12-17,1999,12,17,,,日立ベルフィーユ,NECレッドロケッツ,米田一典,福田康弘,0,3,3,Lose,50,75,61,18:30,19:37,2803,,大塚達也,富田満,渡部千穂,Home,91,47,5,51.6,15.67,3,1,0,33.3,7,2.33,74,5,8,23,13.7,49,38.0,0.0,77.6
91,47,5,51.6,15.67,3,1,0,33.3,7,2.33,74,5,8,23,13.7,49,38.0,0.0,77.6,502,1999-12-17,1999,12,17,,,NECレッドロケッツ,日立ベルフィーユ,吉川正博,山田晃豊,3,0,3,Win,75,50,61,18:30,19:37,2803,,大塚達也,富田満,渡部千穂,Away,82,29,9,35.4,9.67,2,0,0,0.0,4,1.33,51,2,2,9,7.5,64,38.0,0.0,59.4
159,50,10,31.4,12.50,3,2,1,66.7,15,3.75,80,0,3,21,6.6,89,49.0,0.0,55.1,505,1999-12-18,1999,12,18,,,東洋紡オーキス,日立リヴァーレ,柳本晶一,山本一裕,1,3,4,Lose,79,95,86,14:00,15:35,1400,,広田修二,小林紀彦,田中栄二,Home,171,64,7,37.4,16.00,1,0,0,0.0,13,3.25,94,3,4,38,12.9,77,56.0,0.0,72.7
171,64,7,37.4,16.00,1,0,0,0.0,13,3.25,94,3,4,38,12.9,77,56.0,0.0,72.7,505,1999-12-18,1999,12,18,,,日立リヴァーレ,東洋紡オーキス,高田秀一,藤本幹朗,3,1,4,Win,95,79,86,14:00,15:35,1400,,広田修二,小林紀彦,田中栄二,Away,159,50,10,31.4,12.50,3,2,1,66.7,15,3.75,80,0,3,21,6.6,89,49.0,0.0,55.1
106,53,3,50.0,17.67,9,3,0,33.3,6,2.00,73,2,8,21,9.4,62,38.0,0.0,61.3,503,1999-12-18,1999,12,18,,,ユニチカフェニックス,JTマーヴェラス,達川実,岸本太道,3,0,3,Win,75,65,64,14:05,15:15,2500,,小林朝実,田中昭彦,四本松善成,Home,94,41,8,43.6,13.67,17,8,1,47.1,8,2.67,67,0,5,24,9.0,65,42.0,0.0,64.6
94,41,8,43.6,13.67,17,8,1,47.1,8,2.67,67,0,5,24,9.0,65,42.0,0.0,64.6,503,1999-12-18,1999,12,18,,,JTマーヴェラス,ユニチカフェニックス,一柳昇,佐藤稔,0,3,3,Lose,65,75,64,14:05,15:15,2500,,小林朝実,田中昭彦,四本松善成,Away,106,53,3,50.0,17.67,9,3,0,33.3,6,2.00,73,2,8,21,9.4,62,38.0,0.0,61.3
95,38,9,40.0,12.67,2,0,1,0.0,4,1.33,57,2,4,16,9.8,66,41.0,0.0,62.1,504,1999-12-18,1999,12,18,,,オレンジアタッカーズ,NECレッドロケッツ,ｾﾘﾝｼﾞｬｰ･ｱﾋﾞﾀﾙ,番平守,0,3,3,Lose,55,75,66,15:51,17:03,3634,,勝又正,大塚達也,土屋明美,Home,100,51,2,51.0,17.00,3,3,0,100.0,9,3.00,73,1,6,25,9.9,53,35.0,0.0,66.0
100,51,2,51.0,17.00,3,3,0,100.0,9,3.00,73,1,6,25,9.9,53,35.0,0.0,66.0,504,1999-12-18,1999,12,18,,,NECレッドロケッツ,オレンジアタッカーズ,吉川正博,吉田信之,3,0,3,Win,75,55,66,15:51,17:03,3634,,勝又正,大塚達也,土屋明美,Away,95,38,9,40.0,12.67,2,0,1,0.0,4,1.33,57,2,4,16,9.8,66,41.0,0.0,62.1
