No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,田村真希,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,2,16.7,0,0.0,0.0,-,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
2,L,川村彩菜,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
3,,岡村貴衣,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
4,,石橋ちとせ,3,■,■,■,,,26,7,2,26.9,2.33,0,0,0,-,0,-,7,0,1,4,14.3,17,7.0,0.0,41.2,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
5,,渡邊美菜,3,■,■,■,,,13,4,1,30.8,1.33,0,0,0,-,0,-,11,0,0,8,18.2,0,0.0,0.0,-,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
6,,伊藤綾子,3,■,■,■,,,17,6,0,35.3,2.00,0,0,0,-,1,0.33,6,0,1,1,4.2,0,0.0,0.0,-,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
7,,江森圭美,3,■,■,■,,,33,9,2,27.3,3.00,8,0,2,0.0,0,-,9,0,1,5,13.9,33,24.0,0.0,72.7,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
10,,山城未沙,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
11,,丸山祐希,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,0,-,10,2,1,1,18.5,1,0.0,0.0,0.0,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
13,,田中芽衣,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home
