AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
133,35,7,26.3,11.67,9,0,2,0.0,1,0.33,54,3,5,23,15.1,73,41.0,0.0,56.2,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,片田瑞己,,0,3,3,Lose,53,75,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Home,133,50,11,37.6,16.67,5,0,2,0.0,6,2.00,74,1,1,31,11.6,49,23.0,0.0,46.9
133,50,11,37.6,16.67,5,0,2,0.0,6,2.00,74,1,1,31,11.6,49,23.0,0.0,46.9,803,2011-12-10,2011,12,10,,熊谷市立市民体育館,KUROBEアクアフェアリーズ,柏エンゼルクロス,米山弘,,3,0,3,Win,75,53,74,13:00,14:20,362,,浅井唯由,重竹雅行,渡邉眞也,Away,133,35,7,26.3,11.67,9,0,2,0.0,1,0.33,54,3,5,23,15.1,73,41.0,0.0,56.2
122,26,12,21.3,8.67,4,1,1,25.0,0,0.00,38,0,4,14,9.2,68,26.0,0.0,38.2,805,2011-12-10,2011,12,10,,菊池市総合体育館,GSS東京サンビームズ,日立リヴァーレ,佐々木雄司,笛木彰,0,3,3,Lose,37,75,62,13:00,14:08,1500,,中馬義郎,上原栄作,鳥井昭宏,Home,85,39,4,45.9,13.00,14,3,2,21.4,11,3.67,74,6,5,37,19.3,34,20.0,0.0,58.8
85,39,4,45.9,13.00,14,3,2,21.4,11,3.67,74,6,5,37,19.3,34,20.0,0.0,58.8,805,2011-12-10,2011,12,10,,菊池市総合体育館,日立リヴァーレ,GSS東京サンビームズ,濱田義弘,菅原貞敬,3,0,3,Win,75,37,62,13:00,14:08,1500,,中馬義郎,上原栄作,鳥井昭宏,Away,122,26,12,21.3,8.67,4,1,1,25.0,0,0.00,38,0,4,14,9.2,68,26.0,0.0,38.2
113,46,7,40.7,15.33,22,9,4,40.9,10,3.33,74,7,4,27,17.5,55,32.0,0.0,58.2,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,75,56,67,13:00,14:13,980,,佐々木功,早坂行博,渡部隆一,Home,122,38,8,31.1,12.67,3,1,0,33.3,4,1.33,57,2,2,21,12.0,66,35.0,0.0,53.0
122,38,8,31.1,12.67,3,1,0,33.3,4,1.33,57,2,2,21,12.0,66,35.0,0.0,53.0,801,2011-12-10,2011,12,10,,多賀城市総合体育館,健祥会レッドハーツ,三洋電機レッドソア,谷口由美恵,,0,3,3,Lose,56,75,67,13:00,14:13,980,,佐々木功,早坂行博,渡部隆一,Away,113,46,7,40.7,15.33,22,9,4,40.9,10,3.33,74,7,4,27,17.5,55,32.0,0.0,58.2
181,67,14,37.0,13.40,29,11,4,37.9,4,0.80,104,5,9,20,9.2,90,53.0,0.0,58.9,802,2011-12-10,2011,12,10,,多賀城市総合体育館,PFUブルーキャッツ,仙台ベルフィーユ,寺廻太,前田幸介,3,2,5,Win,105,104,108,15:00,17:00,1550,,野村考一,高橋宏明,渡部隆一,Home,169,65,11,38.5,13.00,1,0,0,0.0,5,1.00,105,8,12,32,14.3,92,70.0,0.0,76.1
169,65,11,38.5,13.00,1,0,0,0.0,5,1.00,105,8,12,32,14.3,92,70.0,0.0,76.1,802,2011-12-10,2011,12,10,,多賀城市総合体育館,仙台ベルフィーユ,PFUブルーキャッツ,板橋恵,古川靖志,2,3,5,Lose,104,105,108,15:00,17:00,1550,,野村考一,高橋宏明,渡部隆一,Away,181,67,14,37.0,13.40,29,11,4,37.9,4,0.80,104,5,9,20,9.2,90,53.0,0.0,58.9
114,29,2,25.4,9.67,18,5,0,27.8,10,3.33,54,5,4,19,16.9,67,34.0,0.0,50.7,804,2011-12-10,2011,12,10,,熊谷市立市民体育館,Befcoビービースターズ,埼玉上尾メディックス,藤原道生,佐藤和也,0,3,3,Lose,53,75,80,15:00,16:26,627,,中島俊昌,中里明啓,大木茂男,Home,115,54,1,47.0,18.00,12,5,0,41.7,9,3.00,73,3,6,30,13.6,48,26.0,0.0,54.2
115,54,1,47.0,18.00,12,5,0,41.7,9,3.00,73,3,6,30,13.6,48,26.0,0.0,54.2,804,2011-12-10,2011,12,10,,熊谷市立市民体育館,埼玉上尾メディックス,Befcoビービースターズ,吉田敏明,藤本幹朗,3,0,3,Win,75,53,80,15:00,16:26,627,,中島俊昌,中里明啓,大木茂男,Away,114,29,2,25.4,9.67,18,5,0,27.8,10,3.33,54,5,4,19,16.9,67,34.0,0.0,50.7
