No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,川上真央,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
2,,ドリスジェニファー,3,■,■,■,,,20,15,2,75.0,5.00,0,0,0,-,1,0.33,14,1,1,4,12.9,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
4,,石橋朋美,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
7,,彌永衣利,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
8,,三橋聡恵,3,■,■,■,,,33,12,2,36.4,4.00,0,0,0,-,2,0.67,18,2,4,4,16.7,22,11.0,0.0,50.0,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
9,,松浦寛子,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,4,1.33,13,1,3,6,19.2,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
10,,坂下麻衣子,3,■,■,■,,,26,9,1,34.6,3.00,5,1,1,20.0,0,-,7,0,0,3,10.7,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
11,,矢野美子,3,■,■,■,,,11,6,1,54.5,2.00,0,0,0,-,4,1.33,6,0,0,0,0.0,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
12,,清水眞衣,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
15,,大保早耶加,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
16,,宇田沙織,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,3,18.8,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
17,,高橋千晶,3,■,■,■,,,21,11,0,52.4,3.67,0,0,0,-,0,-,8,0,1,1,3.1,19,12.0,0.0,63.2,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
18,L,新井祐喜子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
22,L,谷七海,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,9.0,0.0,56.2,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,77,57,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Home
1,L,田村真希,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,柏エンゼルクロス,PFUブルーキャッツ,岩下忠正,飯田功也,0,3,3,Lose,57,77,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Away
2,,竹本由美,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,0,-,10,0,0,7,17.5,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,柏エンゼルクロス,PFUブルーキャッツ,岩下忠正,飯田功也,0,3,3,Lose,57,77,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Away
3,L,座安好香,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,9.0,0.0,52.9,601,2015-11-07,2015,11,07,,猫田記念体育館,柏エンゼルクロス,PFUブルーキャッツ,岩下忠正,飯田功也,0,3,3,Lose,57,77,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Away
4,,石川綾菜,2,,□,■,,,13,7,1,53.8,3.50,2,1,0,50.0,0,-,6,0,0,2,8.3,1,1.0,0.0,100.0,601,2015-11-07,2015,11,07,,猫田記念体育館,柏エンゼルクロス,PFUブルーキャッツ,岩下忠正,飯田功也,0,3,3,Lose,57,77,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Away
6,,黒木麻衣,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-,601,2015-11-07,2015,11,07,,猫田記念体育館,柏エンゼルクロス,PFUブルーキャッツ,岩下忠正,飯田功也,0,3,3,Lose,57,77,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Away
7,,江森圭美,3,■,■,■,,,29,4,2,13.8,1.33,0,0,0,-,1,0.33,9,1,1,3,19.4,18,12.0,0.0,66.7,601,2015-11-07,2015,11,07,,猫田記念体育館,柏エンゼルクロス,PFUブルーキャッツ,岩下忠正,飯田功也,0,3,3,Lose,57,77,73,13:00,14:19,500,石井洋壮,飯田一明,前川清隆,藤井勇紀,Away
