AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
111,55,6,49.5,18.33,7,1,1,14.3,5,1.67,73,6,9,19,13.9,51,23.0,0.0,45.1,601,2016-10-29,2016,10,29,,富谷スポーツセンター,デンソーエアリービーズ,KUROBEアクアフェアリーズ,山口祐之,辻健志,3,0,3,Win,75,51,68,13:00,14:14,728,佐々木克之,早坂行博,岸名紀彦,渡部隆一,Home,109,29,7,26.6,9.67,4,0,0,0.0,5,1.67,53,2,2,28,16.2,61,42.0,0.0,68.9
109,29,7,26.6,9.67,4,0,0,0.0,5,1.67,53,2,2,28,16.2,61,42.0,0.0,68.9,601,2016-10-29,2016,10,29,,富谷スポーツセンター,KUROBEアクアフェアリーズ,デンソーエアリービーズ,米山弘,,0,3,3,Lose,51,75,68,13:00,14:14,728,佐々木克之,早坂行博,岸名紀彦,渡部隆一,Away,111,55,6,49.5,18.33,7,1,1,14.3,5,1.67,73,6,9,19,13.9,51,23.0,0.0,45.1
133,65,10,48.9,16.25,15,5,3,33.3,8,2.00,100,8,13,47,18.6,70,40.0,0.0,57.1,603,2016-10-29,2016,10,29,,JAぎふアグリパーク鈴ヶ坂アリーナ,埼玉上尾メディックス,大野石油広島オイラーズ,吉田敏明,箕輪憲吾,3,1,4,Win,101,78,92,13:00,14:41,536,高橋憲太郎,浅見靖人,新海正和,岡本まな,Home,132,46,8,34.8,11.50,3,0,0,0.0,3,0.75,79,1,9,30,10.5,85,38.0,0.0,44.7
132,46,8,34.8,11.50,3,0,0,0.0,3,0.75,79,1,9,30,10.5,85,38.0,0.0,44.7,603,2016-10-29,2016,10,29,,JAぎふアグリパーク鈴ヶ坂アリーナ,大野石油広島オイラーズ,埼玉上尾メディックス,豆田憲昭,鈴木輝,1,3,4,Lose,78,101,92,13:00,14:41,536,高橋憲太郎,浅見靖人,新海正和,岡本まな,Away,133,65,10,48.9,16.25,15,5,3,33.3,8,2.00,100,8,13,47,18.6,70,40.0,0.0,57.1
134,47,7,35.1,15.67,8,3,0,37.5,13,4.33,76,1,3,31,11.2,60,36.0,0.0,60.0,602,2016-10-29,2016,10,29,,富谷スポーツセンター,仙台ベルフィーユ,柏エンゼルクロス,葛和伸元,渡辺将嵩,3,0,3,Win,78,65,74,15:00,16:20,1167,佐々木克之,津嶋由香,菅原建,渡部隆一,Home,143,43,7,30.1,14.33,7,2,0,28.6,4,1.33,67,1,6,24,10.4,73,42.0,0.0,57.5
143,43,7,30.1,14.33,7,2,0,28.6,4,1.33,67,1,6,24,10.4,73,42.0,0.0,57.5,602,2016-10-29,2016,10,29,,富谷スポーツセンター,柏エンゼルクロス,仙台ベルフィーユ,岩下忠正,吉川三博,0,3,3,Lose,65,78,74,15:00,16:20,1167,佐々木克之,津嶋由香,菅原建,渡部隆一,Away,134,47,7,35.1,15.67,8,3,0,37.5,13,4.33,76,1,3,31,11.2,60,36.0,0.0,60.0
136,50,7,36.8,16.67,4,0,0,0.0,10,3.33,77,2,6,31,12.1,65,33.0,0.0,50.8,604,2016-10-29,2016,10,29,,JAぎふアグリパーク鈴ヶ坂アリーナ,JAぎふリオレーナ,フォレストリーヴズ熊本,椿本真恵,高橋昂大,3,0,3,Win,79,68,79,15:30,16:55,787,高橋憲太郎,増岡三佳子,奥田誠,佐藤加奈,Home,156,48,11,30.8,16.00,1,1,0,100.0,2,0.67,70,3,5,30,14.1,71,38.0,0.0,53.5
156,48,11,30.8,16.00,1,1,0,100.0,2,0.67,70,3,5,30,14.1,71,38.0,0.0,53.5,604,2016-10-29,2016,10,29,,JAぎふアグリパーク鈴ヶ坂アリーナ,フォレストリーヴズ熊本,JAぎふリオレーナ,中島裕二,,0,3,3,Lose,68,79,79,15:30,16:55,787,高橋憲太郎,増岡三佳子,奥田誠,佐藤加奈,Away,136,50,7,36.8,16.67,4,0,0,0.0,10,3.33,77,2,6,31,12.1,65,33.0,0.0,50.8
91,48,6,52.7,16.00,4,0,1,0.0,7,2.33,73,6,5,43,21.8,48,28.0,0.0,58.3,605,2016-10-30,2016,10,30,,富谷スポーツセンター,デンソーエアリービーズ,柏エンゼルクロス,山口祐之,辻健志,3,0,3,Win,75,51,63,12:00,13:09,642,佐々木克之,早坂行博,菅原建,渡部隆一,Home,99,33,8,33.3,11.00,4,1,1,25.0,3,1.00,53,4,4,20,15.8,66,23.0,0.0,34.8
99,33,8,33.3,11.00,4,1,1,25.0,3,1.00,53,4,4,20,15.8,66,23.0,0.0,34.8,605,2016-10-30,2016,10,30,,富谷スポーツセンター,柏エンゼルクロス,デンソーエアリービーズ,岩下忠正,吉川三博,0,3,3,Lose,51,75,63,12:00,13:09,642,佐々木克之,早坂行博,菅原建,渡部隆一,Away,91,48,6,52.7,16.00,4,0,1,0.0,7,2.33,73,6,5,43,21.8,48,28.0,0.0,58.3
226,79,7,35.0,15.80,1,0,0,0.0,8,1.60,111,3,4,46,12.5,107,46.0,0.0,43.0,607,2016-10-30,2016,10,30,,JAぎふアグリパーク鈴ヶ坂アリーナ,大野石油広島オイラーズ,フォレストリーヴズ熊本,豆田憲昭,鈴木輝,2,3,5,Lose,110,116,123,12:00,14:15,356,高橋憲太郎,増岡三佳子,新海正和,杉原かおり,Home,238,86,9,36.1,17.20,2,1,0,50.0,10,2.00,115,3,6,61,15.7,107,58.0,0.0,54.2
238,86,9,36.1,17.20,2,1,0,50.0,10,2.00,115,3,6,61,15.7,107,58.0,0.0,54.2,607,2016-10-30,2016,10,30,,JAぎふアグリパーク鈴ヶ坂アリーナ,フォレストリーヴズ熊本,大野石油広島オイラーズ,中島裕二,,3,2,5,Win,116,110,123,12:00,14:15,356,高橋憲太郎,増岡三佳子,新海正和,杉原かおり,Away,226,79,7,35.0,15.80,1,0,0,0.0,8,1.60,111,3,4,46,12.5,107,46.0,0.0,43.0
141,42,8,29.8,14.00,18,5,2,27.8,4,1.33,63,2,0,30,14.4,69,38.0,0.0,55.1,606,2016-10-30,2016,10,30,,富谷スポーツセンター,仙台ベルフィーユ,KUROBEアクアフェアリーズ,葛和伸元,渡辺将嵩,0,3,3,Lose,61,75,73,14:00,15:19,1152,佐々木克之,津嶋由香,岸名紀彦,渡部隆一,Home,146,55,8,37.7,18.33,4,0,0,0.0,8,2.67,73,2,4,31,12.8,63,33.0,0.0,52.4
