No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,L,鈴木遥,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
2,,城野真衣,3,,□,■,■,,15,6,1,40.0,2.00,0,0,0,-,2,0.67,7,2,0,3,39.3,16,4.0,3.0,34.4,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
3,,山本直美,2,■,■,,,,14,7,2,50.0,3.50,1,0,0,0.0,1,0.50,6,0,1,1,0.0,14,3.0,4.0,35.7,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
4,,石川綾菜,2,,□,,□,,6,1,1,16.7,0.50,0,0,0,-,0,-,4,0,0,0,0.0,6,2.0,0.0,33.3,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
5,,田中実季,4,■,■,■,■,,31,9,5,29.0,2.25,0,0,0,-,0,-,13,2,1,5,23.1,4,1.0,2.0,50.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
6,,黒木麻衣,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
8,,末代真歩,3,■,■,■,,,17,6,2,35.3,2.00,0,0,0,-,1,0.33,6,0,0,2,8.3,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
10,,楠木舞美子,4,■,■,■,■,,17,4,3,23.5,1.00,0,0,0,-,0,-,12,1,0,4,16.7,1,1.0,0.0,100.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
11,,萩原希,1,,,,□,,10,1,0,10.0,1.00,0,0,0,-,0,-,2,0,0,0,0.0,2,0.0,0.0,0.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
12,,齊藤葉月,4,■,■,■,■,,31,10,0,32.3,2.50,0,0,0,-,0,-,7,0,1,3,7.1,17,6.0,4.0,47.1,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
13,,木村汐里,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,1.0,0.0,100.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
14,L,鶴ヶ崎佳寿葉,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,11.0,2.0,63.2,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
16,,名原寧音,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,0,-,15,1,0,4,13.3,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
18,,徳石あかり,3,,□,□,■,,3,2,0,66.7,0.67,0,0,0,-,0,-,7,0,0,0,0.0,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,片田瑞己,1,3,4,Lose,78,92,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Home
1,,北村果穂,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,1,0.0,0.0,0.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,92,78,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Away
2,,江川優貴,4,■,■,■,■,,40,19,3,47.5,4.75,9,2,2,22.2,3,0.75,12,1,4,3,6.2,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,92,78,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Away
3,,木村友里,4,■,■,■,■,,28,8,1,28.6,2.00,2,0,1,0.0,0,-,21,1,1,11,16.7,19,8.0,3.0,50.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,92,78,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Away
5,,浅川希,4,■,■,■,■,,42,15,2,35.7,3.75,3,1,1,33.3,1,0.25,7,0,1,2,3.6,33,15.0,11.0,62.1,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,92,78,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Away
6,,松尾由紀子,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,92,78,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Away
7,,川満理子,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,92,78,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Away
8,,田村愛美,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,0,-,15,1,0,4,13.3,1,0.0,0.0,0.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,92,78,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Away
9,,戸田さやか,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,92,78,94,13:00,14:43,282,酒出修,内藤聡美,小林隆行,近藤和子,Away
