No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,門間希,3,■,■,■,,,18,5,2,27.8,1.67,0,0,0,-,1,0.33,6,0,1,2,8.3,6,1.0,0.0,16.7,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home
3,,樽谷真由美,3,■,■,■,,,26,5,3,19.2,1.67,0,0,0,-,2,0.67,6,0,0,3,12.5,1,0.0,0.0,0.0,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home
5,,佐々木瞳,3,■,■,■,,,37,6,3,16.2,2.00,0,0,0,-,1,0.33,8,0,2,2,6.2,14,8.0,0.0,57.1,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home
6,,渡辺佑梨子,3,■,■,■,,,18,5,1,27.8,1.67,0,0,0,-,0,-,7,1,0,2,21.4,9,4.0,0.0,44.4,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home
7,,栗田琴恵,3,■,■,■,,,3,0,0,0.0,-,0,0,0,-,0,-,10,1,0,5,22.5,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home
8,L,佐藤みなみ,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,5.0,0.0,26.3,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home
9,,山本摩理,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home
10,,山崎望,3,■,■,■,,,28,2,3,7.1,0.67,1,0,0,0.0,1,0.33,5,1,1,2,26.0,21,10.0,0.0,47.6,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home
3,,吉田あい,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
5,,松浦麻琴,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,4,1.33,12,1,0,5,17.1,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
6,,石田小枝,1,,,■,,,11,3,0,27.3,3.00,0,0,0,-,0,-,4,0,1,1,6.2,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
9,,藤崎朱里,3,■,■,■,,,23,13,1,56.5,4.33,1,0,0,0.0,1,0.33,11,2,0,4,25.5,3,1.0,0.0,33.3,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
10,,山本友里恵,2,,□,□,,,4,1,0,25.0,0.50,0,0,0,-,0,-,3,0,0,2,16.7,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
12,,遠井萌仁,3,□,□,□,,,3,1,0,33.3,0.33,1,0,0,0.0,0,-,5,0,0,4,20.0,2,1.0,0.0,50.0,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
15,,城美鈴,3,■,■,■,,,32,10,1,31.2,3.33,2,1,0,50.0,1,0.33,10,0,1,6,15.0,21,12.0,0.0,57.1,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
18,,張紫音,3,■,■,■,,,18,10,0,55.6,3.33,0,0,0,-,0,-,10,2,1,5,28.5,1,1.0,0.0,100.0,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
19,L,中村かおり,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,5.0,0.0,50.0,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
20,,江畑幸子,2,■,■,,,,12,3,3,25.0,1.50,7,0,3,0.0,1,0.50,8,0,0,4,12.5,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
21,,佐藤瞳,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
22,,戸崎琴美,3,■,■,■,,,8,3,0,37.5,1.00,0,0,0,-,0,-,11,0,0,7,15.9,0,0.0,0.0,-,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away
1,,高橋潤子,3,■,■,■,,,39,13,5,33.3,4.33,5,2,0,40.0,1,0.33,8,1,3,2,18.8,1,0.0,0.0,0.0,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
2,,浦辺真希,3,□,■,■,,,8,5,0,62.5,1.67,1,0,0,0.0,2,0.67,12,2,1,5,23.8,31,12.0,0.0,38.7,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
3,L,大槻めぐみ,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,9.0,0.0,40.9,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
4,,内藤絵莉香,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,10,0,2,3,7.5,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
5,,彦坂香奈,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
6,,木村雅世,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
7,,仁里奈那美,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,1,5.0,3,2.0,0.0,66.7,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
8,,笠松真梨奈,3,■,■,■,,,24,10,0,41.7,3.33,0,0,0,-,1,0.33,6,0,0,5,20.8,4,0.0,0.0,0.0,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
9,,平山麻里,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
10,,上村麻衣,3,■,■,■,,,12,4,1,33.3,1.33,0,0,0,-,1,0.33,11,0,2,6,13.6,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
11,L,石田早織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
12,,乾鈴惠,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
13,,大須賀咲香,2,■,,□,,,4,1,2,25.0,0.50,0,0,0,-,0,-,3,0,0,1,8.3,5,3.0,0.0,60.0,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
14,,王亜辰,3,■,■,■,,,4,0,1,0.0,-,0,0,0,-,1,0.33,5,0,0,3,15.0,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home
1,,谷口由美恵,3,■,■,■,,,19,7,2,36.8,2.33,0,0,0,-,1,0.33,18,3,0,10,28.3,14,6.0,0.0,42.9,702,2009-11-28,2009,11,28,,柏市中央体育館,健祥会レッドハーツ,四国Eighty8Queen,佐々木充,,3,0,3,Win,75,59,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Away
4,,岩本理恵,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,健祥会レッドハーツ,四国Eighty8Queen,佐々木充,,3,0,3,Win,75,59,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Away
5,,三崎栄子,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,健祥会レッドハーツ,四国Eighty8Queen,佐々木充,,3,0,3,Win,75,59,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Away
6,,萩生田弘美,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,11,0,0,6,13.6,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,健祥会レッドハーツ,四国Eighty8Queen,佐々木充,,3,0,3,Win,75,59,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Away
7,,田巻由貴子,3,■,■,■,,,11,2,2,18.2,0.67,0,0,0,-,3,1.00,13,1,2,9,23.5,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,健祥会レッドハーツ,四国Eighty8Queen,佐々木充,,3,0,3,Win,75,59,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Away
8,,服部晃佳,3,■,■,■,,,26,11,3,42.3,3.67,0,0,0,-,0,-,11,1,3,2,11.8,15,5.0,0.0,33.3,702,2009-11-28,2009,11,28,,柏市中央体育館,健祥会レッドハーツ,四国Eighty8Queen,佐々木充,,3,0,3,Win,75,59,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Away
