AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
189,70,7,37.0,14.00,1,1,0,100.0,8,1.60,111,5,7,39,12.6,87,56.0,0.0,64.4,901,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,健祥会レッドハーツ,GSS東京サンビームズ,佐々木充,米山弘,3,2,5,Win,112,96,115,11:00,13:07,370,,大下孝,舘健一,古澤博丈,Home,184,66,17,35.9,13.20,14,3,5,21.4,8,1.60,96,2,7,31,10.2,103,60.0,0.0,58.3
184,66,17,35.9,13.20,14,3,5,21.4,8,1.60,96,2,7,31,10.2,103,60.0,0.0,58.3,901,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,GSS東京サンビームズ,健祥会レッドハーツ,笛木彰,國見茂行,2,3,5,Lose,96,112,115,11:00,13:07,370,,大下孝,舘健一,古澤博丈,Away,189,70,7,37.0,14.00,1,1,0,100.0,8,1.60,111,5,7,39,12.6,87,56.0,0.0,64.4
103,50,13,48.5,16.67,1,0,0,0.0,5,1.67,75,4,14,19,10.9,52,38.0,0.0,73.1,902,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,PFUブルーキャッツ,フォレストリーヴズ熊本,大津躍,東谷友恵,3,0,3,Win,77,58,69,11:03,12:18,210,,城智人,石川美帆,栗田香,Home,85,26,6,30.6,8.67,0,0,0,-,5,1.67,60,0,8,14,5.8,60,38.0,0.0,63.3
85,26,6,30.6,8.67,0,0,0,-,5,1.67,60,0,8,14,5.8,60,38.0,0.0,63.3,902,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,フォレストリーヴズ熊本,PFUブルーキャッツ,中島裕二,田中太史,0,3,3,Lose,58,77,69,11:03,12:18,210,,城智人,石川美帆,栗田香,Away,103,50,13,48.5,16.67,1,0,0,0.0,5,1.67,75,4,14,19,10.9,52,38.0,0.0,73.1
121,35,12,28.9,11.67,2,0,1,0.0,5,1.67,60,3,4,16,10.7,70,37.0,0.0,52.9,904,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,柏エンゼルクロス,三洋電機レッドソア,片田瑞己,柿島新太郎,0,3,3,Lose,58,77,71,13:10,14:27,460,,戸川太輔,油谷秀和,石河秀彦,Home,115,44,9,38.3,14.67,5,0,1,0.0,11,3.67,75,1,5,32,11.7,56,37.0,0.0,66.1
115,44,9,38.3,14.67,5,0,1,0.0,11,3.67,75,1,5,32,11.7,56,37.0,0.0,66.1,904,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,三洋電機レッドソア,柏エンゼルクロス,長屋和敏,坂本博秋,3,0,3,Win,77,58,71,13:10,14:27,460,,戸川太輔,油谷秀和,石河秀彦,Away,121,35,12,28.9,11.67,2,0,1,0.0,5,1.67,60,3,4,16,10.7,70,37.0,0.0,52.9
107,40,6,37.4,13.33,5,2,1,40.0,12,4.00,68,2,13,12,7.1,70,34.0,0.0,48.6,903,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,埼玉上尾メディックス,KUROBEアクアフェアリーズ,高野圭介,藤本幹朗,0,3,3,Lose,67,78,79,13:55,15:20,400,,北村友香,河瀬浩明,古澤博丈,Home,110,46,5,41.8,15.33,3,3,0,100.0,5,1.67,77,4,7,32,14.5,54,41.0,0.0,75.9
110,46,5,41.8,15.33,3,3,0,100.0,5,1.67,77,4,7,32,14.5,54,41.0,0.0,75.9,903,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,KUROBEアクアフェアリーズ,埼玉上尾メディックス,浜田勝彦,,3,0,3,Win,78,67,79,13:55,15:20,400,,北村友香,河瀬浩明,古澤博丈,Away,107,40,6,37.4,13.33,5,2,1,40.0,12,4.00,68,2,13,12,7.1,70,34.0,0.0,48.6
198,64,14,32.3,12.80,6,3,0,50.0,14,2.80,107,1,7,37,9.4,99,62.0,0.0,62.6,905,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,四国Eighty8Queen,大野石油広島オイラーズ,米田一典,高岡伸二,2,3,5,Lose,107,110,114,16:05,18:11,980,,田代英明,舘健一,石河,Home,192,65,11,33.9,13.00,1,0,0,0.0,14,2.80,109,5,10,32,11.0,100,62.0,0.0,62.0
192,65,11,33.9,13.00,1,0,0,0.0,14,2.80,109,5,10,32,11.0,100,62.0,0.0,62.0,905,2009-01-10,2009,01,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,大野石油広島オイラーズ,四国Eighty8Queen,三ヶ島正好,豆田憲昭,3,2,5,Win,110,107,114,16:05,18:11,980,,田代英明,舘健一,石河,Away,198,64,14,32.3,12.80,6,3,0,50.0,14,2.80,107,1,7,37,9.4,99,62.0,0.0,62.6
106,52,6,49.1,17.33,5,1,1,20.0,9,3.00,74,4,4,32,15.1,45,33.0,0.0,73.3,906,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,埼玉上尾メディックス,柏エンゼルクロス,高野圭介,藤本幹朗,3,0,3,Win,75,45,73,10:02,11:21,670,,新海正和,城智人,松井孝志,Home,120,26,6,21.7,8.67,0,0,0,-,6,2.00,46,1,1,11,7.7,70,34.0,0.0,48.6
120,26,6,21.7,8.67,0,0,0,-,6,2.00,46,1,1,11,7.7,70,34.0,0.0,48.6,906,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,柏エンゼルクロス,埼玉上尾メディックス,片田瑞己,柿島新太郎,0,3,3,Lose,45,75,73,10:02,11:21,670,,新海正和,城智人,松井孝志,Away,106,52,6,49.1,17.33,5,1,1,20.0,9,3.00,74,4,4,32,15.1,45,33.0,0.0,73.3
154,43,9,27.9,10.75,0,0,0,-,3,0.75,68,0,7,27,9.9,87,49.0,0.0,56.3,907,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,フォレストリーヴズ熊本,健祥会レッドハーツ,中島裕二,田中太史,1,3,4,Lose,67,97,87,10:03,11:39,300,,戸川太輔,山本和志,姫野真行,Home,131,61,9,46.6,15.25,4,0,0,0.0,11,2.75,96,6,8,33,13.8,61,34.0,0.0,55.7
131,61,9,46.6,15.25,4,0,0,0.0,11,2.75,96,6,8,33,13.8,61,34.0,0.0,55.7,907,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,健祥会レッドハーツ,フォレストリーヴズ熊本,佐々木充,米山弘,3,1,4,Win,97,67,87,10:03,11:39,300,,戸川太輔,山本和志,姫野真行,Away,154,43,9,27.9,10.75,0,0,0,-,3,0.75,68,0,7,27,9.9,87,49.0,0.0,56.3
105,48,10,45.7,16.00,5,1,2,20.0,8,2.67,74,9,9,23,17.8,47,35.0,0.0,74.5,908,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,PFUブルーキャッツ,GSS東京サンビームズ,大津躍,東谷友恵,3,0,3,Win,75,49,63,12:10,13:19,420,,田代正和,村中弘美,戸田幸喜,Home,92,25,7,27.2,8.33,2,0,0,0.0,2,0.67,50,1,3,11,7.1,64,33.0,0.0,51.6
92,25,7,27.2,8.33,2,0,0,0.0,2,0.67,50,1,3,11,7.1,64,33.0,0.0,51.6,908,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,GSS東京サンビームズ,PFUブルーキャッツ,笛木彰,國見茂行,0,3,3,Lose,49,75,63,12:10,13:19,420,,田代正和,村中弘美,戸田幸喜,Away,105,48,10,45.7,16.00,5,1,2,20.0,8,2.67,74,9,9,23,17.8,47,35.0,0.0,74.5
132,58,7,43.9,14.50,2,2,0,100.0,15,3.75,86,2,12,22,8.5,83,50.0,0.0,60.2,909,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,KUROBEアクアフェアリーズ,大野石油広島オイラーズ,浜田勝彦,,1,3,4,Lose,85,91,85,12:25,13:59,420,,大下孝,首藤仁,岡田三千雄,Home,136,50,4,36.8,12.50,0,0,0,-,11,2.75,90,9,4,27,16.2,73,50.0,0.0,68.5
136,50,4,36.8,12.50,0,0,0,-,11,2.75,90,9,4,27,16.2,73,50.0,0.0,68.5,909,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,大野石油広島オイラーズ,KUROBEアクアフェアリーズ,三ヶ島正好,豆田憲昭,3,1,4,Win,91,85,85,12:25,13:59,420,,大下孝,首藤仁,岡田三千雄,Away,132,58,7,43.9,14.50,2,2,0,100.0,15,3.75,86,2,12,22,8.5,83,50.0,0.0,60.2
175,63,10,36.0,12.60,9,2,1,22.2,12,2.40,109,5,4,30,10.7,95,46.0,0.0,48.4,910,2009-01-11,2009,01,11,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,三洋電機レッドソア,四国Eighty8Queen,長屋和敏,坂本博秋,3,2,5,Win,110,103,120,14:10,16:22,950,,高橋弘二,城智人,松井孝志,Home,180,64,17,35.6,12.80,2,0,0,0.0,11,2.20,104,7,6,45,16.8,104,70.0,0.0,67.3
