AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
130,23,12,17.7,7.67,1,0,0,0.0,5,1.67,43,3,4,16,15.8,70,28.0,0.0,40.0,704,2009-11-28,2009,11,28,,大矢野総合体育館,Befcoビービースターズ,日立リヴァーレ,佐藤稔,門間希,0,3,3,Lose,42,75,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Home,112,44,5,39.3,14.67,11,1,3,9.1,7,2.33,74,5,3,38,18.5,37,20.0,0.0,54.1
112,44,5,39.3,14.67,11,1,3,9.1,7,2.33,74,5,3,38,18.5,37,20.0,0.0,54.1,704,2009-11-28,2009,11,28,,大矢野総合体育館,日立リヴァーレ,Befcoビービースターズ,菅原貞敬,大平啓輔,3,0,3,Win,75,42,64,11:00,12:00,630,,須藤義宏,原雄一,梶原修平,Away,130,23,12,17.7,7.67,1,0,0,0.0,5,1.67,43,3,4,16,15.8,70,28.0,0.0,40.0
91,33,9,36.3,11.00,6,2,0,33.3,6,2.00,61,3,9,26,14.9,67,26.0,0.0,38.8,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,59,75,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Home,89,41,9,46.1,13.67,1,1,0,100.0,6,2.00,73,7,5,35,19.9,51,23.0,0.0,45.1
89,41,9,46.1,13.67,1,1,0,100.0,6,2.00,73,7,5,35,19.9,51,23.0,0.0,45.1,702,2009-11-28,2009,11,28,,柏市中央体育館,健祥会レッドハーツ,四国Eighty8Queen,佐々木充,,3,0,3,Win,75,59,70,13:00,14:16,650,,澤達大,児玉泰平,小原耕一,Away,91,33,9,36.3,11.00,6,2,0,33.3,6,2.00,61,3,9,26,14.9,67,26.0,0.0,38.8
90,28,3,31.1,9.33,4,0,0,0.0,3,1.00,45,2,8,16,12.4,70,33.0,0.0,47.1,705,2009-11-28,2009,11,28,,大矢野総合体育館,GSS東京サンビームズ,PFUブルーキャッツ,笛木彰,國見茂行,0,3,3,Lose,44,75,64,13:00,14:10,1200,,坂本紀一,田村誠,鳥井昭宏,Home,90,40,8,44.4,13.33,3,2,0,66.7,8,2.67,73,8,0,32,20.5,37,19.0,0.0,51.4
90,40,8,44.4,13.33,3,2,0,66.7,8,2.67,73,8,0,32,20.5,37,19.0,0.0,51.4,705,2009-11-28,2009,11,28,,大矢野総合体育館,PFUブルーキャッツ,GSS東京サンビームズ,岸本太道,東谷友恵,3,0,3,Win,75,44,64,13:00,14:10,1200,,坂本紀一,田村誠,鳥井昭宏,Away,90,28,3,31.1,9.33,4,0,0,0.0,3,1.00,45,2,8,16,12.4,70,33.0,0.0,47.1
166,56,12,33.7,14.00,5,2,1,40.0,19,4.75,97,6,2,41,15.5,81,48.0,0.0,59.3,703,2009-11-28,2009,11,28,,柏市中央体育館,埼玉上尾メディックス,柏エンゼルクロス,吉田敏明,藤本幹朗,3,1,4,Win,98,87,101,15:00,16:50,800,,田代英明,山内大右,藤崎昭義,Home,181,58,9,32.0,14.50,1,0,1,0.0,8,2.00,88,5,5,30,13.5,95,48.0,0.0,50.5
181,58,9,32.0,14.50,1,0,1,0.0,8,2.00,88,5,5,30,13.5,95,48.0,0.0,50.5,703,2009-11-28,2009,11,28,,柏市中央体育館,柏エンゼルクロス,埼玉上尾メディックス,片田瑞己,,1,3,4,Lose,87,98,101,15:00,16:50,800,,田代英明,山内大右,藤崎昭義,Away,166,56,12,33.7,14.00,5,2,1,40.0,19,4.75,97,6,2,41,15.5,81,48.0,0.0,59.3
111,27,3,24.3,9.00,1,0,0,0.0,5,1.67,57,4,4,13,11.3,65,34.0,0.0,52.3,706,2009-11-28,2009,11,28,,大矢野総合体育館,フォレストリーヴズ熊本,三洋電機レッドソア,中島裕二,古閑鈴香,0,3,3,Lose,55,75,74,15:00,16:20,1300,,山本晋五,山田禎郎,端田直也,Home,117,52,7,44.4,17.33,9,2,4,22.2,10,3.33,73,2,8,29,12.1,53,36.0,0.0,67.9
117,52,7,44.4,17.33,9,2,4,22.2,10,3.33,73,2,8,29,12.1,53,36.0,0.0,67.9,706,2009-11-28,2009,11,28,,大矢野総合体育館,三洋電機レッドソア,フォレストリーヴズ熊本,坂本博秋,浅井朝規,3,0,3,Win,75,55,74,15:00,16:20,1300,,山本晋五,山田禎郎,端田直也,Away,111,27,3,24.3,9.00,1,0,0,0.0,5,1.67,57,4,4,13,11.3,65,34.0,0.0,52.3
