AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
176,52,14,29.5,13.00,20,2,2,10.0,13,3.25,93,4,9,26,8.9,85,52.0,17.0,71.2,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,92,96,102,13:00,14:51,400,伊藤博之,岩井好恵,谷川哲也,友成文恵,Home,181,62,9,34.3,15.50,4,1,1,25.0,5,1.25,95,3,10,13,3.9,83,37.0,18.0,55.4
181,62,9,34.3,15.50,4,1,1,25.0,5,1.25,95,3,10,13,3.9,83,37.0,18.0,55.4,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,96,92,102,13:00,14:51,400,伊藤博之,岩井好恵,谷川哲也,友成文恵,Away,176,52,14,29.5,13.00,20,2,2,10.0,13,3.25,93,4,9,26,8.9,85,52.0,17.0,71.2
196,81,13,41.3,16.20,2,0,0,0.0,11,2.20,114,4,4,30,9.2,105,50.0,23.0,58.6,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,114,114,128,13:00,15:20,820,小林朝実,北原良太,宮島秀紀,橋詰清美,Home,197,79,7,40.1,15.80,5,3,0,60.0,3,0.60,114,9,8,24,11.4,108,52.0,26.0,60.2
197,79,7,40.1,15.80,5,3,0,60.0,3,0.60,114,9,8,24,11.4,108,52.0,26.0,60.2,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,114,114,128,13:00,15:20,820,小林朝実,北原良太,宮島秀紀,橋詰清美,Away,196,81,13,41.3,16.20,2,0,0,0.0,11,2.20,114,4,4,30,9.2,105,50.0,23.0,58.6
181,42,15,23.2,10.50,23,2,3,8.7,6,1.50,77,4,5,15,8.4,89,57.0,8.0,68.5,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,76,97,93,15:30,17:12,900,伊藤博之,橋本賀津郎,熊本結,奥先裕美,Home,167,59,13,35.3,14.75,13,5,1,38.5,9,2.25,96,5,6,24,9.9,72,50.0,7.0,74.3
167,59,13,35.3,14.75,13,5,1,38.5,9,2.25,96,5,6,24,9.9,72,50.0,7.0,74.3,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,ブレス浜松,大野石油広島オイラーズ,濱田義弘,三島静香,3,1,4,Win,97,76,93,15:30,17:12,900,伊藤博之,橋本賀津郎,熊本結,奥先裕美,Away,181,42,15,23.2,10.50,23,2,3,8.7,6,1.50,77,4,5,15,8.4,89,57.0,8.0,68.5
175,55,11,31.4,13.75,4,0,2,0.0,7,1.75,86,1,3,17,5.2,90,43.0,26.0,62.2,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,85,98,100,16:15,18:05,1420,小林朝実,波塚彰優,待井広光,樋口裕晃,Home,194,75,10,38.7,18.75,15,3,1,20.0,4,1.00,97,2,7,19,5.2,83,31.0,34.0,57.8
194,75,10,38.7,18.75,15,3,1,20.0,4,1.00,97,2,7,19,5.2,83,31.0,34.0,57.8,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,98,85,100,16:15,18:05,1420,小林朝実,波塚彰優,待井広光,樋口裕晃,Away,175,55,11,31.4,13.75,4,0,2,0.0,7,1.75,86,1,3,17,5.2,90,43.0,26.0,62.2
193,48,12,24.9,12.00,4,1,0,25.0,3,0.75,78,0,7,7,0.0,87,28.0,22.0,44.8,707,2019-11-10,2019,11,10,広島県,猫田記念体育館,柏エンゼルクロス,ブレス浜松,片田瑞己,豆田憲昭,1,3,4,Lose,77,98,95,12:00,13:44,360,伊藤博之,橋本賀津郎,熊本結,山根凜太朗,Home,197,58,11,29.4,14.50,16,7,1,43.8,11,2.75,97,7,8,34,13.9,71,52.0,12.0,81.7
197,58,11,29.4,14.50,16,7,1,43.8,11,2.75,97,7,8,34,13.9,71,52.0,12.0,81.7,707,2019-11-10,2019,11,10,広島県,猫田記念体育館,ブレス浜松,柏エンゼルクロス,濱田義弘,満原涼,3,1,4,Win,98,77,95,12:00,13:44,360,伊藤博之,橋本賀津郎,熊本結,山根凜太朗,Away,193,48,12,24.9,12.00,4,1,0,25.0,3,0.75,78,0,7,7,0.0,87,28.0,22.0,44.8
