チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
KUROBEアクアフェアリーズ,373,125,26,33.5,26.5,53,17,8,20,197,6,17,80,174,67,46,151,32.1,1.44,0.23,11.0,51.7
ルートインホテルズブリリアントアリーズ,352,119,30,33.8,25.3,38,16,5,18,188,3,12,60,178,57,37,140,42.1,1.37,0.21,8.0,42.4
ヴィクトリーナ姫路,356,125,23,35.1,28.7,24,6,3,19,200,4,20,54,165,41,60,148,25.0,1.52,0.23,6.2,43.0
群馬銀行グリーンウイングス,376,122,26,32.4,25.5,47,11,8,9,185,4,20,60,179,61,61,135,23.4,1.52,0.11,7.6,51.1
