名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
クラリッチカルラ,群馬銀行グリーンウイングス,4,3,6,0,9,113,35,12,31.0,20.4,21,4,4,4,24,0,7,7,1,0,0,39,19.0,3.89,0.44,0.0,0.0
コクラムピンピチャヤ,KUROBEアクアフェアリーズ,26,5,4,1,9,88,25,3,28.4,25.0,9,1,0,0,36,1,3,14,57,24,15,26,11.1,2.78,0.0,10.4,55.3
プラクセレステ,ヴィクトリーナ姫路,6,6,3,2,9,131,51,8,38.9,32.8,20,6,3,5,29,1,4,4,1,0,1,57,30.0,5.67,0.56,3.4,50.0
ラッツメレーテ,KUROBEアクアフェアリーズ,11,5,4,1,9,121,47,11,38.8,29.8,40,15,7,8,35,2,5,13,0,0,0,57,37.5,5.22,0.89,11.4,
中田唯香,群馬銀行グリーンウイングス,8,3,6,0,4,13,6,0,46.2,46.2,1,0,0,0,3,0,0,1,4,1,2,6,0.0,1.5,0.0,8.3,50.0
伊藤寿奈,群馬銀行グリーンウイングス,17,3,6,0,7,39,8,1,20.5,17.9,0,0,0,1,15,0,0,1,1,1,0,9,,1.14,0.14,1.7,100.0
佐々木千紘,ヴィクトリーナ姫路,14,6,3,2,7,26,7,2,26.9,19.2,0,0,0,1,20,1,1,3,0,0,0,9,,1.0,0.14,7.5,
古市彩音,群馬銀行グリーンウイングス,6,3,6,0,9,24,10,0,41.7,41.7,1,0,0,0,20,1,4,8,0,0,0,11,0.0,1.11,0.0,10.0,
古市梨乃,ヴィクトリーナ姫路,18,6,3,2,6,48,15,7,31.2,16.7,0,0,0,1,24,0,3,6,11,1,2,16,,2.5,0.17,3.1,18.2
吉岡みなみ,群馬銀行グリーンウイングス,2,3,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
坊野明里,ヴィクトリーナ姫路,23,6,3,2,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
大元朱菜,ヴィクトリーナ姫路,3,6,3,2,7,9,1,0,11.1,11.1,0,0,0,1,10,0,3,4,3,2,1,2,,0.14,0.14,2.5,83.3
孫田菜奈,ヴィクトリーナ姫路,12,6,3,2,9,74,24,1,32.4,31.1,0,0,0,5,31,0,2,13,101,22,45,29,,2.67,0.56,8.9,44.1
安福若菜,群馬銀行グリーンウイングス,16,3,6,0,3,13,4,0,30.8,30.8,0,0,0,1,9,0,2,2,0,0,0,5,,1.33,0.33,0.0,
富澤結花,ルートインホテルズブリリアントアリーズ,19,4,5,1,9,97,37,8,38.1,29.9,13,4,4,3,23,0,3,6,67,22,14,40,30.8,4.11,0.33,3.3,43.3
小杉凜華,KUROBEアクアフェアリーズ,14,5,4,1,2,0,0,0,,,0,0,0,0,2,0,0,1,5,3,2,0,,0.0,0.0,12.5,80.0
小茂田夏海,ルートインホテルズブリリアントアリーズ,17,4,5,1,9,34,9,6,26.5,8.8,0,0,0,7,23,0,0,9,0,0,0,16,,1.0,0.78,9.8,
小西愛衣,KUROBEアクアフェアリーズ,2,5,4,1,9,9,4,0,44.4,44.4,0,0,0,2,35,2,3,11,1,0,0,8,,0.44,0.22,11.4,0.0
山口真季,ルートインホテルズブリリアントアリーズ,7,4,5,1,9,40,12,4,30.0,20.0,0,0,0,6,27,1,1,10,0,0,0,19,,1.33,0.67,12.0,
山城愛心,KUROBEアクアフェアリーズ,6,5,4,1,6,0,0,0,,,0,0,0,0,13,0,1,8,0,0,0,0,,0.0,0.0,13.5,
岩本周加,ルートインホテルズブリリアントアリーズ,18,4,5,1,8,0,0,0,,,0,0,0,0,10,0,2,5,0,0,0,0,,0.0,0.0,7.5,
