試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,1,,島原玖南,4,■,■,■,■,nan,4,2,0,50.0,50.0,0.50,0,0,0,-,0,-,12,0,5,1,-8.3,1,0,0,0.0,2
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,2,,中野祐希,4,■,■,■,■,nan,48,16,7,33.3,18.8,4.00,13,5,5,38.5,1,0.25,15,1,2,5,11.7,0,0,0,-,18
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,3,,播磨若奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,4,,鈴木沙彩,4,■,■,■,■,nan,38,7,4,18.4,7.9,1.75,0,0,0,-,1,0.25,6,1,2,1,12.5,26,13,4,57.7,9
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,6,L,松川美咲,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,13,2,82.4,0
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,7,,平井裕菜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,8,L,荒木里緒,1,nan,nan,nan,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,9,,山本実奈,1,nan,nan,nan,□,nan,4,2,0,50.0,50.0,2.00,0,0,0,-,0,-,2,0,0,0,0.0,2,0,0,0.0,2
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,10,,中道香名子,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,0,2,8.3,7,2,3,50.0,0
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,11,,小川祐奈,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,2,0,-16.7,0,0,0,-,0
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,13,,浅野奈菜,4,■,■,■,■,nan,14,5,0,35.7,35.7,1.25,0,0,0,-,0,-,13,0,1,6,9.6,0,0,0,-,5
2021-10-30,2021-10,ブレス浜松,JAぎふリオレーナ,1,3,0,14,,藤原ちひろ,4,■,■,■,■,nan,12,3,0,25.0,25.0,0.75,0,0,0,-,1,0.25,11,0,2,1,-2.3,0,0,0,-,4
