名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンドラデレイレライニ,2022-01,ブレス浜松,22,8,4,2,9,84,34,6,40.5,33.3,19,7,3,3,27,2,8,5,4,0,1,39,36.8,3.78,0.33,4.6,12.5
オケケアルメソマチ,2021-10,プレステージ・インターナショナルアランマーレ,1,6,0,2,6,33,14,3,42.4,33.3,2,0,0,3,11,1,0,5,0,0,0,18,0.0,2.33,0.5,20.5,
オケケアルメソマチ,2021-11,プレステージ・インターナショナルアランマーレ,1,10,5,3,15,106,31,6,29.2,23.6,10,1,1,11,31,2,3,8,1,1,0,44,10.0,2.07,0.73,10.5,100.0
オケケアルメソマチ,2021-12,プレステージ・インターナショナルアランマーレ,1,6,0,2,6,34,12,2,35.3,29.4,1,1,0,5,9,0,1,2,0,0,0,17,100.0,2.0,0.83,2.8,
オケケアルメソマチ,2022-01,プレステージ・インターナショナルアランマーレ,1,12,7,3,17,123,39,10,31.7,23.6,6,1,1,13,35,1,6,6,0,0,0,53,16.7,2.29,0.76,2.9,
オケケアルメソマチ,2022-02,プレステージ・インターナショナルアランマーレ,1,3,1,1,3,17,5,4,29.4,5.9,0,0,0,4,3,0,2,0,0,0,0,9,,1.67,1.33,-16.7,
クラリッチカルラ,2021-10,群馬銀行グリーンウイングス,4,6,0,2,3,9,1,1,11.1,0.0,0,0,0,2,1,0,0,0,8,6,1,3,,0.33,0.67,0.0,81.2
クラリッチカルラ,2021-11,群馬銀行グリーンウイングス,4,12,4,4,10,107,41,9,38.3,29.9,7,1,1,8,29,4,4,9,44,23,9,53,14.3,4.1,0.8,18.1,62.5
クラリッチカルラ,2021-12,群馬銀行グリーンウイングス,4,3,0,1,3,29,11,3,37.9,27.6,1,1,0,2,6,0,1,1,17,9,6,13,100.0,3.67,0.67,0.0,70.6
クラリッチカルラ,2022-01,群馬銀行グリーンウイングス,4,11,6,3,17,166,54,5,32.5,29.5,15,4,1,8,59,2,8,19,139,60,19,64,26.7,3.18,0.47,8.1,50.0
クラリッチカルラ,2022-02,群馬銀行グリーンウイングス,4,3,1,1,4,43,18,1,41.9,39.5,9,3,0,0,18,1,2,4,34,10,11,19,33.3,4.5,0.0,8.3,45.6
七條彩乃,2021-11,フォレストリーヴズ熊本,13,5,18,0,7,0,0,0,,,0,0,0,0,8,1,2,4,0,0,0,1,,0.0,0.0,18.8,
七條彩乃,2021-12,フォレストリーヴズ熊本,13,0,3,0,3,0,0,0,,,0,0,0,0,3,0,0,3,0,0,0,0,,0.0,0.0,25.0,
七條彩乃,2022-01,フォレストリーヴズ熊本,13,3,15,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
三宅楓,2021-11,JAぎふリオレーナ,11,5,3,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三宅楓,2021-12,JAぎふリオレーナ,11,4,5,1,3,1,0,0,0.0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中島優花,2021-10,千葉エンゼルクロス,15,0,6,0,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
中島優花,2021-11,千葉エンゼルクロス,15,8,12,2,2,9,3,1,33.3,22.2,0,0,0,0,1,0,0,1,1,0,1,3,,1.5,0.0,25.0,50.0
中島優花,2021-12,千葉エンゼルクロス,15,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島優花,2022-01,千葉エンゼルクロス,15,9,2,3,10,69,35,6,50.7,42.0,0,0,0,2,37,2,3,12,51,23,8,39,,3.5,0.2,11.5,52.9
中條菜津紀,2021-11,フォレストリーヴズ熊本,11,5,18,0,9,0,0,0,,,0,0,0,0,0,0,0,0,6,2,2,0,,0.0,0.0,,50.0
中條菜津紀,2021-12,フォレストリーヴズ熊本,11,0,3,0,1,0,0,0,,,0,0,0,0,0,0,0,0,2,1,0,0,,0.0,0.0,,50.0
中條菜津紀,2022-01,フォレストリーヴズ熊本,11,3,15,0,5,0,0,0,,,0,0,0,0,5,0,1,1,2,0,2,0,,0.0,0.0,0.0,50.0
中田唯香,2021-10,群馬銀行グリーンウイングス,8,6,0,2,6,31,8,4,25.8,12.9,1,0,0,2,37,2,1,13,34,17,12,12,0.0,1.33,0.33,13.5,67.6
中田唯香,2021-11,群馬銀行グリーンウイングス,8,12,4,4,13,141,50,5,35.5,31.9,4,0,0,6,53,0,1,14,73,39,13,56,0.0,3.85,0.46,6.1,62.3
中田唯香,2021-12,群馬銀行グリーンウイングス,8,3,0,1,1,3,1,1,33.3,0.0,0,0,0,0,1,0,0,1,0,0,0,1,,1.0,0.0,25.0,
中田唯香,2022-01,群馬銀行グリーンウイングス,8,11,6,3,7,23,5,1,21.7,17.4,2,0,0,0,7,0,0,2,14,9,1,5,0.0,0.71,0.0,7.1,67.9
中田唯香,2022-02,群馬銀行グリーンウイングス,8,3,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,9,6,2,0,,0.0,0.0,,77.8
中道香名子,2021-10,ブレス浜松,10,4,5,1,7,0,0,0,,,0,0,0,0,13,0,0,5,10,3,3,0,,0.0,0.0,9.6,45.0
中道香名子,2021-11,ブレス浜松,10,5,7,1,11,0,0,0,,,0,0,0,0,21,2,2,8,6,5,0,2,,0.0,0.0,16.7,83.3
中道香名子,2022-01,ブレス浜松,10,12,7,3,17,0,0,0,,,0,0,0,0,29,2,0,5,0,0,0,2,,0.0,0.0,11.2,
中野樹里,2022-01,ブレス浜松,15,12,7,3,18,159,50,6,31.4,27.7,5,1,1,2,58,1,3,20,83,45,19,53,20.0,2.78,0.11,9.1,65.7
中野樹里,2022-02,ブレス浜松,15,1,3,0,4,41,11,2,26.8,22.0,1,0,0,0,22,0,2,8,13,7,2,11,0.0,2.75,0.0,6.8,61.5
中野祐希,2021-10,ブレス浜松,2,4,5,1,9,100,28,13,28.0,15.0,24,7,8,2,24,1,6,7,0,0,0,31,29.2,3.11,0.22,5.2,
中野祐希,2021-11,ブレス浜松,2,5,7,1,12,160,46,11,28.7,21.9,46,13,5,9,40,2,3,7,0,0,0,57,28.3,3.83,0.75,7.5,
中野祐希,2022-01,ブレス浜松,2,6,1,2,5,48,10,2,20.8,16.7,11,2,0,7,15,0,0,2,0,0,0,17,18.2,2.0,1.4,3.3,
中齊里奈,2021-10,ブレス浜松,17,4,5,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中齊里奈,2021-11,ブレス浜松,17,5,7,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中齊里奈,2022-01,ブレス浜松,17,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山莉佳,2022-01,ブレス浜松,16,12,7,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山莉佳,2022-02,ブレス浜松,16,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤寿奈,2021-10,群馬銀行グリーンウイングス,17,6,0,2,6,49,18,4,36.7,28.6,0,0,0,1,15,0,3,5,0,0,0,19,,3.0,0.17,3.3,
伊藤寿奈,2021-11,群馬銀行グリーンウイングス,17,12,4,4,16,95,35,6,36.8,30.5,0,0,0,1,42,0,4,5,4,3,1,36,,2.19,0.06,0.6,87.5
伊藤寿奈,2021-12,群馬銀行グリーンウイングス,17,3,0,1,3,10,5,0,50.0,50.0,0,0,0,1,6,0,0,2,1,1,0,6,,1.67,0.33,8.3,100.0
伊藤寿奈,2022-01,群馬銀行グリーンウイングス,17,11,6,3,15,69,26,1,37.7,36.2,1,1,0,4,40,3,4,3,4,4,0,33,100.0,1.73,0.27,6.9,100.0
伊藤寿奈,2022-02,群馬銀行グリーンウイングス,17,3,1,1,1,12,2,0,16.7,16.7,0,0,0,0,3,0,0,0,0,0,0,2,,2.0,0.0,0.0,
伊藤摩耶,2021-10,プレステージ・インターナショナルアランマーレ,7,6,0,2,6,38,16,2,42.1,36.8,0,0,0,6,32,3,1,11,3,3,0,25,,2.67,1.0,17.2,100.0
伊藤摩耶,2021-11,プレステージ・インターナショナルアランマーレ,7,10,5,3,15,98,39,10,39.8,29.6,0,0,0,13,53,6,5,12,16,14,2,58,,2.6,0.87,14.6,93.8
伊藤摩耶,2021-12,プレステージ・インターナショナルアランマーレ,7,6,0,2,6,48,17,3,35.4,29.2,0,0,0,4,25,1,1,11,2,1,0,22,,2.83,0.67,14.0,50.0
伊藤摩耶,2022-01,プレステージ・インターナショナルアランマーレ,7,12,7,3,19,109,37,9,33.9,25.7,0,0,0,10,63,1,5,24,3,3,0,48,,1.95,0.53,9.1,100.0
伊藤摩耶,2022-02,プレステージ・インターナショナルアランマーレ,7,3,1,1,4,23,9,0,39.1,39.1,0,0,0,3,12,0,2,3,0,0,0,12,,2.25,0.75,2.1,
佐々木里菜,2021-12,ルートインホテルズブリリアントアリーズ,4,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木里菜,2022-01,ルートインホテルズブリリアントアリーズ,4,3,1,1,3,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
佐木田彩夏,2021-11,フォレストリーヴズ熊本,5,5,18,0,4,2,1,0,50.0,50.0,0,0,0,0,2,0,0,0,4,0,0,1,,0.25,0.0,0.0,0.0
佐木田彩夏,2021-12,フォレストリーヴズ熊本,5,0,3,0,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
佐木田彩夏,2022-01,フォレストリーヴズ熊本,5,3,15,0,12,2,1,0,50.0,50.0,0,0,0,0,13,1,3,4,15,5,4,2,,0.08,0.0,9.6,46.7
佐藤あり紗,2021-10,リガーレ仙台,5,0,6,0,6,0,0,0,,,0,0,0,0,0,0,0,0,20,11,5,0,,0.0,0.0,,67.5
佐藤あり紗,2021-11,リガーレ仙台,5,4,6,1,9,0,0,0,,,0,0,0,0,0,0,0,0,24,17,2,0,,0.0,0.0,,75.0
佐藤あり紗,2021-12,リガーレ仙台,5,3,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,15,15,0,0,,0.0,0.0,,100.0
佐藤あり紗,2022-01,リガーレ仙台,5,1,6,0,7,0,0,0,,,0,0,0,0,0,0,0,0,12,10,2,0,,0.0,0.0,,91.7
佐藤あり紗,2022-02,リガーレ仙台,5,3,0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,5,4,1,0,,0.0,0.0,,90.0
佐藤菜々美,2022-01,プレステージ・インターナショナルアランマーレ,18,5,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
入江彩水,2021-11,フォレストリーヴズ熊本,12,5,18,0,23,134,47,7,35.1,29.9,2,1,0,6,63,5,10,16,8,5,1,58,50.0,2.04,0.26,10.3,68.8
入江彩水,2021-12,フォレストリーヴズ熊本,12,0,3,0,3,20,7,1,35.0,30.0,0,0,0,0,22,0,2,7,0,0,0,7,,2.33,0.0,5.7,
入江彩水,2022-01,フォレストリーヴズ熊本,12,3,15,0,18,145,60,7,41.4,36.6,1,0,0,3,64,1,2,15,2,1,0,64,0.0,3.33,0.17,6.6,50.0
前田美紅,2021-10,プレステージ・インターナショナルアランマーレ,2,6,0,2,6,6,2,0,33.3,33.3,1,0,0,0,4,0,0,0,5,4,1,2,0.0,0.33,0.0,0.0,90.0
前田美紅,2021-11,プレステージ・インターナショナルアランマーレ,2,4,4,1,7,46,18,3,39.1,32.6,5,1,1,1,19,0,3,4,28,16,3,19,20.0,2.57,0.14,1.3,62.5
前田美紅,2021-12,プレステージ・インターナショナルアランマーレ,2,6,0,2,6,43,15,1,34.9,32.6,5,2,0,1,15,2,2,5,27,10,8,18,40.0,2.5,0.17,18.3,51.9
前田美紅,2022-01,プレステージ・インターナショナルアランマーレ,2,9,7,2,15,135,37,8,27.4,21.5,3,0,0,3,52,1,2,15,124,46,35,41,0.0,2.47,0.2,8.2,51.2
加藤優奈,2021-10,リガーレ仙台,9,0,6,0,6,8,1,2,12.5,-12.5,0,0,0,0,21,0,1,5,0,0,0,1,,0.17,0.0,4.8,
加藤優奈,2021-11,リガーレ仙台,9,4,6,1,10,15,6,0,40.0,40.0,0,0,0,0,39,0,4,10,0,0,0,6,,0.6,0.0,3.8,
加藤優奈,2021-12,リガーレ仙台,9,3,1,1,4,9,3,0,33.3,33.3,0,0,0,0,21,0,1,0,0,0,0,3,,0.75,0.0,-1.2,
加藤優奈,2022-01,リガーレ仙台,9,1,6,0,7,12,2,0,16.7,16.7,0,0,0,1,26,0,0,5,0,0,0,3,,0.29,0.14,4.8,
加藤優奈,2022-02,リガーレ仙台,9,3,0,1,3,1,0,0,0.0,0.0,0,0,0,0,8,0,0,1,0,0,0,0,,0.0,0.0,3.1,
加藤彩夏,2021-12,リガーレ仙台,13,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
加藤彩夏,2022-01,リガーレ仙台,13,1,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
加藤彩夏,2022-02,リガーレ仙台,13,3,0,1,1,3,1,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
