名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンドラデレイレライニ,ブレス浜松,22,11,7,3,13,125,45,10,36.0,28.0,26,8,4,3,35,2,10,6,25,12,5,50,30.8,3.46,0.23,2.9,58.0
オケケアルメソマチ,プレステージ・インターナショナルアランマーレ,1,37,13,11,47,313,101,25,32.3,24.3,19,3,2,36,89,4,12,21,1,1,0,141,15.8,2.15,0.77,7.0,100.0
クラリッチカルラ,群馬銀行グリーンウイングス,4,38,11,12,40,402,144,21,35.8,30.6,39,10,4,26,123,7,16,38,251,113,49,177,25.6,3.6,0.65,10.2,54.8
七條彩乃,フォレストリーヴズ熊本,13,8,39,0,11,0,0,0,,,0,0,0,0,12,1,2,7,0,0,0,1,,0.0,0.0,18.8,
三宅楓,JAぎふリオレーナ,11,9,8,2,4,1,0,0,0.0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中島優花,千葉エンゼルクロス,15,20,26,5,17,118,50,10,42.4,33.9,1,0,0,2,53,3,3,18,84,37,17,55,0.0,2.94,0.12,12.7,54.2
中條菜津紀,フォレストリーヴズ熊本,11,8,39,0,17,0,0,0,,,0,0,0,0,6,0,1,1,10,3,4,0,,0.0,0.0,0.0,50.0
中田唯香,群馬銀行グリーンウイングス,8,38,11,12,31,198,64,11,32.3,26.8,7,0,0,8,98,2,2,30,130,71,28,74,0.0,2.06,0.26,9.2,65.4
中西杏実,大野石油広島オイラーズ,5,0,3,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中道香名子,ブレス浜松,10,24,22,6,41,0,0,0,,,0,0,0,0,76,4,3,20,16,8,3,4,,0.0,0.0,10.9,59.4
中野樹里,ブレス浜松,15,16,13,4,28,273,90,13,33.0,28.2,10,1,2,4,97,1,7,33,137,73,32,95,10.0,3.21,0.14,7.7,65.0
中野祐希,ブレス浜松,2,15,13,4,26,308,84,26,27.3,18.8,81,22,13,18,79,3,9,16,0,0,0,105,27.2,3.23,0.69,6.0,
中齊里奈,ブレス浜松,17,10,15,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山莉佳,ブレス浜松,16,16,13,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤寿奈,群馬銀行グリーンウイングス,17,38,11,12,41,235,86,11,36.6,31.9,1,1,0,7,106,3,11,15,9,8,1,96,100.0,2.1,0.17,3.8,94.4
伊藤摩耶,プレステージ・インターナショナルアランマーレ,7,37,13,11,50,316,118,24,37.3,29.7,0,0,0,36,185,11,14,61,24,21,2,165,,2.36,0.72,12.3,91.7
佐々木里菜,ルートインホテルズブリリアントアリーズ,4,6,2,2,3,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
佐木田彩夏,フォレストリーヴズ熊本,5,8,39,0,18,4,2,0,50.0,50.0,0,0,0,0,18,1,4,6,19,5,4,3,,0.11,0.0,8.3,36.8
佐藤あり紗,リガーレ仙台,5,14,19,4,32,0,0,0,,,0,0,0,0,0,0,0,0,82,62,10,0,,0.0,0.0,,81.7
