AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
162,49,13,30.2,12.25,18,8,5,44.4,4,1.00,84,3,15,20,5.1,83,39.0,23.0,60.8,713,2021-10-30,2021,10,30,長野県,上田市自然運動公園総合体育館,ブレス浜松,JAぎふリオレーナ,濱田義弘,山本牧乃,1,3,4,Lose,83,95,100,12:00,13:49,400,小林朝実,水間絵美,北原良太,橋詰清美,Home,163,53,10,32.5,13.25,20,5,3,25.0,8,2.00,94,5,11,16,6.6,69,30.0,16.0,55.1
163,53,10,32.5,13.25,20,5,3,25.0,8,2.00,94,5,11,16,6.6,69,30.0,16.0,55.1,713,2021-10-30,2021,10,30,長野県,上田市自然運動公園総合体育館,JAぎふリオレーナ,ブレス浜松,鈴木智大,伊藤徹也,3,1,4,Win,95,83,100,12:00,13:49,400,小林朝実,水間絵美,北原良太,橋詰清美,Away,162,49,13,30.2,12.25,18,8,5,44.4,4,1.00,84,3,15,20,5.1,83,39.0,23.0,60.8
97,44,6,45.4,14.67,8,1,2,12.5,10,3.33,74,5,5,28,14.5,40,22.0,7.0,63.7,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home,109,27,9,24.8,9.00,4,0,1,0.0,1,0.33,43,0,3,11,4.7,67,21.0,15.0,42.5
109,27,9,24.8,9.00,4,0,1,0.0,1,0.33,43,0,3,11,4.7,67,21.0,15.0,42.5,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away,97,44,6,45.4,14.67,8,1,2,12.5,10,3.33,74,5,5,28,14.5,40,22.0,7.0,63.7
122,50,12,41.0,16.67,8,2,2,25.0,8,2.67,74,3,4,33,13.9,51,27.0,14.0,66.7,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home,127,34,6,26.8,11.33,0,0,0,-,3,1.00,57,2,6,8,4.4,70,22.0,12.0,40.0
127,34,6,26.8,11.33,0,0,0,-,3,1.00,57,2,6,8,4.4,70,22.0,12.0,40.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away,122,50,12,41.0,16.67,8,2,2,25.0,8,2.67,74,3,4,33,13.9,51,27.0,14.0,66.7
151,57,10,37.7,19.00,14,4,0,28.6,8,2.67,73,0,7,18,3.8,55,32.0,15.0,71.8,714,2021-10-30,2021,10,30,長野県,上田市自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,GSS東京サンビームズ,井上謙,竹内寿郎,3,0,3,Win,75,54,76,15:30,16:52,610,小林朝実,勝又怜子,待井広光,樋口裕晃,Home,130,32,8,24.6,10.67,3,0,0,0.0,2,0.67,56,1,1,7,4.5,66,24.0,24.0,54.5
130,32,8,24.6,10.67,3,0,0,0.0,2,0.67,56,1,1,7,4.5,66,24.0,24.0,54.5,714,2021-10-30,2021,10,30,長野県,上田市自然運動公園総合体育館,GSS東京サンビームズ,ルートインホテルズブリリアントアリーズ,色摩知巳,笛木彰,0,3,3,Lose,54,75,76,15:30,16:52,610,小林朝実,勝又怜子,待井広光,樋口裕晃,Away,151,57,10,37.7,19.00,14,4,0,28.6,8,2.67,73,0,7,18,3.8,55,32.0,15.0,71.8
219,74,14,33.8,14.80,16,4,3,25.0,7,1.40,110,6,15,26,8.0,97,49.0,18.0,59.8,717,2021-10-31,2021,10,31,長野県,上田市自然運動公園総合体育館,ブレス浜松,GSS東京サンビームズ,濱田義弘,山本牧乃,3,2,5,Win,110,103,125,12:00,14:17,360,小林朝実,勝又怜子,木下智宏,橋詰清美,Home,199,62,14,31.2,12.40,6,5,1,83.3,6,1.20,103,5,5,26,10.0,94,41.0,22.0,55.3
199,62,14,31.2,12.40,6,5,1,83.3,6,1.20,103,5,5,26,10.0,94,41.0,22.0,55.3,717,2021-10-31,2021,10,31,長野県,上田市自然運動公園総合体育館,GSS東京サンビームズ,ブレス浜松,色摩知巳,笛木彰,2,3,5,Lose,103,110,125,12:00,14:17,360,小林朝実,勝又怜子,木下智宏,橋詰清美,Away,219,74,14,33.8,14.80,16,4,3,25.0,7,1.40,110,6,15,26,8.0,97,49.0,18.0,59.8
