名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,2022-04,久光スプリングス,16,4,1,1,5,20,8,2,40.0,30.0,0,0,0,1,18,1,0,10,0,0,0,10,,1.6,0.2,19.4,
クランヤナ,2022-04,東レアローズ,7,1,4,0,5,63,29,2,46.0,42.9,19,8,2,1,22,0,3,9,0,0,0,30,42.1,5.8,0.2,6.8,
中島未来,2022-04,東レアローズ,6,1,4,0,4,0,0,0,,,0,0,0,0,0,0,0,0,15,8,2,0,,0.0,0.0,,60.0
中川美柚,2022-04,久光スプリングス,14,4,1,1,5,18,7,0,38.9,38.9,0,0,0,2,22,3,3,6,29,11,2,12,,1.4,0.4,17.0,41.4
中田紫乃,2022-04,東レアローズ,5,1,4,0,1,4,2,0,50.0,50.0,0,0,0,0,3,0,1,1,7,2,1,2,,2.0,0.0,0.0,35.7
井上奈々朱,2022-04,東レアローズ,1,1,4,0,5,15,8,2,53.3,40.0,0,0,0,1,15,1,2,5,1,1,0,10,,1.6,0.2,11.7,100.0
井上愛里沙,2022-04,久光スプリングス,5,4,1,1,5,68,29,1,42.6,41.2,3,2,0,3,16,1,1,8,0,0,0,33,66.7,5.8,0.6,17.2,
井上美咲,2022-04,久光スプリングス,2,4,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村優香,2022-04,久光スプリングス,12,4,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂本侑,2022-04,東レアローズ,15,1,4,0,1,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
大崎琴未,2022-04,東レアローズ,14,1,4,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大竹里歩,2022-04,久光スプリングス,10,4,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小川愛里奈,2022-04,東レアローズ,8,1,4,0,5,33,12,2,36.4,30.3,0,0,0,0,12,0,3,6,6,2,2,12,,2.4,0.0,6.2,50.0
戸江真奈,2022-04,久光スプリングス,18,4,1,1,5,0,0,0,,,0,0,0,0,0,0,0,0,20,8,4,0,,0.0,0.0,,50.0
栄絵里香,2022-04,久光スプリングス,11,4,1,1,5,0,0,0,,,0,0,0,0,23,0,1,6,0,0,0,0,,0.0,0.0,5.4,
水杉玲奈,2022-04,東レアローズ,11,1,4,0,4,0,0,0,,,0,0,0,0,0,0,0,0,39,23,3,0,,0.0,0.0,,62.8
池谷優佳,2022-04,久光スプリングス,15,4,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,4,0,0,0,,0.0,0.0,,0.0
深澤つぐみ,2022-04,東レアローズ,19,1,4,0,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
深澤めぐみ,2022-04,久光スプリングス,22,4,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
濱松明日香,2022-04,久光スプリングス,17,4,1,1,5,16,10,1,62.5,56.2,0,0,0,3,13,1,1,3,0,0,0,14,,2.0,0.6,11.5,
白井美沙紀,2022-04,東レアローズ,4,1,4,0,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
白澤明香里,2022-04,久光スプリングス,13,4,1,1,5,0,0,0,,,0,0,0,0,7,0,1,1,0,0,0,0,,0.0,0.0,0.0,
石井優希,2022-04,久光スプリングス,6,4,1,1,5,38,15,6,39.5,23.7,0,0,0,4,20,0,2,6,37,13,4,19,,3.0,0.8,5.0,40.5
石川真佑,2022-04,東レアローズ,12,1,4,0,5,49,16,7,32.7,18.4,1,0,0,0,19,0,2,12,16,7,2,16,0.0,3.2,0.0,13.2,50.0
西川吉野,2022-04,東レアローズ,16,1,4,0,5,14,3,1,21.4,14.3,0,0,0,0,13,0,2,5,21,9,2,3,,0.6,0.0,5.8,47.6
野呂加南子,2022-04,東レアローズ,13,1,4,0,3,0,0,0,,,0,0,0,0,4,1,0,1,0,0,0,1,,0.0,0.0,31.2,
野本梨佳,2022-04,久光スプリングス,8,4,1,1,5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
関菜々巳,2022-04,東レアローズ,10,1,4,0,5,2,1,0,50.0,50.0,0,0,0,3,13,0,1,4,0,0,0,4,,0.2,0.6,5.8,
