No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,,小川貴大,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
2,,伊藤裕之介,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,1,0.33,8,0,0,1,3.1,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
3,,水野貴文,2,,□,□,,,3,2,0,66.7,1.00,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
5,,大野隆一,3,■,■,■,,,11,5,2,45.5,1.67,0,0,0,-,2,0.67,10,0,0,3,7.5,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
6,,松本幸博,3,■,■,■,,,23,6,2,26.1,2.00,0,0,0,-,3,1.00,10,0,1,0,-2.5,8,4.0,3.0,68.8,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
9,,新垣宗之,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
11,,平原隆也,3,■,■,■,,,13,5,2,38.5,1.67,1,0,1,0.0,0,-,19,3,4,2,13.2,23,11.0,10.0,69.6,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
14,,中道元貴,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
15,,河西敦司,3,■,■,■,,,28,11,1,39.3,3.67,9,2,1,22.2,1,0.33,16,1,0,3,10.9,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
16,,金子優海,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
18,L,吉澤玄祐,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,10.0,1.0,75.0,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
19,L,神谷昂紀,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
22,,阿部翼,3,■,■,■,,,19,12,2,63.2,4.00,0,0,0,-,1,0.33,4,0,0,0,0.0,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
