,coef,stderr,z,P>|z|,[0.025,0.975]
ASucc%,1.9872,0.145,13.714,0.000,1.703,2.271
BASucc%,0.0228,0.109,0.209,0.835,-0.191,0.237
BP/S,1.4600,0.117,12.461,0.000,1.230,1.690
SVEff%,1.1880,0.109,10.852,0.000,0.973,1.403
RSucc%,0.5798,0.093,6.210,0.000,0.397,0.76
