,coef,stderr,z,P>|z|,[0.025,0.975]
SVA,0.9647,0.158,6.092,0.000,0.654,1.275
SVP,-0.7751,0.301,-2.576,0.010,-1.365,-0.185
SVE,0.1836,0.158,1.159,0.246,-0.127,0.494
SVx,-0.5153,0.241,-2.142,0.032,-0.987,-0.044
SVEff%,1.8859,0.400,4.715,0.000,1.102,2.67
