チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
FC東京,3265,1419,199,43.5,37.4,558,230,61,212,2502,90,409,569,2172,878,588,1721,41.2,1.33,0.2,5.2,54.0
JTサンダーズ広島,3606,1708,248,47.4,40.5,888,471,81,288,2938,131,478,603,2385,1089,540,2127,53.0,1.39,0.23,5.5,57.0
VC長野トライデンツ,3472,1522,243,43.8,36.8,783,356,86,215,2606,79,426,537,2458,998,554,1816,45.5,1.39,0.2,4.1,51.9
ウルフドッグス名古屋,3194,1659,221,51.9,45.0,850,456,78,287,2830,123,489,720,2169,1025,475,2069,53.6,1.6,0.28,6.4,58.2
サントリーサンバーズ,3263,1733,229,53.1,46.1,905,487,77,270,2963,172,619,779,2226,882,585,2175,53.8,1.45,0.23,7.2,52.8
ジェイテクトSTINGS,3279,1589,240,48.5,41.1,711,388,63,258,2750,137,401,636,2216,972,576,1984,54.6,1.41,0.23,7.1,56.9
パナソニックパンサーズ,3604,1869,201,51.9,46.3,673,359,55,278,3194,149,423,847,2305,997,582,2296,53.3,1.64,0.24,8.0,55.9
堺ブレイザーズ,3399,1714,177,50.4,45.2,565,288,52,328,2906,113,444,709,2253,1020,497,2155,51.0,1.46,0.28,6.2,56.3
大分三好ヴァイセアドラー,3359,1577,269,46.9,38.9,820,407,92,170,2544,125,569,598,2428,1018,556,1872,49.6,1.33,0.14,5.2,53.4
東レアローズ,3475,1757,214,50.6,44.4,664,347,72,304,3090,210,538,687,2360,1166,577,2271,52.3,1.43,0.25,8.0,61.6
