試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,1,,藤中優斗,4,■,■,■,■,nan,16,6,0,37.5,37.5,1.50,2,2,0,100.0,0,-,11,0,4,1,-6.8,22,8,9,56.8,6
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,2,,金丸晃大,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,4,,福山汰一,4,■,■,■,■,nan,14,8,1,57.1,50.0,2.00,0,0,0,-,2,0.50,11,0,2,2,0.0,3,2,0,66.7,10
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,6,,フォンテレスフェリペ,4,■,■,□,□,nan,22,2,6,9.1,-18.2,0.50,2,0,0,0.0,0,-,8,1,2,0,6.2,18,7,7,58.3,3
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,8,,郡浩也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,9,,村山豪,4,■,■,■,■,nan,7,4,0,57.1,57.1,1.00,0,0,0,-,0,-,14,1,3,0,1.8,3,1,1,50.0,5
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,10,,小林光輝,3,nan,□,■,■,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,12,0,0,5,10.4,0,0,0,-,1
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,11,,袴谷亮介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,12,,興梠亮,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,0,50.0,0
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,15,,宮浦健人,4,■,■,■,■,nan,51,22,2,43.1,39.2,5.50,24,13,2,54.2,0,-,16,1,4,5,7.8,2,1,1,75.0,23
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,16,,久保山尚,2,■,■,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,17,L,本間隆太,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,12,5,72.5,0
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,18,,道井淳平,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,0
2021-10-15,2021-10,ジェイテクトSTINGS,JTサンダーズ広島,1,3,0,20,,都築仁,3,nan,□,■,■,nan,13,6,0,46.2,46.2,2.00,2,1,0,50.0,0,-,7,1,3,1,7.1,12,3,5,45.8,7
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,1,,安永拓弥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,2,,小野寺太志,4,■,■,■,■,nan,8,3,0,37.5,37.5,0.75,0,0,0,-,8,2.00,10,0,2,4,5.0,2,2,0,100.0,11
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,3,,西村信,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,1,1,0,100.0,0
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,4,,中島健太,4,■,■,■,■,nan,7,2,1,28.6,14.3,0.50,0,0,0,-,4,1.00,19,0,3,3,0.0,1,1,0,100.0,6
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,6,,エドガートーマス,4,■,■,■,■,nan,36,17,6,47.2,30.6,4.25,13,7,2,53.8,3,0.75,16,1,2,2,6.2,0,0,0,-,21
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,7,,新井雄大,4,■,■,■,■,nan,19,8,3,42.1,26.3,2.00,1,1,0,100.0,2,0.50,11,0,2,3,2.3,25,7,7,42.0,10
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,8,,武智洸史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,11,,坂下純也,4,■,■,■,■,nan,19,10,0,52.6,52.6,2.50,4,1,0,25.0,0,-,21,0,1,3,2.4,12,5,3,54.2,10
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,12,,合田心平,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,14,,熊倉允,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,15,L,唐川大志,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,8,7,63.9,0
2021-10-15,2021-10,JTサンダーズ広島,ジェイテクトSTINGS,3,1,1,17,,金子聖輝,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,2,0.50,12,0,1,2,2.1,0,0,0,-,2
