名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エスペホマーク,FC東京,15,31,47,7,69,447,163,37,36.5,28.2,68,35,9,22,192,10,58,49,402,153,115,195,51.5,2.36,0.32,4.0,52.4
エドガートーマス,JTサンダーズ広島,6,45,48,10,93,1092,545,75,49.9,43.0,436,242,32,27,345,28,96,96,1,0,0,600,55.5,5.86,0.29,8.1,0.0
エバデダンラリー,パナソニックパンサーズ,23,20,8,6,5,9,5,1,55.6,44.4,0,0,0,1,11,0,2,3,6,3,1,6,,1.0,0.2,2.3,58.3
エメルソンロドリゲス,大分三好ヴァイセアドラー,2,25,66,5,75,595,263,63,44.2,33.6,258,119,29,6,236,21,71,74,0,0,0,290,46.1,3.51,0.08,9.2,
クビアクミハウ,パナソニックパンサーズ,13,49,28,14,77,579,261,54,45.1,35.8,101,51,11,23,309,16,40,88,551,246,121,300,50.5,3.39,0.3,9.1,55.6
クレクバルトシュ,ウルフドッグス名古屋,3,53,34,15,87,991,534,75,53.9,46.3,433,241,35,38,374,29,95,125,13,7,4,601,55.7,6.14,0.44,9.8,69.2
クヴァーレンヨナス,FC東京,1,34,53,8,87,674,301,39,44.7,38.9,93,36,10,38,298,13,52,78,545,186,144,352,38.7,3.46,0.44,6.5,47.3
シャロンバーノンエバンズ,堺ブレイザーズ,13,55,32,16,87,799,419,30,52.4,48.7,242,118,18,44,313,26,81,83,7,2,1,489,48.8,4.82,0.51,8.5,35.7
デアルマスアライン,サントリーサンバーズ,7,60,33,19,85,534,273,32,51.1,45.1,192,108,13,20,251,17,46,81,49,13,13,310,56.2,3.21,0.24,10.3,39.8
ヌルムルキリヴァン,VC長野トライデンツ,10,17,71,1,65,723,294,56,40.7,32.9,289,133,24,19,216,10,43,60,2,0,2,323,46.0,4.52,0.29,6.6,50.0
バグナスブライアン,大分三好ヴァイセアドラー,1,25,66,5,89,642,305,43,47.5,40.8,117,63,13,44,288,17,65,84,530,163,140,366,53.8,3.43,0.49,7.6,44.0
バロッティアルパッド,サントリーサンバーズ,91,15,12,5,13,13,4,1,30.8,23.1,2,1,1,2,2,0,0,2,0,0,0,6,50.0,0.31,0.15,25.0,
パダルクリスティアン,東レアローズ,4,56,36,16,88,938,480,79,51.2,42.8,350,183,42,38,353,67,112,105,22,5,7,585,52.3,5.45,0.43,18.5,38.6
フォンテレスフェリペ,ジェイテクトSTINGS,6,49,44,13,90,651,331,62,50.8,41.3,102,65,10,37,346,32,68,131,575,269,137,400,63.7,3.68,0.41,13.8,58.7
ムセルスキードミトリー,サントリーサンバーズ,13,28,8,9,36,393,215,37,54.7,45.3,157,84,17,15,137,13,47,35,0,0,0,243,53.5,5.97,0.42,7.3,
三輪大将,VC長野トライデンツ,19,11,29,1,35,114,66,8,57.9,50.9,0,0,0,11,103,4,8,11,8,3,2,81,,1.89,0.31,4.6,50.0
中島健太,JTサンダーズ広島,4,45,48,10,70,139,75,2,54.0,52.5,0,0,0,38,199,5,29,29,21,11,3,118,,1.07,0.54,2.5,59.5
中村啓人,VC長野トライデンツ,17,11,29,1,10,27,12,0,44.4,44.4,2,1,0,1,26,2,6,6,30,5,6,15,50.0,1.2,0.1,7.7,26.7
中村竜輔,VC長野トライデンツ,4,6,42,0,44,93,43,6,46.2,39.8,0,0,0,15,115,2,10,13,9,5,2,60,,0.98,0.34,2.4,66.7
中村駿介,パナソニックパンサーズ,3,13,7,3,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
久保山尚,ジェイテクトSTINGS,16,49,44,13,89,8,1,1,12.5,0.0,0,0,0,21,274,5,6,51,5,0,0,27,,0.01,0.24,5.9,0.0
久保田雅人,大分三好ヴァイセアドラー,13,25,66,5,37,0,0,0,,,0,0,0,0,0,0,0,0,105,44,26,0,,0.0,0.0,,54.3
井上慎一朗,JTサンダーズ広島,5,14,24,2,12,0,0,0,,,0,0,0,0,11,0,5,2,0,0,0,0,,0.0,0.0,-6.8,
井上航,JTサンダーズ広島,10,18,25,3,27,0,0,0,,,0,0,0,0,0,0,0,0,111,60,22,0,,0.0,0.0,,64.0
井口直紀,大分三好ヴァイセアドラー,21,25,66,5,77,7,5,0,71.4,71.4,0,0,0,1,173,3,8,27,7,0,0,9,,0.06,0.01,4.5,0.0
今村貴彦,パナソニックパンサーズ,9,37,24,10,11,7,1,2,14.3,-14.3,0,0,0,0,3,1,0,0,2,2,0,2,,0.09,0.0,33.3,100.0
仲本賢優,パナソニックパンサーズ,8,54,31,15,69,302,155,18,51.3,45.4,13,5,2,14,236,6,53,49,313,119,69,175,38.5,2.25,0.2,2.1,49.0
伊藤樹,VC長野トライデンツ,6,17,71,1,47,119,34,10,28.6,20.2,6,0,2,11,81,2,16,9,204,50,54,47,0.0,0.72,0.23,0.3,37.7
伊藤洸貴,大分三好ヴァイセアドラー,11,13,27,3,35,5,2,0,40.0,40.0,0,0,0,2,69,3,14,17,0,0,0,7,,0.06,0.06,5.4,
伊賀亮平,パナソニックパンサーズ,16,54,31,15,9,0,0,0,,,0,0,0,0,0,0,0,0,10,4,5,0,,0.0,0.0,,65.0
伏見大和,ウルフドッグス名古屋,4,53,34,15,12,10,4,0,40.0,40.0,0,0,0,6,27,0,4,4,4,1,2,10,,0.33,0.5,0.0,50.0
佐川翔,堺ブレイザーズ,8,54,29,16,55,0,0,0,,,0,0,0,0,79,2,15,14,0,0,0,2,,0.0,0.0,2.2,
佐藤望実,FC東京,19,28,42,6,15,63,18,4,28.6,22.2,4,2,0,2,34,2,9,3,26,6,10,22,50.0,1.2,0.13,1.5,42.3
佐藤謙次,サントリーサンバーズ,12,60,33,19,49,15,8,1,53.3,46.7,0,0,0,3,70,1,11,14,0,0,0,12,,0.16,0.06,2.5,
備一真,大分三好ヴァイセアドラー,12,25,66,5,75,0,0,0,,,0,0,0,0,1,0,0,0,342,215,52,0,,0.0,0.0,0.0,70.5
傳田亮太,ウルフドッグス名古屋,11,53,34,15,84,183,112,6,61.2,57.9,0,0,0,55,199,5,28,43,24,13,2,172,,1.33,0.65,4.4,58.3
兒玉康成,パナソニックパンサーズ,21,23,12,6,30,61,45,0,73.8,73.8,0,0,0,5,101,6,6,20,6,0,2,56,,1.5,0.17,9.4,16.7
出耒田敬,堺ブレイザーズ,7,55,32,16,87,198,114,5,57.6,55.1,0,0,0,41,229,2,21,49,29,14,7,157,,1.31,0.47,3.9,60.3
前田一誠,ウルフドッグス名古屋,5,53,34,15,61,3,3,0,100.0,100.0,0,0,0,4,139,1,4,27,1,0,0,8,,0.05,0.07,4.9,0.0
加藤久典,サントリーサンバーズ,14,30,18,10,15,19,10,2,52.6,42.1,0,0,0,1,28,0,1,5,6,2,3,11,,0.67,0.07,3.6,58.3
勝将哉,大分三好ヴァイセアドラー,4,10,36,2,2,1,1,0,100.0,100.0,0,0,0,0,4,1,1,0,3,0,0,2,,0.5,0.0,18.8,0.0
勝岡将斗,ウルフドッグス名古屋,23,43,27,12,45,0,0,0,,,0,0,0,0,60,1,9,15,0,0,0,1,,0.0,0.0,4.2,
千々木駿介,堺ブレイザーズ,10,55,32,16,33,54,18,4,33.3,25.9,8,3,3,1,22,0,2,9,0,0,0,19,37.5,0.55,0.03,8.0,
古賀健太,大分三好ヴァイセアドラー,18,25,66,5,64,359,175,34,48.7,39.3,148,73,20,10,128,9,47,30,3,0,2,194,49.3,2.73,0.16,3.7,33.3
古賀太一郎,FC東京,10,21,32,4,50,0,0,0,,,0,0,0,0,0,0,0,0,225,127,45,0,,0.0,0.0,,66.4
合田心平,JTサンダーズ広島,12,45,48,10,38,1,0,0,0.0,0.0,0,0,0,0,45,1,4,6,0,0,0,1,,0.0,0.0,3.3,
