No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,松田智人,3,■,■,■,,,12,6,1,50.0,2.00,1,0,0,0.0,0,-,12,2,1,5,25.4,0,0.0,0.0,-,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
2,,金丸晃大,3,■,■,■,,,8,5,0,62.5,1.67,0,0,0,-,3,1.00,17,0,0,5,7.4,0,0.0,0.0,-,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
5,,豊田昇平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
8,,吉田雄一,3,■,■,■,,,8,6,1,75.0,2.00,0,0,0,-,2,0.67,5,0,0,0,0.0,0,0.0,0.0,-,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
9,,石田敬喜,3,■,■,■,,,15,8,4,53.3,2.67,2,0,2,0.0,2,0.67,12,0,1,4,8.3,12,11.0,0.0,91.7,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
10,,松原広輔,3,■,■,■,,,16,8,2,50.0,2.67,0,0,0,-,1,0.33,12,1,2,7,22.9,18,11.0,0.0,61.1,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
11,,其原健太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
12,L,興梠亮,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,12.0,0.0,85.7,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
14,,後藤大輔,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,6,0,1,1,4.2,0,0.0,0.0,-,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
17,,田中飛鳥,3,■,■,■,,,4,2,0,50.0,0.67,0,0,0,-,1,0.33,10,0,1,0,0.0,1,1.0,0.0,100.0,701,2008-01-12,2008,01,12,,大同特殊鋼体育館,ジェイテクトSTINGS,近畿クラブスフィーダ,長井浩二,宗宮直人,3,0,3,Win,75,55,55,12:00,13:01,180,,高橋弘二,丹羽敏彰,永崎重文,Home
