AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
81,40,9,49.4,13.33,8,5,1,62.5,4,1.33,77,2,4,19,8.8,54,30.0,0.0,55.6,306,2007-01-14,2007,01,14,,大同特殊鋼体育館,ジェイテクトSTINGS,大同特殊鋼レッドスター,長井浩二,宗宮直人,3,0,3,Win,79,66,71,13:30,14:47,325,,柘植知則,黒田伸浩,岡田三千雄,Home,96,42,12,43.8,14.00,6,3,0,50.0,7,2.33,68,1,14,23,9.6,71,52.0,0.0,73.2
96,42,12,43.8,14.00,6,3,0,50.0,7,2.33,68,1,14,23,9.6,71,52.0,0.0,73.2,306,2007-01-14,2007,01,14,,大同特殊鋼体育館,大同特殊鋼レッドスター,ジェイテクトSTINGS,東岡昇,中尾貞治,0,3,3,Lose,66,79,71,13:30,14:47,325,,柘植知則,黒田伸浩,岡田三千雄,Away,81,40,9,49.4,13.33,8,5,1,62.5,4,1.33,77,2,4,19,8.8,54,30.0,0.0,55.6
93,37,4,39.8,12.33,12,3,2,25.0,3,1.00,64,1,16,8,4.7,64,39.0,0.0,60.9,308,2007-01-14,2007,01,14,,伊那市民体育館,近畿クラブスフィーダ,FC東京,浦田範夫,山本雅史,0,3,3,Lose,62,75,65,13:35,14:46,1050,,中島俊昌,鏡味照明,嶋田和明,Home,88,43,10,48.9,14.33,13,5,3,38.5,8,2.67,73,4,6,24,13.4,47,39.0,0.0,83.0
88,43,10,48.9,14.33,13,5,3,38.5,8,2.67,73,4,6,24,13.4,47,39.0,0.0,83.0,308,2007-01-14,2007,01,14,,伊那市民体育館,FC東京,近畿クラブスフィーダ,金澤正明,今橋茂樹,3,0,3,Win,75,62,65,13:35,14:46,1050,,中島俊昌,鏡味照明,嶋田和明,Away,93,37,4,39.8,12.33,12,3,2,25.0,3,1.00,64,1,16,8,4.7,64,39.0,0.0,60.9
135,59,16,43.7,14.75,11,3,2,27.3,5,1.25,87,2,14,27,9.6,82,53.0,0.0,64.6,309,2007-01-20,2007,01,20,,豊田市高岡公園体育館,トヨタ自動車サンホークス,大同特殊鋼レッドスター,平野天,近藤治,1,3,4,Lose,86,91,84,13:00,14:33,120,,大下孝,舘健一,岡田三千雄,Home,109,47,11,43.1,11.75,5,0,0,0.0,10,2.50,90,2,8,27,9.3,73,44.0,0.0,60.3
109,47,11,43.1,11.75,5,0,0,0.0,10,2.50,90,2,8,27,9.3,73,44.0,0.0,60.3,309,2007-01-20,2007,01,20,,豊田市高岡公園体育館,大同特殊鋼レッドスター,トヨタ自動車サンホークス,東岡昇,,3,1,4,Win,91,86,84,13:00,14:33,120,,大下孝,舘健一,岡田三千雄,Away,135,59,16,43.7,14.75,11,3,2,27.3,5,1.25,87,2,14,27,9.6,82,53.0,0.0,64.6
112,54,8,48.2,13.50,19,10,2,52.6,9,2.25,96,2,11,13,5.3,68,56.0,0.0,82.4,311,2007-01-20,2007,01,20,,盛岡市・渋民運動公園総合体育館,FC東京,つくばユナイテッドSunGAIA,金澤正明,今橋茂樹,3,1,4,Win,97,82,85,13:00,14:34,310,,田代英明,佐々木泰幸,星啓一,Home,115,47,17,40.9,11.75,25,11,4,44.0,14,3.50,83,2,14,11,5.5,84,70.0,0.0,83.3
115,47,17,40.9,11.75,25,11,4,44.0,14,3.50,83,2,14,11,5.5,84,70.0,0.0,83.3,311,2007-01-20,2007,01,20,,盛岡市・渋民運動公園総合体育館,つくばユナイテッドSunGAIA,FC東京,都澤凡夫,佐藤由法,1,3,4,Lose,82,97,85,13:00,14:34,310,,田代英明,佐々木泰幸,星啓一,Away,112,54,8,48.2,13.50,19,10,2,52.6,9,2.25,96,2,11,13,5.3,68,56.0,0.0,82.4
91,40,7,44.0,13.33,11,3,2,27.3,7,2.33,62,5,4,9,10.1,71,56.0,0.0,78.9,312,2007-01-20,2007,01,20,,盛岡市・渋民運動公園総合体育館,警視庁フォートファイターズ,東京ヴェルディ,米山憲二,立田哲雄,0,3,3,Lose,61,75,69,15:10,16:25,318,,菊地博美,藤原和紀,柳村元,Home,94,48,6,51.1,16.00,14,7,2,50.0,12,4.00,74,2,3,13,6.6,58,44.0,0.0,75.9
94,48,6,51.1,16.00,14,7,2,50.0,12,4.00,74,2,3,13,6.6,58,44.0,0.0,75.9,312,2007-01-20,2007,01,20,,盛岡市・渋民運動公園総合体育館,東京ヴェルディ,警視庁フォートファイターズ,山中禎一郎,増山光洋,3,0,3,Win,75,61,69,15:10,16:25,318,,菊地博美,藤原和紀,柳村元,Away,91,40,7,44.0,13.33,11,3,2,27.3,7,2.33,62,5,4,9,10.1,71,56.0,0.0,78.9
