AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
125,64,13,51.2,16.00,19,11,2,57.9,12,3.00,102,2,15,35,10.1,83,44.0,0.0,53.0,501,2016-11-05,2016,11,05,,霞ヶ浦文化体育会館（水郷体育館）,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,勝田祥平,山本道彦,3,1,4,Win,103,101,111,11:00,13:00,554,斎藤篤,松延亮一,笠倉雅弘,酒寄和記,Home,117,59,3,50.4,14.75,20,11,0,55.0,7,1.75,102,1,19,39,10.3,87,52.0,0.0,59.8
117,59,3,50.4,14.75,20,11,0,55.0,7,1.75,102,1,19,39,10.3,87,52.0,0.0,59.8,501,2016-11-05,2016,11,05,,霞ヶ浦文化体育会館（水郷体育館）,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,小川貴史,小林尚登,1,3,4,Lose,101,103,111,11:00,13:00,554,斎藤篤,松延亮一,笠倉雅弘,酒寄和記,Away,125,64,13,51.2,16.00,19,11,2,57.9,12,3.00,102,2,15,35,10.1,83,44.0,0.0,53.0
100,44,16,44.0,11.00,11,3,3,27.3,4,1.00,88,4,18,22,10.3,71,48.0,0.0,67.6,502,2016-11-05,2016,11,05,,霞ヶ浦文化体育会館（水郷体育館）,トヨタ自動車サンホークス,大同特殊鋼レッドスター,近藤浩,二宮弘樹,3,1,4,Win,89,88,78,13:36,15:03,749,斎藤篤,中西幸治,山﨑公寛,高橋賢司,Home,96,44,14,45.8,11.00,19,9,1,47.4,7,1.75,89,2,17,23,8.5,68,46.0,0.0,67.6
96,44,14,45.8,11.00,19,9,1,47.4,7,1.75,89,2,17,23,8.5,68,46.0,0.0,67.6,502,2016-11-05,2016,11,05,,霞ヶ浦文化体育会館（水郷体育館）,大同特殊鋼レッドスター,トヨタ自動車サンホークス,東岡昇,浦田範夫,1,3,4,Lose,88,89,78,13:36,15:03,749,斎藤篤,中西幸治,山﨑公寛,高橋賢司,Away,100,44,16,44.0,11.00,11,3,3,27.3,4,1.00,88,4,18,22,10.3,71,48.0,0.0,67.6
131,51,11,38.9,10.20,18,6,3,33.3,9,1.80,97,5,19,24,10.5,91,52.0,0.0,57.1,503,2016-11-05,2016,11,05,,霞ヶ浦文化体育会館（水郷体育館）,つくばユナイテッドSunGAIA,VC長野トライデンツ,都澤みどり,菊池孝一,2,3,5,Lose,97,112,111,15:45,17:48,1004,斎藤篤,慈眼雅啓,杉村友雄,吉田英明,Home,136,57,11,41.9,11.40,23,8,5,34.8,13,2.60,112,8,17,39,15.1,77,54.0,0.0,70.1
136,57,11,41.9,11.40,23,8,5,34.8,13,2.60,112,8,17,39,15.1,77,54.0,0.0,70.1,503,2016-11-05,2016,11,05,,霞ヶ浦文化体育会館（水郷体育館）,VC長野トライデンツ,つくばユナイテッドSunGAIA,笹川星哉,宮澤武吉,3,2,5,Win,112,97,111,15:45,17:48,1004,斎藤篤,慈眼雅啓,杉村友雄,吉田英明,Away,131,51,11,38.9,10.20,18,6,3,33.3,9,1.80,97,5,19,24,10.5,91,52.0,0.0,57.1
136,47,17,34.6,9.40,24,13,1,54.2,13,2.60,100,2,14,40,11.8,85,37.0,0.0,43.5,504,2016-11-06,2016,11,06,,霞ヶ浦文化体育会館（水郷体育館）,大分三好ヴァイセアドラー,VC長野トライデンツ,小川貴史,小林尚登,3,2,5,Win,100,104,112,11:00,13:04,580,斉藤篤,杉村友雄,屋貝直也,西部芳夫,Home,142,56,19,39.4,11.20,14,4,2,28.6,10,2.00,104,4,17,48,15.0,85,45.0,0.0,52.9
142,56,19,39.4,11.20,14,4,2,28.6,10,2.00,104,4,17,48,15.0,85,45.0,0.0,52.9,504,2016-11-06,2016,11,06,,霞ヶ浦文化体育会館（水郷体育館）,VC長野トライデンツ,大分三好ヴァイセアドラー,笹川星哉,宮澤武吉,2,3,5,Lose,104,100,112,11:00,13:04,580,斉藤篤,杉村友雄,屋貝直也,西部芳夫,Away,136,47,17,34.6,9.40,24,13,1,54.2,13,2.60,100,2,14,40,11.8,85,37.0,0.0,43.5
163,62,11,38.0,12.40,17,9,1,52.9,14,2.80,110,2,10,30,8.3,97,62.0,0.0,63.9,505,2016-11-06,2016,11,06,,霞ヶ浦文化体育会館（水郷体育館）,警視庁フォートファイターズ,埼玉アザレア,松本幸博,井上人哉,2,3,5,Lose,110,111,112,13:40,15:44,804,斎藤篤,松延亮一,酒井義成,高橋賢司,Home,168,66,12,39.3,13.20,7,2,2,28.6,15,3.00,111,1,14,35,8.6,100,70.0,0.0,70.0
168,66,12,39.3,13.20,7,2,2,28.6,15,3.00,111,1,14,35,8.6,100,70.0,0.0,70.0,505,2016-11-06,2016,11,06,,霞ヶ浦文化体育会館（水郷体育館）,埼玉アザレア,警視庁フォートファイターズ,工藤晴康,上笹淳二,3,2,5,Win,111,110,112,13:40,15:44,804,斎藤篤,松延亮一,酒井義成,高橋賢司,Away,163,62,11,38.0,12.40,17,9,1,52.9,14,2.80,110,2,10,30,8.3,97,62.0,0.0,63.9
