AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
63,34,12,54.0,11.33,12,5,5,41.7,10,3.33,73,4,5,26,13.3,35,22.0,0.0,62.9,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home,77,23,12,29.9,7.67,4,1,2,25.0,4,1.33,48,1,13,12,7.9,68,38.0,0.0,55.9
77,23,12,29.9,7.67,4,1,2,25.0,4,1.33,48,1,13,12,7.9,68,38.0,0.0,55.9,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,トヨタ自動車サンホークス,富士通カワサキレッドスピリッツ,近藤浩,平野天,0,3,3,Lose,46,75,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Away,63,34,12,54.0,11.33,12,5,5,41.7,10,3.33,73,4,5,26,13.3,35,22.0,0.0,62.9
80,15,11,18.8,5.00,5,1,2,20.0,5,1.67,40,0,6,11,6.9,61,29.0,0.0,47.5,604,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,東京トヨペットグリーンスパークル,ジェイテクトSTINGS,松枝寿明,池田正一,0,3,3,Lose,38,75,55,13:00,14:01,510,,田代英明,戸川太輔,加藤光一,Home,78,43,6,55.1,14.33,12,7,2,58.3,6,2.00,73,5,10,29,16.0,34,23.0,0.0,67.6
78,43,6,55.1,14.33,12,7,2,58.3,6,2.00,73,5,10,29,16.0,34,23.0,0.0,67.6,604,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,ジェイテクトSTINGS,東京トヨペットグリーンスパークル,泉川正幸,寺嶋大樹,3,0,3,Win,75,38,55,13:00,14:01,510,,田代英明,戸川太輔,加藤光一,Away,80,15,11,18.8,5.00,5,1,2,20.0,5,1.67,40,0,6,11,6.9,61,29.0,0.0,47.5
171,67,17,39.2,13.40,4,1,2,25.0,15,3.00,110,3,9,18,6.6,97,81.0,0.0,83.5,601,2010-01-09,2010,01,09,,近畿大学記念会館,きんでんトリニティーブリッツ,東京ヴェルディ,宮崎彰,横山勝弘,3,2,5,Win,111,103,114,13:00,15:06,200,,佐々木伸子,新道哲郎,前田昌美,Home,173,61,15,35.3,12.20,42,15,9,35.7,11,2.20,104,1,7,15,4.4,99,80.0,0.0,80.8
173,61,15,35.3,12.20,42,15,9,35.7,11,2.20,104,1,7,15,4.4,99,80.0,0.0,80.8,601,2010-01-09,2010,01,09,,近畿大学記念会館,東京ヴェルディ,きんでんトリニティーブリッツ,山中禎一郎,岩下忠正,2,3,5,Lose,103,111,114,13:00,15:06,200,,佐々木伸子,新道哲郎,前田昌美,Away,171,67,17,39.2,13.40,4,1,2,25.0,15,3.00,110,3,9,18,6.6,97,81.0,0.0,83.5
83,32,9,38.6,10.67,13,7,2,53.8,5,1.67,55,1,7,13,7.4,64,40.0,0.0,62.5,605,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,児島啓吾,0,3,3,Lose,53,75,62,15:00,16:08,290,,高野淳志,岡谷仁,姫野真行,Home,88,49,4,55.7,16.33,15,6,0,40.0,5,1.67,73,0,8,24,8.2,48,34.0,0.0,70.8
88,49,4,55.7,16.33,15,6,0,40.0,5,1.67,73,0,8,24,8.2,48,34.0,0.0,70.8,605,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,松田裕雄,松井康,3,0,3,Win,75,53,62,15:00,16:08,290,,高野淳志,岡谷仁,姫野真行,Away,83,32,9,38.6,10.67,13,7,2,53.8,5,1.67,55,1,7,13,7.4,64,40.0,0.0,62.5
141,53,17,37.6,13.25,16,9,2,56.2,11,2.75,95,3,6,24,9.3,79,65.0,0.0,82.3,602,2010-01-09,2010,01,09,,近畿大学記念会館,警視庁フォートファイターズ,近畿クラブスフィーダ,中村四郎,堀江賢司,1,3,4,Lose,94,93,91,15:45,17:25,200,,山本晋吾,吉岡奈々,東勝彦,Home,141,56,12,39.7,14.00,16,6,3,37.5,5,1.25,92,6,10,11,8.9,87,62.0,0.0,71.3
141,56,12,39.7,14.00,16,6,3,37.5,5,1.25,92,6,10,11,8.9,87,62.0,0.0,71.3,602,2010-01-09,2010,01,09,,近畿大学記念会館,近畿クラブスフィーダ,警視庁フォートファイターズ,光山秀行,浦田範夫,3,1,4,Win,93,94,91,15:45,17:25,200,,山本晋吾,吉岡奈々,東勝彦,Away,141,53,17,37.6,13.25,16,9,2,56.2,11,2.75,95,3,6,24,9.3,79,65.0,0.0,82.3
