No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,神山哲郎,2,■,■,,,,11,5,2,45.5,2.50,3,1,1,33.3,3,1.50,3,0,0,1,8.3,7,5.0,0.0,71.4,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
5,,今一騎,1,,,■,,,7,3,2,42.9,3.00,3,1,2,33.3,0,-,4,0,0,2,12.5,0,0.0,0.0,-,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
6,,三芳健斗,3,■,■,■,,,2,2,0,100.0,0.67,0,0,0,-,2,0.67,10,2,1,2,21.0,0,0.0,0.0,-,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
7,L,勝田祥平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
9,,平澤徹,3,■,■,■,,,6,4,0,66.7,1.33,0,0,0,-,2,0.67,11,0,0,2,4.5,0,0.0,0.0,-,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
10,,増元真二,3,□,□,■,,,11,4,2,36.4,1.33,2,0,1,0.0,1,0.33,5,0,2,2,10.0,6,3.0,0.0,50.0,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
11,,豊田直之,1,,,□,,,0,0,0,-,-,0,0,0,-,1,1.00,1,0,0,0,0.0,0,0.0,0.0,-,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
12,,松本健作,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,2,10.0,0,0.0,0.0,-,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
14,,岩井浩二,3,■,■,■,,,16,9,3,56.2,3.00,2,2,0,100.0,0,-,11,0,1,5,11.4,7,2.0,0.0,28.6,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
15,,北沢浩,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,11,1,0,5,18.6,0,0.0,0.0,-,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
16,,呉屋宏和,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,603,2010-01-09,2010,01,09,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,富士通カワサキレッドスピリッツ,トヨタ自動車サンホークス,山本道彦,小口創一郎,3,0,3,Win,75,46,60,11:00,12:06,280,,西中野健,大下孝,松井孝志,Home
