AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
115,54,6,47.0,13.50,21,7,2,33.3,9,2.25,93,3,6,15,5.6,69,36.0,14.0,62.3,501,2019-11-02,2019,11,02,北海道,旭川市リアルター夢りんご体育館,警視庁フォートファイターズ,長野GaRons,井上人哉,平林康裕,3,1,4,Win,94,82,92,11:00,12:41,678,大江憲一,小瀧健二,坂本雅春,佐藤真理,Home,123,52,11,42.3,13.00,13,5,3,38.5,8,2.00,83,4,11,19,7.2,86,40.0,31.0,64.5
123,52,11,42.3,13.00,13,5,3,38.5,8,2.00,83,4,11,19,7.2,86,40.0,31.0,64.5,501,2019-11-02,2019,11,02,北海道,旭川市リアルター夢りんご体育館,長野GaRons,警視庁フォートファイターズ,篠崎寛,,1,3,4,Lose,82,94,92,11:00,12:41,678,大江憲一,小瀧健二,坂本雅春,佐藤真理,Away,115,54,6,47.0,13.50,21,7,2,33.3,9,2.25,93,3,6,15,5.6,69,36.0,14.0,62.3
119,68,4,57.1,13.60,28,14,2,50.0,5,1.00,103,1,13,11,0.5,81,39.0,29.0,66.0,503,2019-11-02,2019,11,02,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,川口一貴,3,2,5,Win,104,100,103,12:00,13:55,678,中馬義郎,外室喜英,中村久美子,永野宗敏,Home,127,71,9,55.9,14.20,10,4,3,40.0,7,1.40,101,4,16,13,3.2,89,42.0,36.0,67.4
127,71,9,55.9,14.20,10,4,3,40.0,7,1.40,101,4,16,13,3.2,89,42.0,36.0,67.4,503,2019-11-02,2019,11,02,宮崎県,早水公園体育文化センター,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,都澤みどり,五十嵐元,2,3,5,Lose,100,104,103,12:00,13:55,678,中馬義郎,外室喜英,中村久美子,永野宗敏,Away,119,68,4,57.1,13.60,28,14,2,50.0,5,1.00,103,1,13,11,0.5,81,39.0,29.0,66.0
92,34,7,37.0,11.33,28,15,2,53.6,14,4.67,75,3,11,15,5.3,50,28.0,14.0,70.0,502,2019-11-02,2019,11,02,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,76,68,84,14:00,15:37,1126,大江憲一,早坂行博,川島秀夫,大友大輔,Home,101,39,5,38.6,13.00,20,10,1,50.0,4,1.33,69,3,16,8,1.4,63,33.0,15.0,64.3
101,39,5,38.6,13.00,20,10,1,50.0,4,1.33,69,3,16,8,1.4,63,33.0,15.0,64.3,502,2019-11-02,2019,11,02,北海道,旭川市リアルター夢りんご体育館,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,山原健太,0,3,3,Lose,68,76,84,14:00,15:37,1126,大江憲一,早坂行博,川島秀夫,大友大輔,Away,92,34,7,37.0,11.33,28,15,2,53.6,14,4.67,75,3,11,15,5.3,50,28.0,14.0,70.0
93,47,12,50.5,11.75,13,3,2,23.1,12,3.00,96,5,7,25,9.9,54,37.0,8.0,75.9,504,2019-11-02,2019,11,02,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,1,4,Win,97,71,85,14:30,16:04,745,中馬義郎,江口祐一郎,日高義仁,生駒能宏,Home,110,49,11,44.5,12.25,14,7,3,50.0,3,0.75,72,0,18,9,-3.1,87,45.0,17.0,61.5
110,49,11,44.5,12.25,14,7,3,50.0,3,0.75,72,0,18,9,-3.1,87,45.0,17.0,61.5,504,2019-11-02,2019,11,02,宮崎県,早水公園体育文化センター,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,1,3,4,Lose,71,97,85,14:30,16:04,745,中馬義郎,江口祐一郎,日高義仁,生駒能宏,Away,93,47,12,50.5,11.75,13,3,2,23.1,12,3.00,96,5,7,25,9.9,54,37.0,8.0,75.9
141,61,12,43.3,12.20,33,11,5,33.3,8,1.60,105,3,15,10,1.7,89,53.0,20.0,70.8,505,2019-11-03,2019,11,03,北海道,旭川市リアルター夢りんご体育館,警視庁フォートファイターズ,きんでんトリニティーブリッツ,井上人哉,平林康裕,2,3,5,Lose,105,109,117,10:00,12:09,537,大江憲一,小瀧健二,川島秀夫,大友大輔,Home,133,63,14,47.4,12.60,24,11,3,45.8,11,2.20,109,6,17,16,5.3,88,63.0,15.0,80.1
133,63,14,47.4,12.60,24,11,3,45.8,11,2.20,109,6,17,16,5.3,88,63.0,15.0,80.1,505,2019-11-03,2019,11,03,北海道,旭川市リアルター夢りんご体育館,きんでんトリニティーブリッツ,警視庁フォートファイターズ,今田善仁,山原健太,3,2,5,Win,109,105,117,10:00,12:09,537,大江憲一,小瀧健二,川島秀夫,大友大輔,Away,141,61,12,43.3,12.20,33,11,5,33.3,8,1.60,105,3,15,10,1.7,89,53.0,20.0,70.8
112,57,7,50.9,14.25,14,7,2,50.0,9,2.25,98,4,9,28,8.9,62,22.0,20.0,51.6,507,2019-11-03,2019,11,03,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,兵庫デルフィーノ,東岡昇,川口一貴,3,1,4,Win,99,75,87,11:00,12:36,428,中馬義郎,江口祐一郎,日高義仁,永野宗敏,Home,123,49,18,39.8,12.25,20,8,6,40.0,4,1.00,76,4,10,21,8.9,87,25.0,33.0,47.7
123,49,18,39.8,12.25,20,8,6,40.0,4,1.00,76,4,10,21,8.9,87,25.0,33.0,47.7,507,2019-11-03,2019,11,03,宮崎県,早水公園体育文化センター,兵庫デルフィーノ,大同特殊鋼レッドスター,岩本正吾,白川佑樹,1,3,4,Lose,75,99,87,11:00,12:36,428,中馬義郎,江口祐一郎,日高義仁,永野宗敏,Away,112,57,7,50.9,14.25,14,7,2,50.0,9,2.25,98,4,9,28,8.9,62,22.0,20.0,51.6
91,44,5,48.4,14.67,23,16,1,69.6,7,2.33,73,4,17,20,6.5,61,38.0,7.0,68.0,506,2019-11-03,2019,11,03,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,長野GaRons,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,63,73,13:00,14:26,1020,大江憲一,早坂行博,坂本雅春,佐藤真理,Home,70,26,13,37.1,8.67,8,1,3,12.5,10,3.33,65,3,4,15,8.8,54,23.0,11.0,52.8
70,26,13,37.1,8.67,8,1,3,12.5,10,3.33,65,3,4,15,8.8,54,23.0,11.0,52.8,506,2019-11-03,2019,11,03,北海道,旭川市リアルター夢りんご体育館,長野GaRons,ヴォレアス北海道,篠崎寛,,0,3,3,Lose,63,75,73,13:00,14:26,1020,大江憲一,早坂行博,坂本雅春,佐藤真理,Away,91,44,5,48.4,14.67,23,16,1,69.6,7,2.33,73,4,17,20,6.5,61,38.0,7.0,68.0
92,48,6,52.2,12.00,10,5,0,50.0,12,3.00,96,1,12,26,4.7,64,33.0,13.0,61.7,508,2019-11-03,2019,11,03,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,1,4,Win,97,79,92,13:15,14:56,581,中馬義郎,外室喜英,中村久美子,松田さゆり,Home,111,49,14,44.1,12.25,14,5,4,35.7,5,1.25,80,3,16,15,3.4,84,40.0,17.0,57.7
111,49,14,44.1,12.25,14,5,4,35.7,5,1.25,80,3,16,15,3.4,84,40.0,17.0,57.7,508,2019-11-03,2019,11,03,宮崎県,早水公園体育文化センター,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,都澤みどり,五十嵐元,1,3,4,Lose,79,97,92,13:15,14:56,581,中馬義郎,外室喜英,中村久美子,松田さゆり,Away,92,48,6,52.2,12.00,10,5,0,50.0,12,3.00,96,1,12,26,4.7,64,33.0,13.0,61.7
