No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,山口純平,5,■,■,■,■,■,8,6,0,75.0,1.20,0,0,0,-,1,0.20,16,2,3,4,16.2,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
3,,久保田雅人,4,□,,□,■,■,11,6,1,54.5,1.50,0,0,0,-,2,0.50,6,0,2,0,0.0,29,19.0,0.0,65.5,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
4,,倉田真,5,■,■,■,■,■,35,17,1,48.6,3.40,6,3,0,50.0,0,-,16,0,4,3,4.7,27,17.0,0.0,63.0,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
5,,平野晃多,5,■,■,■,■,■,15,7,1,46.7,1.40,0,0,0,-,4,0.80,14,0,0,1,1.8,4,4.0,0.0,100.0,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
6,,辰巳佳靖,5,■,■,■,■,■,38,18,3,47.4,3.60,16,12,1,75.0,2,0.40,14,0,5,4,7.1,1,0.0,0.0,0.0,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
7,,赤澤直樹,5,■,■,■,■,■,2,1,0,50.0,0.20,0,0,0,-,4,0.80,19,0,1,3,3.9,1,0.0,0.0,0.0,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
11,L,平井銀次,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,10.0,0.0,83.3,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
13,,草場貴成,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
14,,齋藤義人,2,,,,□,□,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
15,,金澤秀幸,4,■,■,■,□,,19,5,2,26.3,1.25,0,0,0,-,1,0.25,8,2,0,0,20.0,16,9.0,0.0,56.2,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
16,,川口一貴,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
17,L,中道淑人,3,,,〇,〇,〇,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
18,,山下秀人,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
19,,宮原博明,1,,,□,,,2,1,0,50.0,1.00,1,0,0,0.0,0,-,3,0,0,0,0.0,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,,2,3,5,Lose,100,107,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Home
2,,浜崎勇矢,5,■,■,■,■,■,1,1,0,100.0,0.20,0,0,0,-,0,-,15,0,0,2,3.3,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
3,,奥村航,5,■,■,■,■,■,33,17,1,51.5,3.40,0,0,0,-,4,0.80,9,0,2,4,11.1,1,1.0,0.0,100.0,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
4,,丸山祥二,5,■,■,■,■,■,17,12,2,70.6,2.40,0,0,0,-,1,0.20,25,3,3,10,22.0,1,1.0,0.0,100.0,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
6,,瀧澤陽紀,5,■,■,■,■,■,53,20,2,37.7,4.00,9,2,1,22.2,4,0.80,21,0,5,9,10.7,1,0.0,0.0,0.0,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
10,,五十嵐元,5,■,■,■,■,■,18,10,1,55.6,2.00,0,0,0,-,1,0.20,12,0,0,1,2.1,20,17.0,0.0,85.0,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
16,,柳川大知,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
17,,平尾真也,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
19,,浜田翔太,5,■,■,■,■,■,15,7,1,46.7,1.40,0,0,0,-,2,0.40,16,0,3,1,1.6,26,16.0,0.0,61.5,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
21,,藤原優,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
22,L,吉野淳,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,28,22.0,0.0,78.6,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
23,,南享,1,,□,,,,2,1,0,50.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
24,,白石啓丈,4,□,,□,□,□,0,0,0,-,-,0,0,0,-,0,-,6,1,1,1,17.5,8,8.0,0.0,100.0,701,2014-11-08,2014,11,08,,桜総合体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,菊池孝一,五十嵐元,3,2,5,Win,107,100,115,11:00,13:07,325,,伊藤薫,野村考一,酒寄和記,Away
2,,清水大輔,4,■,■,■,■,,13,7,1,53.8,1.75,0,0,0,-,2,0.50,6,1,0,1,17.5,1,0.0,0.0,0.0,704,2014-11-08,2014,11,08,,坂戸市民総合運動公園体育館,警視庁フォートファイターズ,埼玉アザレア,溝口正一,下田健一,3,1,4,Win,95,85,98,11:00,12:47,629,,早坂行博,中島俊昌,大木茂男,Home
