チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
JTマーヴェラス,4331,1797,230,41.5,36.2,731,315,78,238,2674,103,200,658,2110,1108,464,2138,43.1,1.59,0.21,8.1,63.5
KUROBEアクアフェアリーズ,4225,1398,257,33.1,27.0,456,154,58,221,2255,71,185,602,2453,1037,570,1690,33.8,1.31,0.21,7.8,53.9
NECレッドロケッツ,4696,1875,229,39.9,35.1,417,145,46,259,2801,108,199,725,2264,932,586,2242,34.8,1.55,0.21,8.6,54.1
PFUブルーキャッツ,4492,1704,227,37.9,32.9,334,144,33,225,2594,112,268,564,2410,1048,612,2041,43.1,1.5,0.2,7.2,56.2
デンソーエアリービーズ,5266,1891,266,35.9,30.9,663,168,62,228,2794,82,179,695,2483,1099,643,2201,25.3,1.66,0.2,7.6,57.2
トヨタ車体クインシーズ,4676,1692,344,36.2,28.8,564,174,75,241,2617,125,213,725,2579,1180,653,2058,30.9,1.55,0.22,9.7,58.4
ヴィクトリーナ姫路,5384,1966,325,36.5,30.5,341,121,38,220,2872,110,252,839,2854,1268,630,2296,35.5,1.55,0.17,8.9,55.5
久光スプリングス,4902,1952,247,39.8,34.8,261,72,21,256,2934,116,224,815,2484,1224,586,2324,27.6,1.65,0.22,9.0,61.1
埼玉上尾メディックス,5188,1985,252,38.3,33.4,595,196,43,269,2925,108,289,608,2526,1141,615,2362,32.9,1.64,0.22,6.4,57.3
岡山シーガルズ,5202,1767,220,34.0,29.7,46,4,7,180,2587,48,100,560,2528,1143,542,1995,8.7,1.44,0.15,6.3,55.9
日立Astemoリヴァーレ,4827,1775,305,36.8,30.5,432,143,44,225,2618,91,208,737,2506,1124,578,2091,33.1,1.57,0.2,8.5,56.4
東レアローズ,4388,1841,226,42.0,36.8,459,180,39,222,2712,130,255,729,2252,1084,553,2193,39.2,1.68,0.2,9.2,60.4
