試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-10-15,ヴィクトリーナ姫路,東レアローズ,1,3,0,12,,孫田菜奈,4,■,■,■,■,nan,32,12,3,37.5,28.1,3.00,0,0,0,-,3,0.75,20,1,0,4,10.0,50,30,5,65.0,16
2021-10-15,ヴィクトリーナ姫路,東レアローズ,1,3,0,13,,田中咲希,4,■,■,■,■,nan,25,10,3,40.0,28.0,2.50,2,0,1,0.0,1,0.25,8,0,1,2,3.1,12,3,1,29.2,11
2021-10-15,ヴィクトリーナ姫路,東レアローズ,1,3,0,14,,佐々木千紘,4,■,■,■,■,nan,16,4,2,25.0,12.5,1.00,0,0,0,-,1,0.25,12,0,3,3,0.0,3,1,1,50.0,5
2021-10-15,ヴィクトリーナ姫路,東レアローズ,1,3,0,21,,渡邉かや,4,□,□,□,□,nan,5,2,0,40.0,40.0,0.50,0,0,0,-,1,0.25,6,0,0,2,8.3,8,5,2,75.0,3
2021-10-15,ヴィクトリーナ姫路,東レアローズ,1,3,0,22,,金田莉実,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2021-10-15,ヴィクトリーナ姫路,東レアローズ,1,3,0,23,,坊野明里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,ヴィクトリーナ姫路,東レアローズ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,158,56,15,35.4,25.9,14.00,10,1,1,10.0,10,2.50,93,1,10,27,5.6,91,47,10,57.1,67
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,1,,鴫原ひなた,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,1,1,0,100.0,0
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,2,,稲葉早生,3,nan,□,□,□,nan,4,2,0,50.0,50.0,0.67,1,0,0,0.0,0,-,7,0,0,2,7.1,0,0,0,-,2
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,5,,周田夏紀,4,■,■,■,■,nan,16,7,1,43.8,37.5,1.75,0,0,0,-,2,0.50,13,0,3,4,1.9,0,0,0,-,9
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,6,,山形理沙子,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,8,,黒須咲良,4,■,■,■,■,nan,32,11,2,34.4,28.1,2.75,3,0,2,0.0,0,-,13,0,1,1,0.0,18,9,4,61.1,11
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,9,,松本亜弥華,4,■,■,■,■,nan,11,2,2,18.2,0.0,0.50,0,0,0,-,3,0.75,11,1,0,3,15.9,0,0,0,-,6
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,10,L,熊井風音,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,6,1,59.1,0
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,13,,中屋夏澄,1,nan,nan,nan,■,nan,14,2,1,14.3,7.1,2.00,4,1,0,25.0,0,-,6,1,1,2,20.8,0,0,0,-,3
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,14,L,小出雛,3,nan,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,7,0,58.3,0
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,16,,大川愛海,3,■,■,■,nan,nan,36,7,6,19.4,2.8,2.33,11,0,2,0.0,0,-,7,0,0,2,7.1,7,2,2,42.9,7
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,17,,藪田美穂子,4,■,■,■,■,nan,36,11,2,30.6,25.0,2.75,3,1,0,33.3,2,0.50,11,0,1,3,4.5,36,16,11,59.7,13
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,18,,山上有紀,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,2,0.50,13,1,1,4,13.5,0,0,0,-,4
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,19,,杉原若葉,2,□,nan,nan,□,nan,2,1,0,50.0,50.0,0.50,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,1
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,20,,バムルンスックハッタヤ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,トヨタ車体クインシーズ,JTマーヴェラス,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,152,44,14,28.9,19.7,11.00,22,2,4,9.1,9,2.25,86,3,7,21,7.6,85,41,18,58.8,56
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,1,,芥川愛加,4,■,■,■,■,nan,8,3,1,37.5,25.0,0.75,0,0,0,-,1,0.25,7,1,0,1,17.9,0,0,0,-,5
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,4,,橘井友香,4,□,□,□,□,nan,11,2,2,18.2,0.0,0.50,0,0,0,-,0,-,8,1,2,2,12.5,0,0,0,-,3
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,5,,柴田真果,4,■,■,■,■,nan,4,2,0,50.0,50.0,0.50,0,0,0,-,1,0.25,8,0,1,1,0.0,0,0,0,-,3
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,6,,田中瑞稀,3,■,■,nan,□,nan,16,4,0,25.0,25.0,1.33,1,1,0,100.0,0,-,6,0,0,0,0.0,14,9,1,67.9,4
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,7,,ヌクジャンタットダオ,2,■,■,nan,nan,nan,4,2,1,50.0,25.0,1.00,0,0,0,-,0,-,7,0,0,5,17.9,0,0,0,-,2
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,9,,榊原菜那,3,nan,□,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.33,12,1,1,0,6.2,0,0,0,-,2
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,10,,ドルーズアンドレア,4,■,■,■,■,nan,52,26,4,50.0,42.3,6.50,17,9,2,52.9,3,0.75,10,1,1,4,17.5,0,0,0,-,30
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,11,,目黒優佳,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,2,1,1,75.0,0
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,12,,深萱知代,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
