名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
村永奈央,トヨタ車体クインシーズ,11,28,26,8,53,0,0,0,,,0,0,0,0,0,0,0,0,348,135,113,0,,0.0,0.0,,55.0
東谷玲衣奈,デンソーエアリービーズ,20,58,55,17,77,284,105,10,37.0,33.5,6,1,1,8,70,1,3,13,67,29,10,114,16.7,1.36,0.1,5.0,50.7
松井珠己,デンソーエアリービーズ,14,58,55,17,113,73,33,2,45.2,42.5,0,0,0,11,404,11,17,85,4,1,1,55,,0.29,0.1,6.9,37.5
松本亜弥華,トヨタ車体クインシーズ,9,7,33,0,14,37,8,3,21.6,13.5,0,0,0,5,30,2,5,5,3,1,0,15,,0.57,0.36,6.7,33.3
林琴奈,JTマーヴェラス,2,58,21,18,70,552,212,29,38.4,33.2,48,24,6,17,252,6,8,61,479,270,103,235,50.0,3.03,0.24,7.6,67.1
林田愛佳,トヨタ車体クインシーズ,21,14,17,4,16,34,20,1,58.8,55.9,0,0,0,10,21,0,2,2,0,0,0,30,,1.25,0.62,0.0,
柳田光綺,NECレッドロケッツ,4,71,34,21,66,315,139,14,44.1,39.7,28,9,4,8,135,6,14,36,3,2,1,153,32.1,2.11,0.12,8.5,83.3
柴田真果,JTマーヴェラス,5,73,27,23,95,40,27,0,67.5,67.5,0,0,0,2,260,6,11,67,2,1,0,35,,0.28,0.02,7.7,50.0
栄絵里香,久光スプリングス,11,67,35,19,101,16,8,1,50.0,43.8,0,0,0,5,364,8,13,84,4,0,1,21,,0.08,0.05,7.1,12.5
栗栖明歩,埼玉上尾メディックス,21,3,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
梅津憂理,KUROBEアクアフェアリーズ,13,12,47,2,17,92,22,6,23.9,17.4,3,1,0,0,32,0,2,9,29,6,6,22,33.3,1.29,0.0,5.5,31.0
森田茉莉,PFUブルーキャッツ,3,44,56,11,100,0,0,0,,,0,0,0,0,0,0,0,0,439,202,126,0,,0.0,0.0,,60.4
森谷史佳,デンソーエアリービーズ,10,58,55,17,80,166,63,8,38.0,33.1,0,0,0,16,263,10,17,80,30,21,5,89,,0.79,0.2,9.8,78.3
椎名真子,埼玉上尾メディックス,14,40,34,11,15,101,31,6,30.7,24.8,5,2,0,2,35,3,5,5,63,26,15,36,40.0,2.07,0.13,8.6,53.2
楢崎慈恵,岡山シーガルズ,27,44,59,11,88,0,0,0,,,0,0,0,0,0,0,0,0,323,177,57,0,,0.0,0.0,,63.6
榊原菜那,JTマーヴェラス,9,66,23,21,25,40,21,2,52.5,47.5,1,1,0,6,56,1,5,7,5,5,0,28,100.0,0.84,0.24,2.7,100.0
