AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
81,45,7,55.6,15.00,18,8,2,44.4,8,2.67,74,3,15,9,2.0,56,35.0,11.0,72.3,901,2018-11-10,2018,11,10,,忠和公園体育館,ヴォレアス北海道,東京トヨペットグリーンスパークル,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,76,63,70,13:00,14:23,803,大江憲一,早坂行博,坂本雅春,藤原啓子,Home,80,32,8,40.0,10.67,5,0,3,0.0,3,1.00,65,2,8,9,3.5,58,23.0,24.0,60.3
80,32,8,40.0,10.67,5,0,3,0.0,3,1.00,65,2,8,9,3.5,58,23.0,24.0,60.3,901,2018-11-10,2018,11,10,,忠和公園体育館,東京トヨペットグリーンスパークル,ヴォレアス北海道,伊藤優介,,0,3,3,Lose,63,76,70,13:00,14:23,803,大江憲一,早坂行博,坂本雅春,藤原啓子,Away,81,45,7,55.6,15.00,18,8,2,44.4,8,2.67,74,3,15,9,2.0,56,35.0,11.0,72.3
122,52,11,42.6,13.00,9,5,2,55.6,13,3.25,97,6,7,7,6.2,96,59.0,19.0,71.4,902,2018-11-10,2018,11,10,,忠和公園体育館,近畿クラブスフィーダ,奈良ドリーマーズ,森田亜貴斗,,1,3,4,Lose,96,109,101,16:00,17:50,803,大江憲一,佐藤美里,上総向貴,川合純,Home,157,76,11,48.4,19.00,32,20,4,62.5,8,2.00,108,1,11,18,2.5,84,55.0,22.0,78.6
157,76,11,48.4,19.00,32,20,4,62.5,8,2.00,108,1,11,18,2.5,84,55.0,22.0,78.6,902,2018-11-10,2018,11,10,,忠和公園体育館,奈良ドリーマーズ,近畿クラブスフィーダ,山本雅史,,3,1,4,Win,109,96,101,16:00,17:50,803,大江憲一,佐藤美里,上総向貴,川合純,Away,122,52,11,42.6,13.00,9,5,2,55.6,13,3.25,97,6,7,7,6.2,96,59.0,19.0,71.4
77,38,5,49.4,12.67,6,1,3,16.7,11,3.67,73,4,6,10,6.8,38,31.0,4.0,86.8,903,2018-11-11,2018,11,11,,忠和公園体育館,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,森田亜貴斗,,3,0,3,Win,75,47,57,11:00,12:03,361,大江憲一,坂本雅春,上総向貴,川合純,Home,94,28,5,29.8,9.33,5,0,1,0.0,3,1.00,49,1,10,3,-1.5,63,31.0,22.0,66.7
94,28,5,29.8,9.33,5,0,1,0.0,3,1.00,49,1,10,3,-1.5,63,31.0,22.0,66.7,903,2018-11-11,2018,11,11,,忠和公園体育館,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,伊藤優介,,0,3,3,Lose,47,75,57,11:00,12:03,361,大江憲一,坂本雅春,上総向貴,川合純,Away,77,38,5,49.4,12.67,6,1,3,16.7,11,3.67,73,4,6,10,6.8,38,31.0,4.0,86.8
67,37,5,55.2,12.33,19,10,1,52.6,13,4.33,75,8,15,16,11.0,44,21.0,15.0,64.8,904,2018-11-11,2018,11,11,,忠和公園体育館,ヴォレアス北海道,奈良ドリーマーズ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,76,53,66,14:00,15:19,796,大江憲一,早坂行博,佐藤美里,藤原啓子,Home,73,27,5,37.0,9.00,17,5,1,29.4,0,0.00,54,1,10,8,0.9,56,31.0,10.0,64.3
73,27,5,37.0,9.00,17,5,1,29.4,0,0.00,54,1,10,8,0.9,56,31.0,10.0,64.3,904,2018-11-11,2018,11,11,,忠和公園体育館,奈良ドリーマーズ,ヴォレアス北海道,山本雅史,丹下雅行,0,3,3,Lose,53,76,66,14:00,15:19,796,大江憲一,早坂行博,佐藤美里,藤原啓子,Away,67,37,5,55.2,12.33,19,10,1,52.6,13,4.33,75,8,15,16,11.0,44,21.0,15.0,64.8
110,48,20,43.6,12.00,16,3,4,18.8,11,2.75,83,2,14,21,4.5,79,35.0,15.0,53.8,905,2018-11-17,2018,11,17,,西脇市総合市民センター,兵庫デルフィーノ,ヴィアティン三重,岩本正吾,春名亮輔,1,3,4,Lose,82,93,88,12:00,13:45,250,石井洋壮,上土谷政高,木村圭介,山本順一,Home,98,44,6,44.9,11.00,9,5,0,55.6,5,1.25,92,3,12,29,7.9,68,40.0,6.0,63.2
98,44,6,44.9,11.00,9,5,0,55.6,5,1.25,92,3,12,29,7.9,68,40.0,6.0,63.2,905,2018-11-17,2018,11,17,,西脇市総合市民センター,ヴィアティン三重,兵庫デルフィーノ,亀田吉彦,岸本健,3,1,4,Win,93,82,88,12:00,13:45,250,石井洋壮,上土谷政高,木村圭介,山本順一,Away,110,48,20,43.6,12.00,16,3,4,18.8,11,2.75,83,2,14,21,4.5,79,35.0,15.0,53.8
130,57,8,43.8,14.25,22,11,1,50.0,10,2.50,96,2,9,33,8.3,74,28.0,16.0,48.6,906,2018-11-17,2018,11,17,,西脇市総合市民センター,奈良ドリーマーズ,東京トヨペットグリーンスパークル,山本雅史,丹下雅行,3,1,4,Win,97,80,92,14:25,16:06,200,石井洋壮,清水弘也,荒木和仁,山内康史,Home,136,48,15,35.3,12.00,6,2,0,33.3,7,1.75,81,3,7,30,10.8,87,39.0,15.0,53.4
136,48,15,35.3,12.00,6,2,0,33.3,7,1.75,81,3,7,30,10.8,87,39.0,15.0,53.4,906,2018-11-17,2018,11,17,,西脇市総合市民センター,東京トヨペットグリーンスパークル,奈良ドリーマーズ,伊藤優介,,1,3,4,Lose,80,97,92,14:25,16:06,200,石井洋壮,清水弘也,荒木和仁,山内康史,Away,130,57,8,43.8,14.25,22,11,1,50.0,10,2.50,96,2,9,33,8.3,74,28.0,16.0,48.6
133,63,13,47.4,15.75,21,8,5,38.1,10,2.50,96,5,15,24,7.6,87,51.0,11.0,64.9,907,2018-11-18,2018,11,18,,西脇市総合市民センター,兵庫デルフィーノ,近畿クラブスフィーダ,岩本正吾,白川雅貴,3,1,4,Win,97,94,101,11:00,12:50,300,石井洋壮,西山尚幸,木村圭介,上霜美子,Home,116,55,9,47.4,13.75,10,8,2,80.0,5,1.25,95,4,8,25,8.7,78,43.0,11.0,62.2
116,55,9,47.4,13.75,10,8,2,80.0,5,1.25,95,4,8,25,8.7,78,43.0,11.0,62.2,907,2018-11-18,2018,11,18,,西脇市総合市民センター,近畿クラブスフィーダ,兵庫デルフィーノ,森田亜貴斗,,1,3,4,Lose,94,97,101,11:00,12:50,300,石井洋壮,西山尚幸,木村圭介,上霜美子,Away,133,63,13,47.4,15.75,21,8,5,38.1,10,2.50,96,5,15,24,7.6,87,51.0,11.0,64.9
86,44,6,51.2,14.67,11,7,2,63.6,15,5.00,74,2,8,17,5.7,44,23.0,14.0,68.2,908,2018-11-18,2018,11,18,,西脇市総合市民センター,ヴィアティン三重,東京トヨペットグリーンスパークル,亀田吉彦,岸本健,3,0,3,Win,75,49,61,13:27,14:34,200,石井洋壮,清水弘也,荒木和仁,戎真理,Home,98,27,7,27.6,9.00,18,3,3,16.7,5,1.67,50,1,5,7,3.0,64,38.0,9.0,66.4
98,27,7,27.6,9.00,18,3,3,16.7,5,1.67,50,1,5,7,3.0,64,38.0,9.0,66.4,908,2018-11-18,2018,11,18,,西脇市総合市民センター,東京トヨペットグリーンスパークル,ヴィアティン三重,伊藤優介,,0,3,3,Lose,49,75,61,13:27,14:34,200,石井洋壮,清水弘也,荒木和仁,戎真理,Away,86,44,6,51.2,14.67,11,7,2,63.6,15,5.00,74,2,8,17,5.7,44,23.0,14.0,68.2
96,44,4,45.8,14.67,8,3,0,37.5,10,3.33,74,2,7,15,5.4,54,30.0,12.0,66.7,912,2018-11-24,2018,11,24,,津市産業・スポーツセンター（サオリーナ）,ヴィアティン三重,奈良ドリーマーズ,亀田吉彦,岸本健,3,0,3,Win,75,61,69,14:20,15:39,1285,田野敏彦,重岡紀彦,渡邊正則,辻井康博,Home,110,44,10,40.0,14.67,23,7,3,30.4,5,1.67,62,0,8,12,1.6,67,38.0,12.0,65.7
