No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,渡邊徹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
2,,言上真一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
4,,下町浩二,3,,,□,■,■,3,2,0,66.7,0.67,0,0,0,-,1,0.33,5,0,0,0,0.0,2,1.0,1.0,75.0,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
6,,中山雄介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
7,,有津翔太,5,■,■,■,■,■,13,7,0,53.8,1.40,0,0,0,-,2,0.40,18,1,1,7,13.9,1,0.0,1.0,50.0,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
9,,高橋和希,5,■,■,■,■,■,1,1,0,100.0,0.20,0,0,0,-,2,0.40,15,1,1,1,6.7,0,0.0,0.0,-,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
12,,川村幸司,5,■,■,■,■,■,32,17,1,53.1,3.40,2,1,0,50.0,1,0.20,23,1,2,6,8.7,26,5.0,15.0,48.1,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
14,L,杉谷祐磨,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
15,,上竣,5,■,■,■,■,■,42,19,3,45.2,3.80,14,7,1,50.0,2,0.40,15,0,6,2,-6.7,0,0.0,0.0,-,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
16,,片野坂拓人,5,■,■,■,■,■,42,24,3,57.1,4.80,4,2,0,50.0,1,0.20,17,1,5,5,5.9,28,8.0,11.0,48.2,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
17,,碩幸輝,4,■,■,■,□,,7,2,0,28.6,0.50,0,0,0,-,0,-,14,0,2,1,-1.8,0,0.0,0.0,-,917,2021-01-16,2021,01,16,奈良県,西部生涯スポーツセンター体育館,奈良ドリーマーズ,近畿クラブスフィーダ,言上真一,丹下雅行,3,2,5,Win,107,96,108,13:00,15:00,0,高橋憲太郎,上村英紀,奥田真弓,田中清,Home
