名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,久光スプリングス,16,3,1,1,4,29,20,0,69.0,69.0,0,0,0,5,16,0,0,9,2,2,0,25,,5.0,1.25,14.1,100.0
ドルーズアンドレア,JTマーヴェラス,10,1,3,0,4,68,29,3,42.6,38.2,26,12,2,2,14,1,3,3,0,0,0,32,46.2,7.25,0.5,7.1,
ヌクジャンタットダオ,JTマーヴェラス,7,1,3,0,4,12,4,1,33.3,25.0,0,0,0,2,9,0,0,4,3,1,1,6,,1.0,0.5,11.1,50.0
ヒックマンジャスティス,JTマーヴェラス,14,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中川美柚,久光スプリングス,14,3,1,1,4,18,5,3,27.8,11.1,0,0,0,0,16,0,0,5,21,13,5,5,,1.25,0.0,7.8,73.8
井上愛里沙,久光スプリングス,5,3,1,1,4,53,22,4,41.5,34.0,9,2,1,2,17,0,2,4,0,0,0,24,22.2,5.5,0.5,2.9,
井上美咲,久光スプリングス,2,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村優香,久光スプリングス,12,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
和田由紀子,JTマーヴェラス,16,1,3,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
大竹里歩,久光スプリングス,10,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小幡真子,JTマーヴェラス,15,1,3,0,4,0,0,0,,,0,0,0,0,0,0,0,0,24,18,5,0,,0.0,0.0,,85.4
戸江真奈,久光スプリングス,18,3,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,43,17,13,0,,0.0,0.0,,54.7
林琴奈,JTマーヴェラス,2,1,3,0,4,38,10,5,26.3,13.2,1,0,0,0,17,0,2,3,32,15,3,10,0.0,2.5,0.0,1.5,51.6
柴田真果,JTマーヴェラス,5,1,3,0,4,1,1,0,100.0,100.0,0,0,0,0,9,0,0,3,0,0,0,1,,0.25,0.0,8.3,
栄絵里香,久光スプリングス,11,3,1,1,4,0,0,0,,,0,0,0,0,17,0,0,3,0,0,0,0,,0.0,0.0,4.4,
榊原菜那,JTマーヴェラス,9,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
橘井友香,JTマーヴェラス,4,1,3,0,3,0,0,0,,,0,0,0,0,3,0,2,0,0,0,0,0,,0.0,0.0,-16.7,
池谷優佳,久光スプリングス,15,3,1,1,1,0,0,0,,,0,0,0,0,0,0,0,0,2,0,0,0,,0.0,0.0,,0.0
深澤めぐみ,久光スプリングス,22,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
濱松明日香,久光スプリングス,17,3,1,1,4,24,10,2,41.7,33.3,0,0,0,2,7,0,1,1,0,0,0,12,,2.5,0.5,0.0,
田中瑞稀,JTマーヴェラス,6,1,3,0,4,31,16,3,51.6,41.9,2,2,0,0,13,0,1,2,20,4,8,16,100.0,4.0,0.0,1.9,40.0
白澤明香里,久光スプリングス,13,3,1,1,4,0,0,0,,,0,0,0,0,5,0,1,0,0,0,0,0,,0.0,0.0,-5.0,
目黒優佳,JTマーヴェラス,11,1,3,0,4,0,0,0,,,0,0,0,0,6,0,0,3,7,4,1,0,,0.0,0.0,12.5,64.3
石井優希,久光スプリングス,6,3,1,1,4,35,5,1,14.3,11.4,0,0,0,1,19,1,2,3,16,7,4,7,,1.25,0.25,6.6,56.2
籾井あき,JTマーヴェラス,8,1,3,0,4,0,0,0,,,0,0,0,1,5,0,0,0,0,0,0,1,,0.0,0.25,0.0,
芥川愛加,JTマーヴェラス,1,1,3,0,4,3,0,0,0.0,0.0,0,0,0,2,14,2,1,2,0,0,0,4,,0.0,0.5,16.1,
西川有喜,JTマーヴェラス,13,1,3,0,1,5,4,1,80.0,60.0,1,0,1,0,3,0,0,1,5,4,1,4,0.0,4.0,0.0,8.3,90.0
野本梨佳,久光スプリングス,8,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
