チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
VC長野トライデンツ,229,133,12,58.1,52.8,48,31,2,19,233,15,34,53,172,64,48,167,64.6,1.45,0.21,8.5,51.2
ヴォレアス北海道,257,141,17,54.9,48.2,54,39,1,17,218,13,40,53,195,88,43,171,72.2,1.68,0.2,7.5,56.2
大分三好ヴァイセアドラー,255,126,13,49.4,44.3,55,25,4,18,217,11,43,42,168,98,38,155,45.5,1.33,0.19,5.0,69.6
富士通カワサキレッドスピリッツ,241,120,20,49.8,41.5,43,19,9,17,209,11,37,25,169,82,39,148,44.2,1.41,0.2,3.8,60.1
