名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバデダンジェフリー宇意,2022-04,富士通カワサキレッドスピリッツ,1,4,5,1,9,33,20,0,60.6,60.6,0,0,0,4,18,0,7,0,0,0,0,24,,2.22,0.44,-9.7,
エメルソンロドリゲス,2022-04,大分三好ヴァイセアドラー,2,5,4,1,9,66,27,4,40.9,34.8,29,12,3,1,35,1,10,9,2,1,0,29,41.4,3.0,0.11,2.1,50.0
ヌルムルキリヴァン,2022-04,VC長野トライデンツ,10,5,5,1,10,82,48,4,58.5,53.7,38,23,2,3,45,5,6,18,0,0,0,56,60.5,4.8,0.3,17.8,
バグナスブライアン,2022-04,大分三好ヴァイセアドラー,1,5,4,1,9,89,42,2,47.2,44.9,16,9,1,8,33,3,7,9,36,18,9,53,56.2,4.67,0.89,10.6,62.5
三輪大将,2022-04,VC長野トライデンツ,19,5,5,1,10,30,20,0,66.7,66.7,0,0,0,8,31,1,2,8,7,6,1,29,,2.0,0.8,8.1,92.9
中村啓人,2022-04,VC長野トライデンツ,17,5,5,1,2,4,2,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,2,,1.0,0.0,,
久保田雅人,2022-04,大分三好ヴァイセアドラー,13,5,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井口直紀,2022-04,大分三好ヴァイセアドラー,21,5,4,1,9,0,0,0,,,0,0,0,1,29,0,0,5,0,0,0,1,,0.0,0.11,4.3,
伊藤樹,2022-04,VC長野トライデンツ,6,5,5,1,10,28,11,2,39.3,32.1,1,1,0,2,29,2,4,2,66,21,20,15,100.0,1.1,0.2,5.2,47.0
伊藤洸貴,2022-04,大分三好ヴァイセアドラー,11,5,4,1,3,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
佐々木博秋,2022-04,ヴォレアス北海道,9,5,5,1,10,53,28,1,52.8,50.9,6,4,1,0,34,1,11,4,67,24,15,29,66.7,2.8,0.0,-2.2,47.0
備一真,2022-04,大分三好ヴァイセアドラー,12,5,4,1,9,0,0,0,,,0,0,0,0,0,0,0,0,43,29,11,0,,0.0,0.0,,80.2
兵頭佳樹,2022-04,富士通カワサキレッドスピリッツ,13,4,5,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
加藤伊織,2022-04,ヴォレアス北海道,15,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
加藤大雄,2022-04,富士通カワサキレッドスピリッツ,7,4,5,1,9,17,11,0,64.7,64.7,0,0,0,6,37,1,2,4,3,3,0,18,,1.22,0.67,4.1,100.0
古賀健太,2022-04,大分三好ヴァイセアドラー,18,5,4,1,6,6,3,1,50.0,33.3,2,0,0,0,1,0,1,0,0,0,0,3,0.0,0.5,0.0,-25.0,
安部翔大,2022-04,大分三好ヴァイセアドラー,15,5,4,1,9,25,14,1,56.0,52.0,0,0,0,3,25,3,3,3,11,9,2,20,,1.56,0.33,12.0,90.9
小川峻宗,2022-04,大分三好ヴァイセアドラー,7,5,4,1,9,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小林慎平,2022-04,富士通カワサキレッドスピリッツ,6,4,5,1,9,0,0,0,,,0,0,0,0,0,0,0,0,29,9,13,0,,0.0,0.0,,53.4
小野宙,2022-04,富士通カワサキレッドスピリッツ,15,4,5,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小野翔平,2022-04,大分三好ヴァイセアドラー,25,5,4,1,4,0,0,0,,,0,0,0,0,4,0,1,0,0,0,0,0,,0.0,0.0,-6.2,
尾木将,2022-04,富士通カワサキレッドスピリッツ,19,4,5,1,7,0,0,0,,,0,0,0,0,10,1,3,4,0,0,0,1,,0.0,0.0,12.5,
山岸隼,2022-04,VC長野トライデンツ,12,5,5,1,10,0,0,0,,,0,0,0,1,32,1,6,8,0,0,0,2,,0.0,0.1,4.7,
山田滉太,2022-04,大分三好ヴァイセアドラー,10,5,4,1,8,41,24,3,58.5,51.2,8,4,0,2,33,4,11,5,58,35,10,30,50.0,3.0,0.25,7.6,69.0
山田航旗,2022-04,VC長野トライデンツ,1,5,5,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岡村義郎,2022-04,富士通カワサキレッドスピリッツ,10,4,5,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川口喬,2022-04,大分三好ヴァイセアドラー,8,5,4,1,9,19,13,0,68.4,68.4,0,0,0,3,31,0,5,5,2,2,0,16,,1.44,0.33,0.0,100.0
張育陞,2022-04,ヴォレアス北海道,14,5,5,1,10,101,69,6,68.3,62.4,44,33,0,2,39,5,11,12,1,0,0,76,75.0,6.9,0.2,13.5,0.0
後藤万澄,2022-04,ヴォレアス北海道,18,5,5,1,8,8,2,0,25.0,25.0,0,0,0,3,25,1,0,4,2,0,0,6,,0.25,0.38,8.0,0.0
後藤滉貴,2022-04,富士通カワサキレッドスピリッツ,8,4,5,1,7,0,0,0,,,0,0,0,0,14,0,2,3,0,0,0,0,,0.0,0.0,1.8,
戸田拓也,2022-04,ヴォレアス北海道,10,5,5,1,4,1,1,0,100.0,100.0,0,0,0,0,1,0,0,0,5,3,0,1,,0.25,0.0,0.0,60.0
本澤凌斗,2022-04,ヴォレアス北海道,11,5,5,1,3,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
柏田樹,2022-04,ヴォレアス北海道,2,5,5,1,7,10,2,2,20.0,0.0,0,0,0,6,28,1,1,12,4,3,0,9,,0.29,0.86,13.4,75.0
柳田百織,2022-04,富士通カワサキレッドスピリッツ,4,4,5,1,9,87,40,11,46.0,33.3,30,12,6,3,27,2,1,2,0,0,0,45,40.0,4.44,0.33,8.3,
森崎健史,2022-04,VC長野トライデンツ,16,5,5,1,10,20,18,0,90.0,90.0,0,0,0,3,42,2,8,7,11,6,3,23,,1.8,0.3,4.2,68.2
椿芽久,2022-04,VC長野トライデンツ,13,5,5,1,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
永尾敏明,2022-04,大分三好ヴァイセアドラー,20,5,4,1,8,0,0,0,,,0,0,0,0,12,0,1,3,0,0,0,0,,0.0,0.0,4.2,
池田幸太,2022-04,VC長野トライデンツ,9,5,5,1,10,64,34,5,53.1,45.3,9,7,0,2,32,2,4,3,38,9,12,38,77.8,3.4,0.2,5.5,39.5
