チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アイシンティルマーレ,93,49,7,52.7,45.2,17,9,2,8,73,2,14,17,50,19,21,59,52.9,1.88,0.31,3.8,59.0
トヨタ自動車サンホークス,94,27,10,28.7,18.1,10,3,1,3,54,0,4,10,58,18,22,30,30.0,1.17,0.13,2.8,50.0
